age,patients,claims,physicians,week,state,elective
40-49,1,1,1,2019-01-04,AK,CYSTOSCOPY
50-64,2,3,2,2019-01-04,AK,CATARACT
50-64,2,2,1,2019-01-04,AK,KNEE REPLACEMENT
50-64,1,1,1,2019-01-04,AK,MASTECTOMY
65+,2,2,0,2019-01-04,AK,CATARACT
65+,1,1,1,2019-01-04,AK,CYSTOSCOPY
65+,1,1,1,2019-01-04,AK,KNEE REPLACEMENT
65+,2,2,1,2019-01-04,AK,MASTECTOMY
18-29,1,1,1,2019-01-11,AK,CHOLECYSTECTOMY
30-39,2,2,2,2019-01-11,AK,CHOLECYSTECTOMY
50-64,3,5,1,2019-01-11,AK,CATARACT
50-64,5,5,1,2019-01-11,AK,CHOLECYSTECTOMY
50-64,3,3,1,2019-01-11,AK,CYSTOSCOPY
50-64,3,6,3,2019-01-11,AK,HIP REPLACEMENT
50-64,5,10,4,2019-01-11,AK,KNEE REPLACEMENT
50-64,4,4,2,2019-01-11,AK,MASTECTOMY
65+,15,20,2,2019-01-11,AK,CATARACT
65+,2,3,1,2019-01-11,AK,CHOLECYSTECTOMY
65+,4,4,2,2019-01-11,AK,CYSTOSCOPY
65+,1,2,2,2019-01-11,AK,HIP REPLACEMENT
65+,6,10,1,2019-01-11,AK,KNEE REPLACEMENT
65+,1,1,1,2019-01-11,AK,MASTECTOMY
18-29,2,4,1,2019-01-18,AK,CHOLECYSTECTOMY
30-39,1,2,1,2019-01-18,AK,CHOLECYSTECTOMY
30-39,2,2,1,2019-01-18,AK,CYSTOSCOPY
40-49,2,2,1,2019-01-18,AK,CHOLECYSTECTOMY
40-49,2,3,2,2019-01-18,AK,HYSTEROSCOPY
40-49,1,1,1,2019-01-18,AK,MASTECTOMY
50-64,9,13,4,2019-01-18,AK,CATARACT
50-64,3,3,1,2019-01-18,AK,CHOLECYSTECTOMY
50-64,5,6,3,2019-01-18,AK,CYSTOSCOPY
50-64,4,7,2,2019-01-18,AK,HIP REPLACEMENT
50-64,2,2,1,2019-01-18,AK,HYSTEROSCOPY
50-64,1,2,2,2019-01-18,AK,KNEE REPLACEMENT
50-64,1,1,1,2019-01-18,AK,MASTECTOMY
65+,16,19,3,2019-01-18,AK,CATARACT
65+,2,3,1,2019-01-18,AK,CHOLECYSTECTOMY
65+,5,5,2,2019-01-18,AK,CYSTOSCOPY
65+,3,7,3,2019-01-18,AK,HIP REPLACEMENT
65+,1,1,1,2019-01-18,AK,HYSTEROSCOPY
65+,1,1,1,2019-01-18,AK,KNEE REPLACEMENT
65+,6,6,1,2019-01-18,AK,MASTECTOMY
40-49,1,1,1,2019-01-25,AK,CATARACT
50-64,2,3,1,2019-01-25,AK,CATARACT
50-64,4,4,2,2019-01-25,AK,CYSTOSCOPY
50-64,1,2,2,2019-01-25,AK,KNEE REPLACEMENT
65+,5,7,2,2019-01-25,AK,CATARACT
65+,7,8,1,2019-01-25,AK,CYSTOSCOPY
65+,3,5,1,2019-01-25,AK,HIP REPLACEMENT
65+,7,11,3,2019-01-25,AK,KNEE REPLACEMENT
65+,2,2,1,2019-01-25,AK,MASTECTOMY
65+,2,2,1,2019-01-25,AK,PROSTATECTOMY
30-39,1,2,1,2019-02-01,AK,CYSTOSCOPY
30-39,2,2,1,2019-02-01,AK,HYSTEROSCOPY
40-49,1,1,1,2019-02-01,AK,CYSTOSCOPY
40-49,2,2,2,2019-02-01,AK,HYSTEROSCOPY
40-49,1,2,1,2019-02-01,AK,KNEE REPLACEMENT
50-64,3,5,2,2019-02-01,AK,CATARACT
50-64,3,4,1,2019-02-01,AK,CYSTOSCOPY
50-64,1,2,2,2019-02-01,AK,HIP REPLACEMENT
50-64,2,2,2,2019-02-01,AK,HYSTEROSCOPY
50-64,4,6,2,2019-02-01,AK,KNEE REPLACEMENT
65+,8,13,1,2019-02-01,AK,CATARACT
65+,6,6,1,2019-02-01,AK,CYSTOSCOPY
65+,3,6,2,2019-02-01,AK,HIP REPLACEMENT
65+,1,1,1,2019-02-01,AK,HYSTEROSCOPY
65+,5,8,3,2019-02-01,AK,KNEE REPLACEMENT
18-29,1,1,1,2019-02-08,AK,CHOLECYSTECTOMY
30-39,2,2,2,2019-02-08,AK,CHOLECYSTECTOMY
30-39,1,1,1,2019-02-08,AK,HYSTEROSCOPY
40-49,1,2,1,2019-02-08,AK,CYSTOSCOPY
40-49,2,2,1,2019-02-08,AK,HYSTEROSCOPY
50-64,3,3,0,2019-02-08,AK,CATARACT
50-64,5,6,3,2019-02-08,AK,CHOLECYSTECTOMY
50-64,1,2,1,2019-02-08,AK,CYSTOSCOPY
50-64,3,3,1,2019-02-08,AK,HYSTEROSCOPY
50-64,2,4,4,2019-02-08,AK,KNEE REPLACEMENT
50-64,2,2,2,2019-02-08,AK,MASTECTOMY
65+,8,11,1,2019-02-08,AK,CATARACT
65+,3,4,1,2019-02-08,AK,CHOLECYSTECTOMY
65+,5,5,1,2019-02-08,AK,CYSTOSCOPY
65+,2,2,1,2019-02-08,AK,HYSTEROSCOPY
65+,4,7,2,2019-02-08,AK,KNEE REPLACEMENT
65+,1,1,1,2019-02-08,AK,MASTECTOMY
18-29,2,2,2,2019-02-15,AK,CHOLECYSTECTOMY
30-39,2,3,1,2019-02-15,AK,CHOLECYSTECTOMY
40-49,2,2,1,2019-02-15,AK,CHOLECYSTECTOMY
40-49,1,1,1,2019-02-15,AK,CYSTOSCOPY
40-49,1,3,3,2019-02-15,AK,MASTECTOMY
50-64,1,4,2,2019-02-15,AK,CATARACT
50-64,4,7,1,2019-02-15,AK,CHOLECYSTECTOMY
50-64,2,3,2,2019-02-15,AK,CYSTOSCOPY
50-64,4,6,3,2019-02-15,AK,HIP REPLACEMENT
50-64,4,7,2,2019-02-15,AK,KNEE REPLACEMENT
50-64,1,1,1,2019-02-15,AK,MASTECTOMY
50-64,1,1,1,2019-02-15,AK,PROSTATECTOMY
65+,8,11,2,2019-02-15,AK,CATARACT
65+,2,3,1,2019-02-15,AK,CHOLECYSTECTOMY
65+,4,6,1,2019-02-15,AK,CYSTOSCOPY
65+,4,7,2,2019-02-15,AK,HIP REPLACEMENT
65+,3,4,1,2019-02-15,AK,KNEE REPLACEMENT
65+,3,4,1,2019-02-15,AK,MASTECTOMY
65+,2,2,0,2019-02-15,AK,PROSTATECTOMY
18-29,2,2,1,2019-02-22,AK,CHOLECYSTECTOMY
30-39,3,5,1,2019-02-22,AK,CHOLECYSTECTOMY
40-49,1,1,1,2019-02-22,AK,MASTECTOMY
50-64,1,1,1,2019-02-22,AK,CHOLECYSTECTOMY
50-64,1,1,1,2019-02-22,AK,CYSTOSCOPY
50-64,2,3,3,2019-02-22,AK,HIP REPLACEMENT
50-64,2,3,1,2019-02-22,AK,KNEE REPLACEMENT
50-64,2,3,2,2019-02-22,AK,MASTECTOMY
65+,9,13,1,2019-02-22,AK,CATARACT
65+,3,3,1,2019-02-22,AK,CHOLECYSTECTOMY
65+,3,3,1,2019-02-22,AK,CYSTOSCOPY
65+,1,2,2,2019-02-22,AK,HIP REPLACEMENT
65+,9,13,1,2019-02-22,AK,KNEE REPLACEMENT
65+,1,1,1,2019-02-22,AK,MASTECTOMY
18-29,1,1,1,2019-03-01,AK,MASTECTOMY
30-39,2,3,1,2019-03-01,AK,CHOLECYSTECTOMY
30-39,1,1,1,2019-03-01,AK,MASTECTOMY
40-49,2,3,1,2019-03-01,AK,CHOLECYSTECTOMY
40-49,1,1,1,2019-03-01,AK,CYSTOSCOPY
40-49,1,2,2,2019-03-01,AK,KNEE REPLACEMENT
50-64,2,3,2,2019-03-01,AK,CATARACT
50-64,5,7,1,2019-03-01,AK,CHOLECYSTECTOMY
50-64,2,2,1,2019-03-01,AK,CYSTOSCOPY
50-64,7,10,5,2019-03-01,AK,KNEE REPLACEMENT
50-64,2,3,3,2019-03-01,AK,MASTECTOMY
65+,12,16,2,2019-03-01,AK,CATARACT
65+,3,3,1,2019-03-01,AK,CHOLECYSTECTOMY
65+,9,9,1,2019-03-01,AK,CYSTOSCOPY
65+,6,9,2,2019-03-01,AK,KNEE REPLACEMENT
65+,2,3,1,2019-03-01,AK,MASTECTOMY
30-39,4,7,3,2019-03-08,AK,CHOLECYSTECTOMY
40-49,2,2,1,2019-03-08,AK,CHOLECYSTECTOMY
40-49,1,1,1,2019-03-08,AK,CYSTOSCOPY
40-49,1,1,1,2019-03-08,AK,KNEE REPLACEMENT
50-64,4,7,3,2019-03-08,AK,CATARACT
50-64,4,7,1,2019-03-08,AK,CHOLECYSTECTOMY
50-64,2,2,2,2019-03-08,AK,CYSTOSCOPY
50-64,8,16,4,2019-03-08,AK,KNEE REPLACEMENT
50-64,1,1,1,2019-03-08,AK,PROSTATECTOMY
65+,12,15,1,2019-03-08,AK,CATARACT
65+,3,3,1,2019-03-08,AK,CHOLECYSTECTOMY
65+,1,1,1,2019-03-08,AK,COSMETIC RECONSTRUCTION
65+,10,11,1,2019-03-08,AK,CYSTOSCOPY
65+,1,1,1,2019-03-08,AK,HIP REPLACEMENT
65+,5,9,2,2019-03-08,AK,KNEE REPLACEMENT
65+,1,1,1,2019-03-08,AK,PROSTATECTOMY
18-29,2,3,2,2019-03-15,AK,CHOLECYSTECTOMY
30-39,1,1,1,2019-03-15,AK,CYSTOSCOPY
30-39,1,1,1,2019-03-15,AK,HYSTEROSCOPY
40-49,1,1,1,2019-03-15,AK,CYSTOSCOPY
40-49,2,3,2,2019-03-15,AK,HYSTEROSCOPY
50-64,4,10,3,2019-03-15,AK,CATARACT
50-64,7,7,1,2019-03-15,AK,CYSTOSCOPY
50-64,1,2,2,2019-03-15,AK,HIP REPLACEMENT
50-64,1,1,1,2019-03-15,AK,HYSTEROSCOPY
50-64,1,1,1,2019-03-15,AK,KNEE REPLACEMENT
50-64,2,3,1,2019-03-15,AK,MASTECTOMY
65+,7,9,1,2019-03-15,AK,CATARACT
65+,2,3,1,2019-03-15,AK,CHOLECYSTECTOMY
65+,14,14,2,2019-03-15,AK,CYSTOSCOPY
65+,3,6,4,2019-03-15,AK,HIP REPLACEMENT
65+,5,5,1,2019-03-15,AK,HYSTEROSCOPY
65+,2,3,1,2019-03-15,AK,KNEE REPLACEMENT
65+,2,3,1,2019-03-15,AK,MASTECTOMY
18-29,1,1,1,2019-03-22,AK,CYSTOSCOPY
30-39,1,1,1,2019-03-22,AK,CHOLECYSTECTOMY
40-49,2,5,2,2019-03-22,AK,CHOLECYSTECTOMY
50-64,3,6,2,2019-03-22,AK,CATARACT
50-64,2,2,1,2019-03-22,AK,CHOLECYSTECTOMY
50-64,5,5,1,2019-03-22,AK,CYSTOSCOPY
50-64,4,8,3,2019-03-22,AK,HIP REPLACEMENT
50-64,6,10,3,2019-03-22,AK,KNEE REPLACEMENT
65+,10,15,2,2019-03-22,AK,CATARACT
65+,5,5,1,2019-03-22,AK,CHOLECYSTECTOMY
65+,6,8,1,2019-03-22,AK,CYSTOSCOPY
65+,2,3,1,2019-03-22,AK,HIP REPLACEMENT
65+,3,5,5,2019-03-22,AK,KNEE REPLACEMENT
18-29,1,1,1,2019-03-29,AK,CHOLECYSTECTOMY
30-39,1,2,2,2019-03-29,AK,CHOLECYSTECTOMY
30-39,1,1,1,2019-03-29,AK,CYSTOSCOPY
40-49,1,2,1,2019-03-29,AK,CATARACT
40-49,3,5,2,2019-03-29,AK,CHOLECYSTECTOMY
40-49,1,1,1,2019-03-29,AK,CYSTOSCOPY
50-64,5,8,2,2019-03-29,AK,CATARACT
50-64,3,5,1,2019-03-29,AK,CHOLECYSTECTOMY
50-64,2,2,2,2019-03-29,AK,CYSTOSCOPY
50-64,4,9,3,2019-03-29,AK,HIP REPLACEMENT
50-64,2,3,2,2019-03-29,AK,KNEE REPLACEMENT
50-64,3,3,1,2019-03-29,AK,MASTECTOMY
65+,14,18,1,2019-03-29,AK,CATARACT
65+,3,4,1,2019-03-29,AK,CHOLECYSTECTOMY
65+,5,5,1,2019-03-29,AK,CYSTOSCOPY
65+,1,1,1,2019-03-29,AK,HIP REPLACEMENT
65+,4,7,2,2019-03-29,AK,KNEE REPLACEMENT
65+,2,2,0,2019-03-29,AK,MASTECTOMY
65+,1,2,1,2019-03-29,AK,PROSTATECTOMY
18-29,1,1,1,2019-04-05,AK,CYSTOSCOPY
30-39,2,2,1,2019-04-05,AK,CHOLECYSTECTOMY
30-39,1,1,1,2019-04-05,AK,CYSTOSCOPY
30-39,3,3,1,2019-04-05,AK,HYSTEROSCOPY
40-49,2,4,1,2019-04-05,AK,CHOLECYSTECTOMY
40-49,1,2,2,2019-04-05,AK,HIP REPLACEMENT
40-49,1,1,1,2019-04-05,AK,HYSTEROSCOPY
40-49,1,2,2,2019-04-05,AK,KNEE REPLACEMENT
40-49,1,1,1,2019-04-05,AK,MASTECTOMY
50-64,3,7,1,2019-04-05,AK,CATARACT
50-64,5,6,1,2019-04-05,AK,CHOLECYSTECTOMY
50-64,3,4,1,2019-04-05,AK,CYSTOSCOPY
50-64,3,5,1,2019-04-05,AK,HIP REPLACEMENT
50-64,1,1,1,2019-04-05,AK,HYSTEROSCOPY
50-64,4,7,2,2019-04-05,AK,KNEE REPLACEMENT
50-64,5,5,3,2019-04-05,AK,MASTECTOMY
65+,11,14,1,2019-04-05,AK,CATARACT
65+,6,9,1,2019-04-05,AK,CHOLECYSTECTOMY
65+,3,4,1,2019-04-05,AK,CYSTOSCOPY
65+,5,10,6,2019-04-05,AK,HIP REPLACEMENT
65+,1,1,1,2019-04-05,AK,HYSTEROSCOPY
65+,4,6,2,2019-04-05,AK,KNEE REPLACEMENT
65+,2,2,2,2019-04-05,AK,MASTECTOMY
18-29,1,1,1,2019-04-12,AK,CHOLECYSTECTOMY
30-39,3,4,1,2019-04-12,AK,CHOLECYSTECTOMY
40-49,1,1,0,2019-04-12,AK,CATARACT
40-49,2,2,1,2019-04-12,AK,CHOLECYSTECTOMY
40-49,1,1,1,2019-04-12,AK,CYSTOSCOPY
40-49,1,2,2,2019-04-12,AK,HIP REPLACEMENT
40-49,1,1,1,2019-04-12,AK,MASTECTOMY
50-64,8,12,1,2019-04-12,AK,CATARACT
50-64,3,4,1,2019-04-12,AK,CYSTOSCOPY
50-64,2,4,1,2019-04-12,AK,HIP REPLACEMENT
50-64,6,10,4,2019-04-12,AK,KNEE REPLACEMENT
50-64,2,2,1,2019-04-12,AK,MASTECTOMY
65+,7,9,1,2019-04-12,AK,CATARACT
65+,1,1,1,2019-04-12,AK,CHOLECYSTECTOMY
65+,17,18,1,2019-04-12,AK,CYSTOSCOPY
65+,1,1,1,2019-04-12,AK,HIP REPLACEMENT
65+,4,6,2,2019-04-12,AK,KNEE REPLACEMENT
65+,3,5,2,2019-04-12,AK,MASTECTOMY
18-29,1,1,1,2019-04-19,AK,CHOLECYSTECTOMY
18-29,1,1,0,2019-04-19,AK,HYSTEROSCOPY
30-39,1,1,0,2019-04-19,AK,CATARACT
30-39,2,3,1,2019-04-19,AK,CHOLECYSTECTOMY
30-39,1,1,1,2019-04-19,AK,HYSTEROSCOPY
40-49,1,1,0,2019-04-19,AK,CATARACT
40-49,4,5,1,2019-04-19,AK,CHOLECYSTECTOMY
40-49,2,2,2,2019-04-19,AK,CYSTOSCOPY
40-49,1,1,1,2019-04-19,AK,HIP REPLACEMENT
40-49,1,2,1,2019-04-19,AK,HYSTEROSCOPY
40-49,1,1,1,2019-04-19,AK,MASTECTOMY
50-64,5,6,1,2019-04-19,AK,CATARACT
50-64,3,3,3,2019-04-19,AK,CHOLECYSTECTOMY
50-64,4,5,1,2019-04-19,AK,CYSTOSCOPY
50-64,1,1,1,2019-04-19,AK,HIP REPLACEMENT
50-64,1,1,1,2019-04-19,AK,HYSTEROSCOPY
50-64,3,5,1,2019-04-19,AK,KNEE REPLACEMENT
65+,7,7,0,2019-04-19,AK,CATARACT
65+,1,1,1,2019-04-19,AK,CHOLECYSTECTOMY
65+,9,13,1,2019-04-19,AK,CYSTOSCOPY
65+,2,3,1,2019-04-19,AK,HIP REPLACEMENT
65+,1,1,1,2019-04-19,AK,HYSTEROSCOPY
65+,4,7,3,2019-04-19,AK,KNEE REPLACEMENT
65+,1,1,1,2019-04-19,AK,MASTECTOMY
30-39,4,4,2,2019-04-26,AK,CHOLECYSTECTOMY
30-39,1,1,1,2019-04-26,AK,HYSTEROSCOPY
40-49,1,1,1,2019-04-26,AK,CHOLECYSTECTOMY
40-49,2,2,1,2019-04-26,AK,CYSTOSCOPY
40-49,1,1,1,2019-04-26,AK,HIP REPLACEMENT
40-49,1,1,1,2019-04-26,AK,KNEE REPLACEMENT
50-64,3,3,0,2019-04-26,AK,CATARACT
50-64,3,5,1,2019-04-26,AK,CHOLECYSTECTOMY
50-64,3,3,1,2019-04-26,AK,CYSTOSCOPY
50-64,2,2,2,2019-04-26,AK,HYSTEROSCOPY
50-64,2,3,1,2019-04-26,AK,KNEE REPLACEMENT
50-64,3,3,1,2019-04-26,AK,MASTECTOMY
65+,8,8,0,2019-04-26,AK,CATARACT
65+,2,3,1,2019-04-26,AK,CHOLECYSTECTOMY
65+,12,12,1,2019-04-26,AK,CYSTOSCOPY
65+,2,3,1,2019-04-26,AK,HIP REPLACEMENT
65+,1,1,1,2019-04-26,AK,HYSTEROSCOPY
65+,4,7,2,2019-04-26,AK,KNEE REPLACEMENT
65+,1,1,1,2019-04-26,AK,MASTECTOMY
18-29,1,1,1,2019-05-03,AK,MASTECTOMY
