age,patients,claims,physicians,week,state,elective
18-29,6,7,3,2019-01-04,AL,CHOLECYSTECTOMY
18-29,1,1,1,2019-01-04,AL,CYSTOSCOPY
18-29,1,1,1,2019-01-04,AL,HYSTEROSCOPY
30-39,7,11,4,2019-01-04,AL,CHOLECYSTECTOMY
30-39,4,4,2,2019-01-04,AL,CYSTOSCOPY
30-39,2,2,1,2019-01-04,AL,HYSTEROSCOPY
40-49,1,1,1,2019-01-04,AL,CATARACT
40-49,7,9,4,2019-01-04,AL,CHOLECYSTECTOMY
40-49,1,1,1,2019-01-04,AL,CYSTOSCOPY
40-49,2,4,1,2019-01-04,AL,HIP REPLACEMENT
40-49,5,6,2,2019-01-04,AL,HYSTEROSCOPY
40-49,1,1,0,2019-01-04,AL,MASTECTOMY
50-64,19,25,3,2019-01-04,AL,CATARACT
50-64,8,10,4,2019-01-04,AL,CHOLECYSTECTOMY
50-64,14,14,2,2019-01-04,AL,CYSTOSCOPY
50-64,1,1,1,2019-01-04,AL,HIP REPLACEMENT
50-64,4,4,4,2019-01-04,AL,HYSTEROSCOPY
50-64,11,19,5,2019-01-04,AL,KNEE REPLACEMENT
50-64,7,7,1,2019-01-04,AL,MASTECTOMY
50-64,1,2,2,2019-01-04,AL,PROSTATECTOMY
65+,113,146,7,2019-01-04,AL,CATARACT
65+,8,10,2,2019-01-04,AL,CHOLECYSTECTOMY
65+,42,43,3,2019-01-04,AL,CYSTOSCOPY
65+,5,9,2,2019-01-04,AL,HIP REPLACEMENT
65+,1,1,1,2019-01-04,AL,HYSTEROSCOPY
65+,19,33,3,2019-01-04,AL,KNEE REPLACEMENT
65+,7,8,1,2019-01-04,AL,MASTECTOMY
65+,2,2,1,2019-01-04,AL,PROSTATECTOMY
18-29,18,21,4,2019-01-11,AL,CHOLECYSTECTOMY
18-29,2,3,1,2019-01-11,AL,CYSTOSCOPY
18-29,3,5,2,2019-01-11,AL,HYSTEROSCOPY
30-39,17,23,4,2019-01-11,AL,CHOLECYSTECTOMY
30-39,4,4,1,2019-01-11,AL,CYSTOSCOPY
30-39,8,9,2,2019-01-11,AL,HYSTEROSCOPY
30-39,1,1,1,2019-01-11,AL,KNEE REPLACEMENT
30-39,1,1,1,2019-01-11,AL,MASTECTOMY
40-49,1,1,1,2019-01-11,AL,CATARACT
40-49,19,28,5,2019-01-11,AL,CHOLECYSTECTOMY
40-49,12,12,2,2019-01-11,AL,CYSTOSCOPY
40-49,4,10,2,2019-01-11,AL,HIP REPLACEMENT
40-49,13,18,2,2019-01-11,AL,HYSTEROSCOPY
40-49,1,2,2,2019-01-11,AL,KNEE REPLACEMENT
40-49,4,4,2,2019-01-11,AL,MASTECTOMY
50-64,57,66,6,2019-01-11,AL,CATARACT
50-64,39,48,4,2019-01-11,AL,CHOLECYSTECTOMY
50-64,52,55,4,2019-01-11,AL,CYSTOSCOPY
50-64,7,12,9,2019-01-11,AL,HIP REPLACEMENT
50-64,7,8,2,2019-01-11,AL,HYSTEROSCOPY
50-64,23,34,5,2019-01-11,AL,KNEE REPLACEMENT
50-64,14,19,4,2019-01-11,AL,MASTECTOMY
65+,1,1,1,2019-01-11,AL,CABG
65+,376,470,9,2019-01-11,AL,CATARACT
65+,45,57,4,2019-01-11,AL,CHOLECYSTECTOMY
65+,131,142,5,2019-01-11,AL,CYSTOSCOPY
65+,10,17,4,2019-01-11,AL,HIP REPLACEMENT
65+,3,3,1,2019-01-11,AL,HYSTEROSCOPY
65+,78,131,8,2019-01-11,AL,KNEE REPLACEMENT
65+,34,47,4,2019-01-11,AL,MASTECTOMY
65+,4,5,1,2019-01-11,AL,PROSTATECTOMY
18-29,20,27,4,2019-01-18,AL,CHOLECYSTECTOMY
18-29,1,1,1,2019-01-18,AL,CYSTOSCOPY
18-29,2,2,1,2019-01-18,AL,HYSTEROSCOPY
30-39,23,29,7,2019-01-18,AL,CHOLECYSTECTOMY
30-39,2,2,1,2019-01-18,AL,CYSTOSCOPY
30-39,6,6,3,2019-01-18,AL,HYSTEROSCOPY
30-39,4,4,1,2019-01-18,AL,MASTECTOMY
40-49,2,2,0,2019-01-18,AL,CATARACT
40-49,18,30,3,2019-01-18,AL,CHOLECYSTECTOMY
40-49,21,21,3,2019-01-18,AL,CYSTOSCOPY
40-49,3,3,2,2019-01-18,AL,HIP REPLACEMENT
40-49,5,5,1,2019-01-18,AL,HYSTEROSCOPY
40-49,1,1,1,2019-01-18,AL,KNEE REPLACEMENT
40-49,5,6,1,2019-01-18,AL,MASTECTOMY
50-64,73,92,7,2019-01-18,AL,CATARACT
50-64,39,47,6,2019-01-18,AL,CHOLECYSTECTOMY
50-64,40,44,4,2019-01-18,AL,CYSTOSCOPY
50-64,14,17,5,2019-01-18,AL,HIP REPLACEMENT
50-64,13,14,6,2019-01-18,AL,HYSTEROSCOPY
50-64,25,40,7,2019-01-18,AL,KNEE REPLACEMENT
50-64,15,23,3,2019-01-18,AL,MASTECTOMY
50-64,5,10,2,2019-01-18,AL,PROSTATECTOMY
65+,335,418,10,2019-01-18,AL,CATARACT
65+,46,57,4,2019-01-18,AL,CHOLECYSTECTOMY
65+,147,166,7,2019-01-18,AL,CYSTOSCOPY
65+,21,34,3,2019-01-18,AL,HIP REPLACEMENT
65+,11,12,2,2019-01-18,AL,HYSTEROSCOPY
65+,65,95,5,2019-01-18,AL,KNEE REPLACEMENT
65+,29,35,4,2019-01-18,AL,MASTECTOMY
65+,4,5,2,2019-01-18,AL,PROSTATECTOMY
18-29,1,2,1,2019-01-25,AL,CATARACT
18-29,33,40,4,2019-01-25,AL,CHOLECYSTECTOMY
18-29,2,3,1,2019-01-25,AL,CYSTOSCOPY
18-29,2,2,1,2019-01-25,AL,HYSTEROSCOPY
18-29,1,1,1,2019-01-25,AL,MASTECTOMY
30-39,12,15,2,2019-01-25,AL,CHOLECYSTECTOMY
30-39,1,1,1,2019-01-25,AL,CYSTOSCOPY
30-39,7,8,2,2019-01-25,AL,HYSTEROSCOPY
30-39,2,3,2,2019-01-25,AL,MASTECTOMY
40-49,4,4,1,2019-01-25,AL,CATARACT
40-49,18,27,19,2019-01-25,AL,CHOLECYSTECTOMY
40-49,19,19,8,2019-01-25,AL,CYSTOSCOPY
40-49,8,9,2,2019-01-25,AL,HYSTEROSCOPY
40-49,1,1,1,2019-01-25,AL,KNEE REPLACEMENT
40-49,2,3,1,2019-01-25,AL,MASTECTOMY
50-64,79,98,5,2019-01-25,AL,CATARACT
50-64,27,34,3,2019-01-25,AL,CHOLECYSTECTOMY
50-64,45,47,5,2019-01-25,AL,CYSTOSCOPY
50-64,11,20,5,2019-01-25,AL,HIP REPLACEMENT
50-64,16,17,4,2019-01-25,AL,HYSTEROSCOPY
50-64,20,28,5,2019-01-25,AL,KNEE REPLACEMENT
50-64,13,16,4,2019-01-25,AL,MASTECTOMY
50-64,3,4,1,2019-01-25,AL,PROSTATECTOMY
65+,364,473,12,2019-01-25,AL,CATARACT
65+,35,49,4,2019-01-25,AL,CHOLECYSTECTOMY
65+,118,121,5,2019-01-25,AL,CYSTOSCOPY
65+,15,28,4,2019-01-25,AL,HIP REPLACEMENT
65+,6,6,1,2019-01-25,AL,HYSTEROSCOPY
65+,38,61,5,2019-01-25,AL,KNEE REPLACEMENT
65+,21,24,2,2019-01-25,AL,MASTECTOMY
65+,10,11,1,2019-01-25,AL,PROSTATECTOMY
18-29,18,22,4,2019-02-01,AL,CHOLECYSTECTOMY
18-29,3,4,1,2019-02-01,AL,CYSTOSCOPY
18-29,11,12,2,2019-02-01,AL,HYSTEROSCOPY
30-39,22,33,8,2019-02-01,AL,CHOLECYSTECTOMY
30-39,8,9,2,2019-02-01,AL,CYSTOSCOPY
30-39,2,4,1,2019-02-01,AL,HIP REPLACEMENT
30-39,9,10,2,2019-02-01,AL,HYSTEROSCOPY
40-49,4,7,2,2019-02-01,AL,CATARACT
40-49,17,22,4,2019-02-01,AL,CHOLECYSTECTOMY
40-49,12,12,1,2019-02-01,AL,CYSTOSCOPY
40-49,3,5,4,2019-02-01,AL,HIP REPLACEMENT
40-49,3,3,1,2019-02-01,AL,HYSTEROSCOPY
40-49,5,7,5,2019-02-01,AL,MASTECTOMY
50-64,61,73,6,2019-02-01,AL,CATARACT
50-64,38,49,6,2019-02-01,AL,CHOLECYSTECTOMY
50-64,40,43,4,2019-02-01,AL,CYSTOSCOPY
50-64,11,20,4,2019-02-01,AL,HIP REPLACEMENT
50-64,15,16,5,2019-02-01,AL,HYSTEROSCOPY
50-64,27,41,6,2019-02-01,AL,KNEE REPLACEMENT
50-64,8,11,2,2019-02-01,AL,MASTECTOMY
50-64,8,12,4,2019-02-01,AL,PROSTATECTOMY
65+,318,399,10,2019-02-01,AL,CATARACT
65+,33,51,4,2019-02-01,AL,CHOLECYSTECTOMY
65+,132,144,6,2019-02-01,AL,CYSTOSCOPY
65+,20,32,2,2019-02-01,AL,HIP REPLACEMENT
65+,6,6,1,2019-02-01,AL,HYSTEROSCOPY
65+,71,112,6,2019-02-01,AL,KNEE REPLACEMENT
65+,14,17,3,2019-02-01,AL,MASTECTOMY
65+,4,7,2,2019-02-01,AL,PROSTATECTOMY
