age,patients,claims,physicians,week,state,elective
18-29,4,4,1,2019-01-04,AR,CHOLECYSTECTOMY
30-39,6,7,3,2019-01-04,AR,CHOLECYSTECTOMY
30-39,2,3,1,2019-01-04,AR,CYSTOSCOPY
30-39,1,1,1,2019-01-04,AR,MASTECTOMY
40-49,4,4,1,2019-01-04,AR,CHOLECYSTECTOMY
40-49,2,2,1,2019-01-04,AR,CYSTOSCOPY
40-49,1,1,1,2019-01-04,AR,MASTECTOMY
50-64,31,40,3,2019-01-04,AR,CATARACT
50-64,2,2,2,2019-01-04,AR,CHOLECYSTECTOMY
50-64,6,6,2,2019-01-04,AR,CYSTOSCOPY
50-64,2,2,1,2019-01-04,AR,HIP REPLACEMENT
50-64,4,5,2,2019-01-04,AR,KNEE REPLACEMENT
50-64,3,4,4,2019-01-04,AR,MASTECTOMY
65+,70,86,4,2019-01-04,AR,CATARACT
65+,7,8,1,2019-01-04,AR,CHOLECYSTECTOMY
65+,15,17,1,2019-01-04,AR,CYSTOSCOPY
65+,2,3,1,2019-01-04,AR,HIP REPLACEMENT
65+,4,7,2,2019-01-04,AR,KNEE REPLACEMENT
65+,4,5,1,2019-01-04,AR,MASTECTOMY
18-29,5,7,1,2019-01-11,AR,CHOLECYSTECTOMY
18-29,2,3,1,2019-01-11,AR,CYSTOSCOPY
18-29,5,5,2,2019-01-11,AR,HYSTEROSCOPY
30-39,2,2,1,2019-01-11,AR,CATARACT
30-39,11,12,3,2019-01-11,AR,CHOLECYSTECTOMY
30-39,5,5,1,2019-01-11,AR,CYSTOSCOPY
30-39,5,5,2,2019-01-11,AR,HYSTEROSCOPY
30-39,1,1,1,2019-01-11,AR,MASTECTOMY
40-49,3,3,3,2019-01-11,AR,CATARACT
40-49,10,10,4,2019-01-11,AR,CHOLECYSTECTOMY
40-49,6,6,3,2019-01-11,AR,CYSTOSCOPY
40-49,2,2,1,2019-01-11,AR,HIP REPLACEMENT
40-49,4,4,2,2019-01-11,AR,HYSTEROSCOPY
40-49,1,1,1,2019-01-11,AR,KNEE REPLACEMENT
40-49,1,1,1,2019-01-11,AR,MASTECTOMY
50-64,1,1,1,2019-01-11,AR,CABG
50-64,73,95,9,2019-01-11,AR,CATARACT
50-64,24,27,2,2019-01-11,AR,CHOLECYSTECTOMY
50-64,26,27,2,2019-01-11,AR,CYSTOSCOPY
50-64,4,5,1,2019-01-11,AR,HIP REPLACEMENT
50-64,3,3,3,2019-01-11,AR,HYSTEROSCOPY
50-64,19,30,8,2019-01-11,AR,KNEE REPLACEMENT
50-64,7,9,2,2019-01-11,AR,MASTECTOMY
50-64,1,1,1,2019-01-11,AR,PROSTATECTOMY
65+,2,3,3,2019-01-11,AR,CABG
65+,261,325,10,2019-01-11,AR,CATARACT
65+,13,17,4,2019-01-11,AR,CHOLECYSTECTOMY
65+,82,91,4,2019-01-11,AR,CYSTOSCOPY
65+,20,33,4,2019-01-11,AR,HIP REPLACEMENT
65+,3,4,1,2019-01-11,AR,HYSTEROSCOPY
65+,24,36,3,2019-01-11,AR,KNEE REPLACEMENT
65+,10,12,1,2019-01-11,AR,MASTECTOMY
65+,3,4,1,2019-01-11,AR,PROSTATECTOMY
18-29,11,13,3,2019-01-18,AR,CHOLECYSTECTOMY
18-29,1,1,1,2019-01-18,AR,CYSTOSCOPY
18-29,1,1,1,2019-01-18,AR,HYSTEROSCOPY
18-29,1,1,1,2019-01-18,AR,MASTECTOMY
30-39,14,17,4,2019-01-18,AR,CHOLECYSTECTOMY
30-39,3,4,3,2019-01-18,AR,CYSTOSCOPY
30-39,5,5,4,2019-01-18,AR,HYSTEROSCOPY
30-39,4,4,2,2019-01-18,AR,MASTECTOMY
40-49,4,5,1,2019-01-18,AR,CATARACT
40-49,16,17,3,2019-01-18,AR,CHOLECYSTECTOMY
40-49,9,9,3,2019-01-18,AR,CYSTOSCOPY
40-49,3,3,1,2019-01-18,AR,HYSTEROSCOPY
40-49,3,4,2,2019-01-18,AR,KNEE REPLACEMENT
40-49,4,5,4,2019-01-18,AR,MASTECTOMY
50-64,58,69,6,2019-01-18,AR,CATARACT
50-64,14,16,3,2019-01-18,AR,CHOLECYSTECTOMY
50-64,35,39,6,2019-01-18,AR,CYSTOSCOPY
50-64,5,8,5,2019-01-18,AR,HIP REPLACEMENT
50-64,14,16,4,2019-01-18,AR,HYSTEROSCOPY
50-64,8,11,3,2019-01-18,AR,KNEE REPLACEMENT
50-64,8,10,3,2019-01-18,AR,MASTECTOMY
50-64,2,4,2,2019-01-18,AR,PROSTATECTOMY
65+,4,4,1,2019-01-18,AR,CABG
65+,274,336,10,2019-01-18,AR,CATARACT
65+,12,15,2,2019-01-18,AR,CHOLECYSTECTOMY
65+,88,93,5,2019-01-18,AR,CYSTOSCOPY
65+,13,16,4,2019-01-18,AR,HIP REPLACEMENT
65+,6,6,1,2019-01-18,AR,HYSTEROSCOPY
65+,29,41,4,2019-01-18,AR,KNEE REPLACEMENT
65+,3,3,1,2019-01-18,AR,MASTECTOMY
65+,2,4,3,2019-01-18,AR,PROSTATECTOMY
18-29,6,6,2,2019-01-25,AR,CHOLECYSTECTOMY
18-29,1,2,1,2019-01-25,AR,CYSTOSCOPY
18-29,4,4,3,2019-01-25,AR,HYSTEROSCOPY
30-39,1,2,1,2019-01-25,AR,CATARACT
30-39,16,18,5,2019-01-25,AR,CHOLECYSTECTOMY
30-39,7,8,2,2019-01-25,AR,CYSTOSCOPY
30-39,3,3,1,2019-01-25,AR,HYSTEROSCOPY
30-39,1,1,1,2019-01-25,AR,KNEE REPLACEMENT
40-49,4,5,4,2019-01-25,AR,CATARACT
40-49,13,14,3,2019-01-25,AR,CHOLECYSTECTOMY
40-49,10,10,1,2019-01-25,AR,CYSTOSCOPY
40-49,6,6,2,2019-01-25,AR,HYSTEROSCOPY
40-49,1,1,1,2019-01-25,AR,MASTECTOMY
50-64,2,2,1,2019-01-25,AR,CABG
50-64,79,107,9,2019-01-25,AR,CATARACT
50-64,21,24,4,2019-01-25,AR,CHOLECYSTECTOMY
50-64,32,35,4,2019-01-25,AR,CYSTOSCOPY
50-64,8,12,3,2019-01-25,AR,HIP REPLACEMENT
50-64,5,5,4,2019-01-25,AR,HYSTEROSCOPY
50-64,13,22,3,2019-01-25,AR,KNEE REPLACEMENT
50-64,4,6,1,2019-01-25,AR,MASTECTOMY
65+,1,1,1,2019-01-25,AR,CABG
65+,242,296,10,2019-01-25,AR,CATARACT
65+,21,21,2,2019-01-25,AR,CHOLECYSTECTOMY
65+,53,56,4,2019-01-25,AR,CYSTOSCOPY
65+,13,24,3,2019-01-25,AR,HIP REPLACEMENT
65+,4,4,1,2019-01-25,AR,HYSTEROSCOPY
65+,35,48,6,2019-01-25,AR,KNEE REPLACEMENT
65+,13,17,1,2019-01-25,AR,MASTECTOMY
65+,4,6,1,2019-01-25,AR,PROSTATECTOMY
18-29,7,9,3,2019-02-01,AR,CHOLECYSTECTOMY
18-29,1,1,1,2019-02-01,AR,CYSTOSCOPY
18-29,4,5,2,2019-02-01,AR,HYSTEROSCOPY
18-29,1,1,1,2019-02-01,AR,MASTECTOMY
30-39,2,2,0,2019-02-01,AR,CATARACT
30-39,11,18,5,2019-02-01,AR,CHOLECYSTECTOMY
30-39,6,6,2,2019-02-01,AR,CYSTOSCOPY
30-39,1,1,1,2019-02-01,AR,HYSTEROSCOPY
40-49,3,5,1,2019-02-01,AR,CATARACT
40-49,9,10,2,2019-02-01,AR,CHOLECYSTECTOMY
40-49,4,4,3,2019-02-01,AR,CYSTOSCOPY
40-49,6,9,2,2019-02-01,AR,HIP REPLACEMENT
40-49,3,3,1,2019-02-01,AR,HYSTEROSCOPY
40-49,1,1,1,2019-02-01,AR,KNEE REPLACEMENT
40-49,7,7,2,2019-02-01,AR,MASTECTOMY
50-64,1,1,1,2019-02-01,AR,CABG
50-64,52,63,8,2019-02-01,AR,CATARACT
50-64,12,19,3,2019-02-01,AR,CHOLECYSTECTOMY
50-64,23,23,5,2019-02-01,AR,CYSTOSCOPY
50-64,9,13,2,2019-02-01,AR,HIP REPLACEMENT
50-64,4,4,4,2019-02-01,AR,HYSTEROSCOPY
50-64,17,28,4,2019-02-01,AR,KNEE REPLACEMENT
50-64,9,10,3,2019-02-01,AR,MASTECTOMY
65+,2,2,1,2019-02-01,AR,CABG
65+,253,308,9,2019-02-01,AR,CATARACT
65+,9,11,2,2019-02-01,AR,CHOLECYSTECTOMY
65+,1,1,1,2019-02-01,AR,COSMETIC RECONSTRUCTION
65+,66,71,4,2019-02-01,AR,CYSTOSCOPY
65+,21,32,4,2019-02-01,AR,HIP REPLACEMENT
65+,3,3,1,2019-02-01,AR,HYSTEROSCOPY
65+,29,41,3,2019-02-01,AR,KNEE REPLACEMENT
65+,5,6,2,2019-02-01,AR,MASTECTOMY
65+,1,2,2,2019-02-01,AR,PROSTATECTOMY
18-29,1,2,0,2019-02-08,AR,CATARACT
18-29,7,9,2,2019-02-08,AR,CHOLECYSTECTOMY
18-29,1,1,1,2019-02-08,AR,CYSTOSCOPY
18-29,3,3,1,2019-02-08,AR,HYSTEROSCOPY
30-39,2,4,2,2019-02-08,AR,CATARACT
30-39,13,14,6,2019-02-08,AR,CHOLECYSTECTOMY
30-39,5,6,1,2019-02-08,AR,CYSTOSCOPY
30-39,9,9,2,2019-02-08,AR,HYSTEROSCOPY
30-39,3,4,1,2019-02-08,AR,MASTECTOMY
40-49,7,9,3,2019-02-08,AR,CATARACT
40-49,7,10,2,2019-02-08,AR,CHOLECYSTECTOMY
40-49,1,1,1,2019-02-08,AR,CYSTOSCOPY
40-49,3,4,4,2019-02-08,AR,HIP REPLACEMENT
40-49,7,8,1,2019-02-08,AR,HYSTEROSCOPY
40-49,4,4,1,2019-02-08,AR,KNEE REPLACEMENT
40-49,7,7,2,2019-02-08,AR,MASTECTOMY
50-64,71,92,9,2019-02-08,AR,CATARACT
50-64,10,13,2,2019-02-08,AR,CHOLECYSTECTOMY
50-64,32,33,3,2019-02-08,AR,CYSTOSCOPY
50-64,9,16,4,2019-02-08,AR,HIP REPLACEMENT
50-64,8,12,7,2019-02-08,AR,HYSTEROSCOPY
50-64,16,26,4,2019-02-08,AR,KNEE REPLACEMENT
50-64,6,7,1,2019-02-08,AR,MASTECTOMY
50-64,1,1,1,2019-02-08,AR,PROSTATECTOMY
65+,257,321,10,2019-02-08,AR,CATARACT
65+,13,15,3,2019-02-08,AR,CHOLECYSTECTOMY
65+,58,63,3,2019-02-08,AR,CYSTOSCOPY
65+,13,21,4,2019-02-08,AR,HIP REPLACEMENT
65+,3,3,1,2019-02-08,AR,HYSTEROSCOPY
65+,24,35,2,2019-02-08,AR,KNEE REPLACEMENT
65+,5,6,1,2019-02-08,AR,MASTECTOMY
65+,2,2,1,2019-02-08,AR,PROSTATECTOMY
18-29,8,9,2,2019-02-15,AR,CHOLECYSTECTOMY
18-29,1,1,1,2019-02-15,AR,CYSTOSCOPY
18-29,6,8,2,2019-02-15,AR,HYSTEROSCOPY
30-39,3,3,1,2019-02-15,AR,CATARACT
30-39,15,20,3,2019-02-15,AR,CHOLECYSTECTOMY
30-39,3,3,1,2019-02-15,AR,CYSTOSCOPY
30-39,5,5,2,2019-02-15,AR,HYSTEROSCOPY
30-39,1,3,2,2019-02-15,AR,KNEE REPLACEMENT
30-39,2,2,2,2019-02-15,AR,MASTECTOMY
40-49,6,8,2,2019-02-15,AR,CATARACT
40-49,7,9,3,2019-02-15,AR,CHOLECYSTECTOMY
40-49,5,7,2,2019-02-15,AR,CYSTOSCOPY
40-49,3,4,3,2019-02-15,AR,HIP REPLACEMENT
40-49,4,4,0,2019-02-15,AR,HYSTEROSCOPY
40-49,1,1,1,2019-02-15,AR,KNEE REPLACEMENT
40-49,3,6,1,2019-02-15,AR,MASTECTOMY
50-64,2,2,1,2019-02-15,AR,CABG
50-64,66,98,8,2019-02-15,AR,CATARACT
50-64,18,21,2,2019-02-15,AR,CHOLECYSTECTOMY
50-64,33,36,5,2019-02-15,AR,CYSTOSCOPY
50-64,6,12,6,2019-02-15,AR,HIP REPLACEMENT
50-64,5,6,5,2019-02-15,AR,HYSTEROSCOPY
50-64,7,11,3,2019-02-15,AR,KNEE REPLACEMENT
50-64,14,19,2,2019-02-15,AR,MASTECTOMY
50-64,3,5,2,2019-02-15,AR,PROSTATECTOMY
65+,1,1,1,2019-02-15,AR,CABG
65+,249,321,11,2019-02-15,AR,CATARACT
65+,15,15,2,2019-02-15,AR,CHOLECYSTECTOMY
65+,1,2,1,2019-02-15,AR,COSMETIC RECONSTRUCTION
65+,72,72,4,2019-02-15,AR,CYSTOSCOPY
65+,11,23,5,2019-02-15,AR,HIP REPLACEMENT
65+,3,3,1,2019-02-15,AR,HYSTEROSCOPY
65+,22,34,5,2019-02-15,AR,KNEE REPLACEMENT
65+,8,10,1,2019-02-15,AR,MASTECTOMY
65+,1,1,1,2019-02-15,AR,PROSTATECTOMY
18-29,1,2,1,2019-02-22,AR,CATARACT
18-29,11,12,3,2019-02-22,AR,CHOLECYSTECTOMY
18-29,2,2,1,2019-02-22,AR,CYSTOSCOPY
18-29,4,4,4,2019-02-22,AR,HYSTEROSCOPY
18-29,1,1,1,2019-02-22,AR,MASTECTOMY
30-39,1,2,1,2019-02-22,AR,CATARACT
30-39,17,19,3,2019-02-22,AR,CHOLECYSTECTOMY
30-39,9,9,2,2019-02-22,AR,CYSTOSCOPY
30-39,5,5,1,2019-02-22,AR,HYSTEROSCOPY
30-39,1,1,1,2019-02-22,AR,MASTECTOMY
40-49,3,5,1,2019-02-22,AR,CATARACT
40-49,16,19,5,2019-02-22,AR,CHOLECYSTECTOMY
40-49,15,16,7,2019-02-22,AR,CYSTOSCOPY
40-49,1,1,1,2019-02-22,AR,HIP REPLACEMENT
40-49,6,6,1,2019-02-22,AR,HYSTEROSCOPY
40-49,7,7,1,2019-02-22,AR,KNEE REPLACEMENT
50-64,70,93,12,2019-02-22,AR,CATARACT
50-64,13,15,3,2019-02-22,AR,CHOLECYSTECTOMY
50-64,23,27,3,2019-02-22,AR,CYSTOSCOPY
50-64,5,6,1,2019-02-22,AR,HIP REPLACEMENT
50-64,5,5,2,2019-02-22,AR,HYSTEROSCOPY
50-64,11,18,15,2019-02-22,AR,KNEE REPLACEMENT
50-64,10,13,2,2019-02-22,AR,MASTECTOMY
50-64,1,1,1,2019-02-22,AR,PROSTATECTOMY
65+,3,4,1,2019-02-22,AR,CABG
65+,230,270,10,2019-02-22,AR,CATARACT
65+,17,19,2,2019-02-22,AR,CHOLECYSTECTOMY
65+,46,52,4,2019-02-22,AR,CYSTOSCOPY
65+,12,18,2,2019-02-22,AR,HIP REPLACEMENT
65+,2,2,2,2019-02-22,AR,HYSTEROSCOPY
65+,31,43,3,2019-02-22,AR,KNEE REPLACEMENT
65+,6,7,2,2019-02-22,AR,MASTECTOMY
65+,5,7,1,2019-02-22,AR,PROSTATECTOMY
18-29,11,15,3,2019-03-01,AR,CHOLECYSTECTOMY
18-29,2,2,1,2019-03-01,AR,CYSTOSCOPY
18-29,3,4,3,2019-03-01,AR,HYSTEROSCOPY
30-39,14,17,4,2019-03-01,AR,CHOLECYSTECTOMY
30-39,3,5,1,2019-03-01,AR,CYSTOSCOPY
30-39,4,4,4,2019-03-01,AR,HYSTEROSCOPY
30-39,3,3,1,2019-03-01,AR,MASTECTOMY
40-49,6,9,3,2019-03-01,AR,CATARACT
40-49,9,10,4,2019-03-01,AR,CHOLECYSTECTOMY
40-49,9,12,2,2019-03-01,AR,CYSTOSCOPY
40-49,1,1,1,2019-03-01,AR,HIP REPLACEMENT
40-49,5,7,2,2019-03-01,AR,HYSTEROSCOPY
40-49,2,3,1,2019-03-01,AR,KNEE REPLACEMENT
40-49,8,12,2,2019-03-01,AR,MASTECTOMY
50-64,1,2,2,2019-03-01,AR,CABG
50-64,55,71,7,2019-03-01,AR,CATARACT
50-64,17,17,3,2019-03-01,AR,CHOLECYSTECTOMY
50-64,19,21,4,2019-03-01,AR,CYSTOSCOPY
50-64,9,16,12,2019-03-01,AR,HIP REPLACEMENT
50-64,3,3,1,2019-03-01,AR,HYSTEROSCOPY
50-64,9,15,5,2019-03-01,AR,KNEE REPLACEMENT
