age,patients,claims,physicians,week,state,elective
18-29,1,1,1,2019-01-04,AZ,CATARACT
18-29,15,21,3,2019-01-04,AZ,CHOLECYSTECTOMY
18-29,5,5,1,2019-01-04,AZ,CYSTOSCOPY
18-29,3,3,1,2019-01-04,AZ,HYSTEROSCOPY
18-29,1,1,1,2019-01-04,AZ,MASTECTOMY
30-39,2,2,0,2019-01-04,AZ,CATARACT
30-39,12,18,3,2019-01-04,AZ,CHOLECYSTECTOMY
30-39,9,10,1,2019-01-04,AZ,CYSTOSCOPY
30-39,8,11,4,2019-01-04,AZ,HYSTEROSCOPY
40-49,3,4,2,2019-01-04,AZ,CATARACT
40-49,16,22,4,2019-01-04,AZ,CHOLECYSTECTOMY
40-49,12,13,2,2019-01-04,AZ,CYSTOSCOPY
40-49,6,6,1,2019-01-04,AZ,HYSTEROSCOPY
40-49,2,2,1,2019-01-04,AZ,KNEE REPLACEMENT
40-49,3,5,3,2019-01-04,AZ,MASTECTOMY
50-64,38,56,7,2019-01-04,AZ,CATARACT
50-64,16,23,5,2019-01-04,AZ,CHOLECYSTECTOMY
50-64,44,46,4,2019-01-04,AZ,CYSTOSCOPY
50-64,8,12,2,2019-01-04,AZ,HIP REPLACEMENT
50-64,12,18,4,2019-01-04,AZ,HYSTEROSCOPY
50-64,10,16,2,2019-01-04,AZ,KNEE REPLACEMENT
50-64,8,10,4,2019-01-04,AZ,MASTECTOMY
50-64,1,1,0,2019-01-04,AZ,PROSTATECTOMY
65+,123,153,8,2019-01-04,AZ,CATARACT
65+,17,19,2,2019-01-04,AZ,CHOLECYSTECTOMY
65+,102,107,4,2019-01-04,AZ,CYSTOSCOPY
65+,8,11,2,2019-01-04,AZ,HIP REPLACEMENT
65+,3,4,1,2019-01-04,AZ,HYSTEROSCOPY
65+,22,35,3,2019-01-04,AZ,KNEE REPLACEMENT
65+,16,17,2,2019-01-04,AZ,MASTECTOMY
65+,3,3,0,2019-01-04,AZ,PROSTATECTOMY
18-29,40,56,10,2019-01-11,AZ,CHOLECYSTECTOMY
18-29,11,11,2,2019-01-11,AZ,CYSTOSCOPY
18-29,2,2,1,2019-01-11,AZ,HYSTEROSCOPY
18-29,3,4,1,2019-01-11,AZ,MASTECTOMY
30-39,3,4,2,2019-01-11,AZ,CATARACT
