age,patients,claims,physicians,week,state,elective
18-29,23,30,4,2019-01-04,CA,CHOLECYSTECTOMY
18-29,5,6,1,2019-01-04,CA,CYSTOSCOPY
18-29,2,2,1,2019-01-04,CA,HYSTEROSCOPY
18-29,2,2,1,2019-01-04,CA,MASTECTOMY
30-39,1,1,1,2019-01-04,CA,CATARACT
30-39,31,42,8,2019-01-04,CA,CHOLECYSTECTOMY
30-39,10,13,2,2019-01-04,CA,CYSTOSCOPY
30-39,2,2,1,2019-01-04,CA,HIP REPLACEMENT
30-39,15,17,2,2019-01-04,CA,HYSTEROSCOPY
40-49,7,8,3,2019-01-04,CA,CATARACT
40-49,17,22,4,2019-01-04,CA,CHOLECYSTECTOMY
40-49,22,25,5,2019-01-04,CA,CYSTOSCOPY
40-49,1,2,2,2019-01-04,CA,HIP REPLACEMENT
40-49,29,33,5,2019-01-04,CA,HYSTEROSCOPY
40-49,4,5,2,2019-01-04,CA,KNEE REPLACEMENT
40-49,5,5,1,2019-01-04,CA,MASTECTOMY
50-64,133,158,13,2019-01-04,CA,CATARACT
50-64,35,48,3,2019-01-04,CA,CHOLECYSTECTOMY
50-64,62,68,7,2019-01-04,CA,CYSTOSCOPY
50-64,8,13,1,2019-01-04,CA,HIP REPLACEMENT
50-64,23,27,5,2019-01-04,CA,HYSTEROSCOPY
50-64,15,22,3,2019-01-04,CA,KNEE REPLACEMENT
50-64,19,23,4,2019-01-04,CA,MASTECTOMY
50-64,1,1,1,2019-01-04,CA,PROSTATECTOMY
65+,495,630,17,2019-01-04,CA,CATARACT
65+,26,31,2,2019-01-04,CA,CHOLECYSTECTOMY
65+,208,217,7,2019-01-04,CA,CYSTOSCOPY
65+,20,35,4,2019-01-04,CA,HIP REPLACEMENT
65+,9,10,2,2019-01-04,CA,HYSTEROSCOPY
65+,63,94,7,2019-01-04,CA,KNEE REPLACEMENT
65+,36,43,5,2019-01-04,CA,MASTECTOMY
65+,3,5,1,2019-01-04,CA,PROSTATECTOMY
18-29,73,96,8,2019-01-11,CA,CHOLECYSTECTOMY
18-29,18,22,4,2019-01-11,CA,CYSTOSCOPY
18-29,1,1,1,2019-01-11,CA,HIP REPLACEMENT
18-29,8,9,4,2019-01-11,CA,HYSTEROSCOPY
18-29,5,6,3,2019-01-11,CA,MASTECTOMY
30-39,12,16,3,2019-01-11,CA,CATARACT
30-39,64,80,10,2019-01-11,CA,CHOLECYSTECTOMY
30-39,26,28,3,2019-01-11,CA,CYSTOSCOPY
30-39,3,4,1,2019-01-11,CA,HIP REPLACEMENT
30-39,57,62,9,2019-01-11,CA,HYSTEROSCOPY
30-39,9,11,1,2019-01-11,CA,MASTECTOMY
40-49,15,17,3,2019-01-11,CA,CATARACT
40-49,75,95,9,2019-01-11,CA,CHOLECYSTECTOMY
40-49,51,59,7,2019-01-11,CA,CYSTOSCOPY
40-49,4,5,1,2019-01-11,CA,HIP REPLACEMENT
40-49,55,59,8,2019-01-11,CA,HYSTEROSCOPY
40-49,7,11,2,2019-01-11,CA,KNEE REPLACEMENT
40-49,27,33,6,2019-01-11,CA,MASTECTOMY
50-64,293,354,24,2019-01-11,CA,CATARACT
50-64,108,136,10,2019-01-11,CA,CHOLECYSTECTOMY
50-64,224,250,15,2019-01-11,CA,CYSTOSCOPY
50-64,53,82,8,2019-01-11,CA,HIP REPLACEMENT
50-64,63,67,8,2019-01-11,CA,HYSTEROSCOPY
50-64,73,103,11,2019-01-11,CA,KNEE REPLACEMENT
50-64,54,69,7,2019-01-11,CA,MASTECTOMY
50-64,12,15,4,2019-01-11,CA,PROSTATECTOMY
65+,7,10,4,2019-01-11,CA,CABG
65+,1533,1878,38,2019-01-11,CA,CATARACT
65+,91,116,7,2019-01-11,CA,CHOLECYSTECTOMY
65+,628,668,19,2019-01-11,CA,CYSTOSCOPY
65+,81,123,11,2019-01-11,CA,HIP REPLACEMENT
65+,24,27,2,2019-01-11,CA,HYSTEROSCOPY
65+,218,295,14,2019-01-11,CA,KNEE REPLACEMENT
65+,96,105,4,2019-01-11,CA,MASTECTOMY
65+,37,51,3,2019-01-11,CA,PROSTATECTOMY
18-29,3,4,1,2019-01-18,CA,CATARACT
18-29,80,98,8,2019-01-18,CA,CHOLECYSTECTOMY
18-29,16,17,3,2019-01-18,CA,CYSTOSCOPY
18-29,19,21,4,2019-01-18,CA,HYSTEROSCOPY
18-29,1,1,1,2019-01-18,CA,KNEE REPLACEMENT
18-29,6,6,2,2019-01-18,CA,MASTECTOMY
30-39,8,11,2,2019-01-18,CA,CATARACT
30-39,86,102,7,2019-01-18,CA,CHOLECYSTECTOMY
30-39,31,33,5,2019-01-18,CA,CYSTOSCOPY
30-39,57,67,10,2019-01-18,CA,HYSTEROSCOPY
30-39,7,8,2,2019-01-18,CA,MASTECTOMY
40-49,19,21,8,2019-01-18,CA,CATARACT
40-49,72,95,9,2019-01-18,CA,CHOLECYSTECTOMY
40-49,61,70,5,2019-01-18,CA,CYSTOSCOPY
40-49,5,8,4,2019-01-18,CA,HIP REPLACEMENT
40-49,64,68,9,2019-01-18,CA,HYSTEROSCOPY
40-49,8,11,2,2019-01-18,CA,KNEE REPLACEMENT
40-49,21,24,4,2019-01-18,CA,MASTECTOMY
40-49,1,2,1,2019-01-18,CA,PROSTATECTOMY
50-64,300,365,29,2019-01-18,CA,CATARACT
50-64,97,124,12,2019-01-18,CA,CHOLECYSTECTOMY
50-64,232,253,12,2019-01-18,CA,CYSTOSCOPY
50-64,49,76,11,2019-01-18,CA,HIP REPLACEMENT
50-64,69,73,9,2019-01-18,CA,HYSTEROSCOPY
50-64,59,80,8,2019-01-18,CA,KNEE REPLACEMENT
50-64,58,66,7,2019-01-18,CA,MASTECTOMY
50-64,16,22,4,2019-01-18,CA,PROSTATECTOMY
65+,4,7,2,2019-01-18,CA,CABG
65+,1563,1916,35,2019-01-18,CA,CATARACT
65+,86,102,6,2019-01-18,CA,CHOLECYSTECTOMY
65+,646,684,20,2019-01-18,CA,CYSTOSCOPY
65+,81,119,10,2019-01-18,CA,HIP REPLACEMENT
65+,28,31,2,2019-01-18,CA,HYSTEROSCOPY
65+,216,314,12,2019-01-18,CA,KNEE REPLACEMENT
65+,75,86,5,2019-01-18,CA,MASTECTOMY
65+,26,36,3,2019-01-18,CA,PROSTATECTOMY
18-29,1,2,1,2019-01-25,CA,CATARACT
18-29,66,83,7,2019-01-25,CA,CHOLECYSTECTOMY
18-29,10,13,5,2019-01-25,CA,CYSTOSCOPY
18-29,1,1,1,2019-01-25,CA,HIP REPLACEMENT
18-29,11,12,2,2019-01-25,CA,HYSTEROSCOPY
18-29,5,5,2,2019-01-25,CA,MASTECTOMY
30-39,7,9,2,2019-01-25,CA,CATARACT
30-39,80,97,7,2019-01-25,CA,CHOLECYSTECTOMY
30-39,1,1,1,2019-01-25,CA,COSMETIC RECONSTRUCTION
30-39,40,47,6,2019-01-25,CA,CYSTOSCOPY
30-39,50,53,7,2019-01-25,CA,HYSTEROSCOPY
