age,patients,claims,physicians,week,state,elective
18-29,2,2,1,2019-01-04,CO,CHOLECYSTECTOMY
18-29,1,1,1,2019-01-04,CO,CYSTOSCOPY
18-29,2,3,2,2019-01-04,CO,HYSTEROSCOPY
30-39,13,16,3,2019-01-04,CO,CHOLECYSTECTOMY
30-39,1,1,1,2019-01-04,CO,CYSTOSCOPY
30-39,8,10,2,2019-01-04,CO,HYSTEROSCOPY
30-39,1,1,1,2019-01-04,CO,MASTECTOMY
40-49,1,1,1,2019-01-04,CO,CATARACT
40-49,5,8,3,2019-01-04,CO,CHOLECYSTECTOMY
40-49,4,5,2,2019-01-04,CO,CYSTOSCOPY
40-49,1,2,2,2019-01-04,CO,HIP REPLACEMENT
40-49,3,4,1,2019-01-04,CO,HYSTEROSCOPY
40-49,1,2,2,2019-01-04,CO,MASTECTOMY
50-64,29,36,6,2019-01-04,CO,CATARACT
50-64,7,7,2,2019-01-04,CO,CHOLECYSTECTOMY
50-64,15,21,2,2019-01-04,CO,CYSTOSCOPY
50-64,6,13,3,2019-01-04,CO,HIP REPLACEMENT
50-64,1,1,1,2019-01-04,CO,HYSTEROSCOPY
50-64,10,15,3,2019-01-04,CO,KNEE REPLACEMENT
50-64,6,7,5,2019-01-04,CO,MASTECTOMY
65+,115,136,9,2019-01-04,CO,CATARACT
65+,3,3,1,2019-01-04,CO,CHOLECYSTECTOMY
65+,44,47,3,2019-01-04,CO,CYSTOSCOPY
65+,14,28,3,2019-01-04,CO,HIP REPLACEMENT
65+,2,3,1,2019-01-04,CO,HYSTEROSCOPY
65+,17,21,2,2019-01-04,CO,KNEE REPLACEMENT
65+,4,8,1,2019-01-04,CO,MASTECTOMY
65+,2,3,1,2019-01-04,CO,PROSTATECTOMY
18-29,9,14,2,2019-01-11,CO,CHOLECYSTECTOMY
18-29,4,5,2,2019-01-11,CO,CYSTOSCOPY
18-29,6,8,1,2019-01-11,CO,HYSTEROSCOPY
18-29,1,1,1,2019-01-11,CO,MASTECTOMY
30-39,18,26,4,2019-01-11,CO,CHOLECYSTECTOMY
30-39,10,11,1,2019-01-11,CO,CYSTOSCOPY
30-39,19,27,3,2019-01-11,CO,HYSTEROSCOPY
30-39,4,4,1,2019-01-11,CO,MASTECTOMY
40-49,2,2,1,2019-01-11,CO,CATARACT
40-49,15,17,2,2019-01-11,CO,CHOLECYSTECTOMY
40-49,12,16,5,2019-01-11,CO,CYSTOSCOPY
40-49,3,6,6,2019-01-11,CO,HIP REPLACEMENT
40-49,9,11,2,2019-01-11,CO,HYSTEROSCOPY
40-49,1,1,1,2019-01-11,CO,MASTECTOMY
40-49,1,2,1,2019-01-11,CO,PROSTATECTOMY
50-64,55,66,7,2019-01-11,CO,CATARACT
50-64,22,31,8,2019-01-11,CO,CHOLECYSTECTOMY
50-64,42,44,5,2019-01-11,CO,CYSTOSCOPY
50-64,27,53,10,2019-01-11,CO,HIP REPLACEMENT
50-64,7,10,2,2019-01-11,CO,HYSTEROSCOPY
50-64,32,55,7,2019-01-11,CO,KNEE REPLACEMENT
50-64,20,27,3,2019-01-11,CO,MASTECTOMY
50-64,5,10,2,2019-01-11,CO,PROSTATECTOMY
65+,249,306,12,2019-01-11,CO,CATARACT
65+,28,33,3,2019-01-11,CO,CHOLECYSTECTOMY
65+,140,142,6,2019-01-11,CO,CYSTOSCOPY
65+,39,82,8,2019-01-11,CO,HIP REPLACEMENT
65+,7,9,2,2019-01-11,CO,HYSTEROSCOPY
65+,99,133,8,2019-01-11,CO,KNEE REPLACEMENT
65+,24,32,2,2019-01-11,CO,MASTECTOMY
65+,9,10,1,2019-01-11,CO,PROSTATECTOMY
18-29,8,10,4,2019-01-18,CO,CHOLECYSTECTOMY
18-29,3,4,1,2019-01-18,CO,CYSTOSCOPY
18-29,2,3,1,2019-01-18,CO,HYSTEROSCOPY
18-29,1,1,0,2019-01-18,CO,MASTECTOMY
