age,patients,claims,physicians,week,state,elective
18-29,1,3,1,2019-01-04,CT,CATARACT
18-29,4,6,2,2019-01-04,CT,CHOLECYSTECTOMY
18-29,1,1,1,2019-01-04,CT,MASTECTOMY
30-39,5,7,1,2019-01-04,CT,CHOLECYSTECTOMY
30-39,6,6,2,2019-01-04,CT,CYSTOSCOPY
30-39,3,3,3,2019-01-04,CT,HYSTEROSCOPY
30-39,1,2,2,2019-01-04,CT,MASTECTOMY
40-49,2,4,1,2019-01-04,CT,CATARACT
40-49,5,5,1,2019-01-04,CT,CHOLECYSTECTOMY
40-49,6,8,1,2019-01-04,CT,CYSTOSCOPY
40-49,2,2,2,2019-01-04,CT,HYSTEROSCOPY
40-49,1,1,1,2019-01-04,CT,KNEE REPLACEMENT
40-49,1,1,1,2019-01-04,CT,MASTECTOMY
50-64,19,21,5,2019-01-04,CT,CATARACT
50-64,5,6,2,2019-01-04,CT,CHOLECYSTECTOMY
50-64,20,22,4,2019-01-04,CT,CYSTOSCOPY
50-64,15,23,4,2019-01-04,CT,HIP REPLACEMENT
50-64,3,3,3,2019-01-04,CT,HYSTEROSCOPY
50-64,12,17,4,2019-01-04,CT,KNEE REPLACEMENT
50-64,8,14,2,2019-01-04,CT,MASTECTOMY
50-64,2,4,1,2019-01-04,CT,PROSTATECTOMY
65+,152,185,9,2019-01-04,CT,CATARACT
65+,9,13,1,2019-01-04,CT,CHOLECYSTECTOMY
65+,61,69,4,2019-01-04,CT,CYSTOSCOPY
65+,20,28,6,2019-01-04,CT,HIP REPLACEMENT
65+,1,1,1,2019-01-04,CT,HYSTEROSCOPY
65+,27,38,4,2019-01-04,CT,KNEE REPLACEMENT
65+,6,12,3,2019-01-04,CT,MASTECTOMY
65+,5,9,1,2019-01-04,CT,PROSTATECTOMY
18-29,1,1,1,2019-01-11,CT,CATARACT
18-29,15,20,5,2019-01-11,CT,CHOLECYSTECTOMY
18-29,1,1,1,2019-01-11,CT,CYSTOSCOPY
18-29,4,7,5,2019-01-11,CT,MASTECTOMY
30-39,2,2,2,2019-01-11,CT,CATARACT
30-39,24,41,4,2019-01-11,CT,CHOLECYSTECTOMY
30-39,6,7,1,2019-01-11,CT,CYSTOSCOPY
30-39,5,7,2,2019-01-11,CT,HYSTEROSCOPY
30-39,2,2,1,2019-01-11,CT,KNEE REPLACEMENT
30-39,2,4,3,2019-01-11,CT,MASTECTOMY
40-49,1,2,2,2019-01-11,CT,CABG
40-49,5,6,2,2019-01-11,CT,CATARACT
40-49,15,23,2,2019-01-11,CT,CHOLECYSTECTOMY
40-49,14,14,2,2019-01-11,CT,CYSTOSCOPY
40-49,2,2,2,2019-01-11,CT,HIP REPLACEMENT
40-49,13,13,6,2019-01-11,CT,HYSTEROSCOPY
40-49,2,5,3,2019-01-11,CT,KNEE REPLACEMENT
40-49,6,9,2,2019-01-11,CT,MASTECTOMY
50-64,68,86,11,2019-01-11,CT,CATARACT
50-64,27,40,4,2019-01-11,CT,CHOLECYSTECTOMY
50-64,59,67,6,2019-01-11,CT,CYSTOSCOPY
50-64,25,34,5,2019-01-11,CT,HIP REPLACEMENT
50-64,23,26,6,2019-01-11,CT,HYSTEROSCOPY
50-64,49,70,7,2019-01-11,CT,KNEE REPLACEMENT
50-64,16,27,4,2019-01-11,CT,MASTECTOMY
50-64,4,8,3,2019-01-11,CT,PROSTATECTOMY
65+,3,6,2,2019-01-11,CT,CABG
65+,407,505,18,2019-01-11,CT,CATARACT
65+,29,38,2,2019-01-11,CT,CHOLECYSTECTOMY
65+,169,200,9,2019-01-11,CT,CYSTOSCOPY
65+,34,53,6,2019-01-11,CT,HIP REPLACEMENT
65+,11,14,5,2019-01-11,CT,HYSTEROSCOPY
65+,91,120,9,2019-01-11,CT,KNEE REPLACEMENT
65+,27,37,4,2019-01-11,CT,MASTECTOMY
65+,2,4,1,2019-01-11,CT,PROSTATECTOMY
18-29,1,3,1,2019-01-18,CT,CATARACT
18-29,11,15,2,2019-01-18,CT,CHOLECYSTECTOMY
18-29,1,1,1,2019-01-18,CT,CYSTOSCOPY
18-29,2,2,2,2019-01-18,CT,HYSTEROSCOPY
30-39,1,1,1,2019-01-18,CT,CATARACT
30-39,18,25,4,2019-01-18,CT,CHOLECYSTECTOMY
30-39,5,5,2,2019-01-18,CT,CYSTOSCOPY
30-39,2,4,1,2019-01-18,CT,HIP REPLACEMENT
30-39,7,9,2,2019-01-18,CT,HYSTEROSCOPY
30-39,1,1,1,2019-01-18,CT,MASTECTOMY
40-49,3,4,1,2019-01-18,CT,CATARACT
40-49,10,18,2,2019-01-18,CT,CHOLECYSTECTOMY
40-49,8,8,3,2019-01-18,CT,CYSTOSCOPY
40-49,3,5,4,2019-01-18,CT,HIP REPLACEMENT
40-49,9,10,4,2019-01-18,CT,HYSTEROSCOPY
40-49,5,8,3,2019-01-18,CT,KNEE REPLACEMENT
40-49,7,13,4,2019-01-18,CT,MASTECTOMY
50-64,2,4,2,2019-01-18,CT,CABG
50-64,45,59,12,2019-01-18,CT,CATARACT
50-64,25,35,3,2019-01-18,CT,CHOLECYSTECTOMY
50-64,52,58,6,2019-01-18,CT,CYSTOSCOPY
50-64,22,33,7,2019-01-18,CT,HIP REPLACEMENT
50-64,13,15,6,2019-01-18,CT,HYSTEROSCOPY
50-64,28,39,5,2019-01-18,CT,KNEE REPLACEMENT
50-64,20,32,5,2019-01-18,CT,MASTECTOMY
50-64,7,13,2,2019-01-18,CT,PROSTATECTOMY
65+,4,7,2,2019-01-18,CT,CABG
65+,374,451,18,2019-01-18,CT,CATARACT
65+,17,21,2,2019-01-18,CT,CHOLECYSTECTOMY
65+,174,202,8,2019-01-18,CT,CYSTOSCOPY
65+,27,44,5,2019-01-18,CT,HIP REPLACEMENT
65+,11,13,2,2019-01-18,CT,HYSTEROSCOPY
65+,67,89,8,2019-01-18,CT,KNEE REPLACEMENT
65+,28,43,3,2019-01-18,CT,MASTECTOMY
65+,7,17,2,2019-01-18,CT,PROSTATECTOMY
18-29,8,15,3,2019-01-25,CT,CHOLECYSTECTOMY
18-29,4,5,1,2019-01-25,CT,CYSTOSCOPY
18-29,3,4,1,2019-01-25,CT,HYSTEROSCOPY
30-39,2,2,2,2019-01-25,CT,CATARACT
30-39,14,23,6,2019-01-25,CT,CHOLECYSTECTOMY
30-39,5,5,2,2019-01-25,CT,CYSTOSCOPY
30-39,8,8,2,2019-01-25,CT,HYSTEROSCOPY
30-39,3,3,1,2019-01-25,CT,MASTECTOMY
40-49,6,8,2,2019-01-25,CT,CATARACT
40-49,10,16,3,2019-01-25,CT,CHOLECYSTECTOMY
40-49,7,7,2,2019-01-25,CT,CYSTOSCOPY
40-49,2,2,1,2019-01-25,CT,HIP REPLACEMENT
40-49,15,17,3,2019-01-25,CT,HYSTEROSCOPY
40-49,2,2,1,2019-01-25,CT,KNEE REPLACEMENT
40-49,13,27,6,2019-01-25,CT,MASTECTOMY
50-64,3,6,2,2019-01-25,CT,CABG
50-64,53,71,12,2019-01-25,CT,CATARACT
50-64,32,56,7,2019-01-25,CT,CHOLECYSTECTOMY
50-64,60,64,6,2019-01-25,CT,CYSTOSCOPY
50-64,22,33,7,2019-01-25,CT,HIP REPLACEMENT
50-64,15,16,4,2019-01-25,CT,HYSTEROSCOPY
50-64,42,59,4,2019-01-25,CT,KNEE REPLACEMENT
50-64,12,21,3,2019-01-25,CT,MASTECTOMY
50-64,6,11,3,2019-01-25,CT,PROSTATECTOMY
65+,2,4,2,2019-01-25,CT,CABG
65+,365,452,17,2019-01-25,CT,CATARACT
