age,patients,claims,physicians,week,state,elective
18-29,1,1,1,2019-01-04,DC,CYSTOSCOPY
30-39,1,1,1,2019-01-04,DC,MASTECTOMY
40-49,3,5,1,2019-01-04,DC,CYSTOSCOPY
40-49,1,1,1,2019-01-04,DC,KNEE REPLACEMENT
50-64,3,4,2,2019-01-04,DC,CATARACT
50-64,2,2,2,2019-01-04,DC,CYSTOSCOPY
50-64,3,3,2,2019-01-04,DC,HIP REPLACEMENT
50-64,1,1,1,2019-01-04,DC,MASTECTOMY
65+,6,8,1,2019-01-04,DC,CATARACT
65+,3,4,1,2019-01-04,DC,CYSTOSCOPY
65+,1,2,2,2019-01-04,DC,HIP REPLACEMENT
65+,3,4,2,2019-01-04,DC,KNEE REPLACEMENT
65+,1,1,1,2019-01-04,DC,MASTECTOMY
18-29,2,3,2,2019-01-11,DC,CHOLECYSTECTOMY
18-29,3,5,2,2019-01-11,DC,CYSTOSCOPY
30-39,3,3,1,2019-01-11,DC,CHOLECYSTECTOMY
30-39,2,2,1,2019-01-11,DC,CYSTOSCOPY
30-39,2,2,1,2019-01-11,DC,HYSTEROSCOPY
40-49,5,6,1,2019-01-11,DC,CHOLECYSTECTOMY
40-49,4,4,1,2019-01-11,DC,CYSTOSCOPY
40-49,5,6,1,2019-01-11,DC,HYSTEROSCOPY
40-49,2,2,1,2019-01-11,DC,MASTECTOMY
50-64,12,15,3,2019-01-11,DC,CATARACT
50-64,2,2,1,2019-01-11,DC,CHOLECYSTECTOMY
50-64,3,3,1,2019-01-11,DC,CYSTOSCOPY
50-64,1,2,2,2019-01-11,DC,HIP REPLACEMENT
50-64,5,5,1,2019-01-11,DC,HYSTEROSCOPY
50-64,2,4,4,2019-01-11,DC,KNEE REPLACEMENT
50-64,3,3,3,2019-01-11,DC,MASTECTOMY
65+,29,31,4,2019-01-11,DC,CATARACT
65+,2,2,1,2019-01-11,DC,CHOLECYSTECTOMY
65+,7,7,2,2019-01-11,DC,CYSTOSCOPY
65+,3,6,3,2019-01-11,DC,HIP REPLACEMENT
65+,1,1,1,2019-01-11,DC,HYSTEROSCOPY
65+,4,6,2,2019-01-11,DC,KNEE REPLACEMENT
65+,2,2,2,2019-01-11,DC,MASTECTOMY
65+,1,1,1,2019-01-11,DC,PROSTATECTOMY
18-29,1,1,1,2019-01-18,DC,CYSTOSCOPY
30-39,1,2,1,2019-01-18,DC,CATARACT
30-39,2,2,2,2019-01-18,DC,CHOLECYSTECTOMY
40-49,3,3,1,2019-01-18,DC,CATARACT
40-49,2,2,1,2019-01-18,DC,CHOLECYSTECTOMY
40-49,2,2,0,2019-01-18,DC,CYSTOSCOPY
50-64,9,11,2,2019-01-18,DC,CATARACT
50-64,3,3,1,2019-01-18,DC,CHOLECYSTECTOMY
50-64,3,4,1,2019-01-18,DC,CYSTOSCOPY
50-64,1,1,1,2019-01-18,DC,HIP REPLACEMENT
50-64,2,2,0,2019-01-18,DC,KNEE REPLACEMENT
65+,16,18,3,2019-01-18,DC,CATARACT
65+,3,3,1,2019-01-18,DC,CHOLECYSTECTOMY
65+,7,12,1,2019-01-18,DC,CYSTOSCOPY
65+,7,14,2,2019-01-18,DC,HIP REPLACEMENT
65+,6,7,1,2019-01-18,DC,KNEE REPLACEMENT
18-29,4,6,1,2019-01-25,DC,CHOLECYSTECTOMY
18-29,1,1,0,2019-01-25,DC,HYSTEROSCOPY
18-29,1,2,1,2019-01-25,DC,MASTECTOMY
30-39,2,4,4,2019-01-25,DC,CHOLECYSTECTOMY
30-39,1,1,1,2019-01-25,DC,CYSTOSCOPY
30-39,1,2,2,2019-01-25,DC,HIP REPLACEMENT
30-39,3,4,1,2019-01-25,DC,HYSTEROSCOPY
40-49,1,1,1,2019-01-25,DC,CATARACT
40-49,2,3,1,2019-01-25,DC,CHOLECYSTECTOMY
40-49,2,3,1,2019-01-25,DC,HYSTEROSCOPY
40-49,1,1,0,2019-01-25,DC,MASTECTOMY
50-64,12,18,3,2019-01-25,DC,CATARACT
50-64,3,4,1,2019-01-25,DC,CHOLECYSTECTOMY
50-64,10,11,1,2019-01-25,DC,CYSTOSCOPY
50-64,4,4,4,2019-01-25,DC,HYSTEROSCOPY
50-64,2,2,1,2019-01-25,DC,KNEE REPLACEMENT
50-64,1,2,1,2019-01-25,DC,MASTECTOMY
65+,18,20,3,2019-01-25,DC,CATARACT
65+,4,4,2,2019-01-25,DC,CHOLECYSTECTOMY
65+,7,11,1,2019-01-25,DC,CYSTOSCOPY
65+,2,3,1,2019-01-25,DC,HIP REPLACEMENT
65+,1,1,1,2019-01-25,DC,HYSTEROSCOPY
65+,8,11,2,2019-01-25,DC,KNEE REPLACEMENT
65+,1,1,1,2019-01-25,DC,MASTECTOMY
18-29,1,1,1,2019-02-01,DC,CHOLECYSTECTOMY
18-29,2,2,1,2019-02-01,DC,CYSTOSCOPY
30-39,2,3,1,2019-02-01,DC,CATARACT
30-39,2,4,3,2019-02-01,DC,CHOLECYSTECTOMY
30-39,2,2,2,2019-02-01,DC,CYSTOSCOPY
30-39,1,1,1,2019-02-01,DC,MASTECTOMY
40-49,1,1,1,2019-02-01,DC,CHOLECYSTECTOMY
40-49,3,5,1,2019-02-01,DC,CYSTOSCOPY
40-49,1,1,1,2019-02-01,DC,KNEE REPLACEMENT
40-49,2,3,2,2019-02-01,DC,MASTECTOMY
50-64,7,7,5,2019-02-01,DC,CATARACT
50-64,5,7,2,2019-02-01,DC,CHOLECYSTECTOMY
50-64,7,7,2,2019-02-01,DC,CYSTOSCOPY
50-64,4,5,2,2019-02-01,DC,HIP REPLACEMENT
50-64,4,6,1,2019-02-01,DC,KNEE REPLACEMENT
50-64,2,2,1,2019-02-01,DC,MASTECTOMY
65+,14,15,2,2019-02-01,DC,CATARACT
