age,patients,claims,physicians,week,state,elective
18-29,1,3,2,2019-01-04,DE,CHOLECYSTECTOMY
18-29,4,4,1,2019-01-04,DE,CYSTOSCOPY
18-29,2,2,1,2019-01-04,DE,HYSTEROSCOPY
30-39,4,5,2,2019-01-04,DE,CHOLECYSTECTOMY
30-39,9,9,3,2019-01-04,DE,HYSTEROSCOPY
40-49,1,1,1,2019-01-04,DE,CATARACT
40-49,5,5,1,2019-01-04,DE,CHOLECYSTECTOMY
40-49,3,4,1,2019-01-04,DE,CYSTOSCOPY
40-49,5,5,1,2019-01-04,DE,HYSTEROSCOPY
40-49,1,1,1,2019-01-04,DE,MASTECTOMY
50-64,11,14,2,2019-01-04,DE,CATARACT
50-64,4,4,2,2019-01-04,DE,CHOLECYSTECTOMY
50-64,5,5,2,2019-01-04,DE,CYSTOSCOPY
50-64,2,3,1,2019-01-04,DE,HIP REPLACEMENT
50-64,2,3,1,2019-01-04,DE,HYSTEROSCOPY
50-64,6,8,2,2019-01-04,DE,KNEE REPLACEMENT
65+,42,50,2,2019-01-04,DE,CATARACT
65+,1,2,2,2019-01-04,DE,CHOLECYSTECTOMY
65+,20,22,1,2019-01-04,DE,CYSTOSCOPY
65+,2,3,1,2019-01-04,DE,HIP REPLACEMENT
65+,1,1,1,2019-01-04,DE,HYSTEROSCOPY
65+,14,20,2,2019-01-04,DE,KNEE REPLACEMENT
65+,4,4,2,2019-01-04,DE,MASTECTOMY
18-29,2,4,2,2019-01-11,DE,CATARACT
18-29,9,11,3,2019-01-11,DE,CHOLECYSTECTOMY
18-29,1,1,1,2019-01-11,DE,CYSTOSCOPY
18-29,3,3,1,2019-01-11,DE,HYSTEROSCOPY
30-39,4,7,1,2019-01-11,DE,CHOLECYSTECTOMY
30-39,2,2,1,2019-01-11,DE,CYSTOSCOPY
30-39,12,14,1,2019-01-11,DE,HYSTEROSCOPY
30-39,1,1,1,2019-01-11,DE,MASTECTOMY
40-49,6,10,2,2019-01-11,DE,CHOLECYSTECTOMY
40-49,7,8,2,2019-01-11,DE,CYSTOSCOPY
40-49,1,1,1,2019-01-11,DE,HIP REPLACEMENT
40-49,9,11,2,2019-01-11,DE,HYSTEROSCOPY
40-49,2,3,1,2019-01-11,DE,KNEE REPLACEMENT
40-49,1,2,2,2019-01-11,DE,MASTECTOMY
50-64,29,36,3,2019-01-11,DE,CATARACT
50-64,17,26,4,2019-01-11,DE,CHOLECYSTECTOMY
