age,patients,claims,physicians,week,state,elective
18-29,1,1,0,2019-01-04,FL,CATARACT
18-29,20,26,6,2019-01-04,FL,CHOLECYSTECTOMY
18-29,4,4,1,2019-01-04,FL,CYSTOSCOPY
18-29,1,2,1,2019-01-04,FL,HIP REPLACEMENT
18-29,3,5,1,2019-01-04,FL,HYSTEROSCOPY
18-29,1,1,1,2019-01-04,FL,MASTECTOMY
30-39,2,2,2,2019-01-04,FL,CATARACT
30-39,23,33,4,2019-01-04,FL,CHOLECYSTECTOMY
30-39,13,16,3,2019-01-04,FL,CYSTOSCOPY
30-39,23,27,11,2019-01-04,FL,HYSTEROSCOPY
30-39,4,4,3,2019-01-04,FL,MASTECTOMY
40-49,3,3,1,2019-01-04,FL,CATARACT
40-49,28,41,6,2019-01-04,FL,CHOLECYSTECTOMY
40-49,24,24,4,2019-01-04,FL,CYSTOSCOPY
40-49,1,3,2,2019-01-04,FL,HIP REPLACEMENT
40-49,23,24,5,2019-01-04,FL,HYSTEROSCOPY
40-49,2,3,1,2019-01-04,FL,KNEE REPLACEMENT
40-49,7,8,2,2019-01-04,FL,MASTECTOMY
50-64,91,115,15,2019-01-04,FL,CATARACT
50-64,47,66,7,2019-01-04,FL,CHOLECYSTECTOMY
50-64,63,68,6,2019-01-04,FL,CYSTOSCOPY
50-64,15,29,7,2019-01-04,FL,HIP REPLACEMENT
50-64,25,34,4,2019-01-04,FL,HYSTEROSCOPY
50-64,30,52,6,2019-01-04,FL,KNEE REPLACEMENT
50-64,17,31,3,2019-01-04,FL,MASTECTOMY
50-64,9,10,1,2019-01-04,FL,PROSTATECTOMY
65+,480,678,25,2019-01-04,FL,CATARACT
65+,65,82,7,2019-01-04,FL,CHOLECYSTECTOMY
65+,261,288,11,2019-01-04,FL,CYSTOSCOPY
65+,58,99,8,2019-01-04,FL,HIP REPLACEMENT
65+,17,19,2,2019-01-04,FL,HYSTEROSCOPY
65+,72,117,7,2019-01-04,FL,KNEE REPLACEMENT
65+,53,77,5,2019-01-04,FL,MASTECTOMY
65+,9,13,2,2019-01-04,FL,PROSTATECTOMY
18-29,61,87,11,2019-01-11,FL,CHOLECYSTECTOMY
18-29,16,18,2,2019-01-11,FL,CYSTOSCOPY
18-29,1,1,1,2019-01-11,FL,HIP REPLACEMENT
18-29,28,39,6,2019-01-11,FL,HYSTEROSCOPY
18-29,3,3,1,2019-01-11,FL,MASTECTOMY
30-39,5,7,5,2019-01-11,FL,CATARACT
30-39,79,108,14,2019-01-11,FL,CHOLECYSTECTOMY
30-39,33,38,4,2019-01-11,FL,CYSTOSCOPY
30-39,2,3,1,2019-01-11,FL,HIP REPLACEMENT
30-39,89,106,11,2019-01-11,FL,HYSTEROSCOPY
30-39,1,2,2,2019-01-11,FL,KNEE REPLACEMENT
30-39,15,26,18,2019-01-11,FL,MASTECTOMY
40-49,1,1,1,2019-01-11,FL,CABG
40-49,23,28,7,2019-01-11,FL,CATARACT
40-49,86,117,14,2019-01-11,FL,CHOLECYSTECTOMY
