age,patients,claims,physicians,week,state,elective
18-29,1,1,1,2019-01-04,GA,CATARACT
18-29,16,19,4,2019-01-04,GA,CHOLECYSTECTOMY
18-29,1,1,1,2019-01-04,GA,HYSTEROSCOPY
18-29,1,1,1,2019-01-04,GA,KNEE REPLACEMENT
30-39,9,11,3,2019-01-04,GA,CHOLECYSTECTOMY
30-39,2,3,2,2019-01-04,GA,CYSTOSCOPY
30-39,2,3,1,2019-01-04,GA,HIP REPLACEMENT
30-39,2,2,2,2019-01-04,GA,HYSTEROSCOPY
40-49,2,3,1,2019-01-04,GA,CATARACT
40-49,11,15,3,2019-01-04,GA,CHOLECYSTECTOMY
40-49,9,14,4,2019-01-04,GA,CYSTOSCOPY
40-49,1,4,2,2019-01-04,GA,HIP REPLACEMENT
40-49,5,7,2,2019-01-04,GA,HYSTEROSCOPY
40-49,6,6,2,2019-01-04,GA,MASTECTOMY
50-64,41,52,3,2019-01-04,GA,CATARACT
50-64,17,25,3,2019-01-04,GA,CHOLECYSTECTOMY
50-64,24,32,4,2019-01-04,GA,CYSTOSCOPY
50-64,5,7,3,2019-01-04,GA,HIP REPLACEMENT
50-64,2,2,1,2019-01-04,GA,HYSTEROSCOPY
50-64,5,8,2,2019-01-04,GA,KNEE REPLACEMENT
50-64,6,6,3,2019-01-04,GA,MASTECTOMY
65+,252,342,10,2019-01-04,GA,CATARACT
65+,29,32,3,2019-01-04,GA,CHOLECYSTECTOMY
65+,71,86,4,2019-01-04,GA,CYSTOSCOPY
65+,5,5,2,2019-01-04,GA,HIP REPLACEMENT
65+,5,6,1,2019-01-04,GA,HYSTEROSCOPY
65+,23,23,2,2019-01-04,GA,KNEE REPLACEMENT
65+,21,22,2,2019-01-04,GA,MASTECTOMY
65+,1,1,1,2019-01-04,GA,PROSTATECTOMY
18-29,19,28,3,2019-01-11,GA,CHOLECYSTECTOMY
18-29,7,10,1,2019-01-11,GA,CYSTOSCOPY
18-29,6,7,1,2019-01-11,GA,HYSTEROSCOPY
18-29,1,1,1,2019-01-11,GA,MASTECTOMY
30-39,1,2,1,2019-01-11,GA,CATARACT
30-39,36,53,12,2019-01-11,GA,CHOLECYSTECTOMY
30-39,10,13,3,2019-01-11,GA,CYSTOSCOPY
30-39,1,1,1,2019-01-11,GA,HIP REPLACEMENT
30-39,15,18,2,2019-01-11,GA,HYSTEROSCOPY
30-39,1,2,1,2019-01-11,GA,KNEE REPLACEMENT
40-49,4,4,1,2019-01-11,GA,CATARACT
40-49,37,51,5,2019-01-11,GA,CHOLECYSTECTOMY
40-49,14,17,4,2019-01-11,GA,CYSTOSCOPY
40-49,8,11,1,2019-01-11,GA,HIP REPLACEMENT
40-49,20,22,4,2019-01-11,GA,HYSTEROSCOPY
40-49,5,9,2,2019-01-11,GA,KNEE REPLACEMENT
40-49,13,20,4,2019-01-11,GA,MASTECTOMY
40-49,1,1,1,2019-01-11,GA,PROSTATECTOMY
50-64,120,157,10,2019-01-11,GA,CATARACT
50-64,62,88,5,2019-01-11,GA,CHOLECYSTECTOMY
50-64,67,85,5,2019-01-11,GA,CYSTOSCOPY
50-64,21,28,2,2019-01-11,GA,HIP REPLACEMENT
50-64,20,23,4,2019-01-11,GA,HYSTEROSCOPY
50-64,41,48,6,2019-01-11,GA,KNEE REPLACEMENT
50-64,30,42,4,2019-01-11,GA,MASTECTOMY
50-64,5,5,2,2019-01-11,GA,PROSTATECTOMY
65+,2,2,1,2019-01-11,GA,CABG
65+,652,812,18,2019-01-11,GA,CATARACT
65+,73,93,5,2019-01-11,GA,CHOLECYSTECTOMY
65+,201,259,9,2019-01-11,GA,CYSTOSCOPY
65+,31,45,4,2019-01-11,GA,HIP REPLACEMENT
65+,8,10,2,2019-01-11,GA,HYSTEROSCOPY
65+,114,140,6,2019-01-11,GA,KNEE REPLACEMENT
65+,46,56,5,2019-01-11,GA,MASTECTOMY
65+,14,16,3,2019-01-11,GA,PROSTATECTOMY
18-29,37,46,6,2019-01-18,GA,CHOLECYSTECTOMY
18-29,4,5,2,2019-01-18,GA,CYSTOSCOPY
18-29,11,11,2,2019-01-18,GA,HYSTEROSCOPY
