age,patients,claims,physicians,week,state,elective
40-49,1,1,1,2019-01-04,HI,CHOLECYSTECTOMY
40-49,1,1,1,2019-01-04,HI,CYSTOSCOPY
50-64,2,3,2,2019-01-04,HI,CATARACT
50-64,1,1,1,2019-01-04,HI,CHOLECYSTECTOMY
50-64,1,1,1,2019-01-04,HI,CYSTOSCOPY
50-64,1,1,1,2019-01-04,HI,KNEE REPLACEMENT
65+,8,13,1,2019-01-04,HI,CATARACT
65+,1,2,2,2019-01-04,HI,CHOLECYSTECTOMY
65+,6,7,1,2019-01-04,HI,CYSTOSCOPY
65+,1,1,1,2019-01-04,HI,HIP REPLACEMENT
65+,2,2,1,2019-01-04,HI,KNEE REPLACEMENT
18-29,4,5,2,2019-01-11,HI,CHOLECYSTECTOMY
30-39,2,2,1,2019-01-11,HI,CHOLECYSTECTOMY
30-39,1,1,1,2019-01-11,HI,CYSTOSCOPY
30-39,3,3,2,2019-01-11,HI,HYSTEROSCOPY
40-49,1,1,1,2019-01-11,HI,CATARACT
40-49,2,2,2,2019-01-11,HI,CHOLECYSTECTOMY
40-49,1,1,1,2019-01-11,HI,HIP REPLACEMENT
40-49,5,5,5,2019-01-11,HI,HYSTEROSCOPY
40-49,2,2,1,2019-01-11,HI,MASTECTOMY
50-64,6,9,2,2019-01-11,HI,CATARACT
50-64,1,2,1,2019-01-11,HI,CHOLECYSTECTOMY
50-64,1,1,1,2019-01-11,HI,CYSTOSCOPY
50-64,2,2,2,2019-01-11,HI,HIP REPLACEMENT
50-64,4,4,4,2019-01-11,HI,HYSTEROSCOPY
50-64,2,3,1,2019-01-11,HI,KNEE REPLACEMENT
50-64,2,2,2,2019-01-11,HI,MASTECTOMY
50-64,1,1,1,2019-01-11,HI,PROSTATECTOMY
65+,40,48,4,2019-01-11,HI,CATARACT
65+,6,6,1,2019-01-11,HI,CHOLECYSTECTOMY
65+,12,12,2,2019-01-11,HI,CYSTOSCOPY
65+,2,2,2,2019-01-11,HI,HIP REPLACEMENT
65+,4,5,1,2019-01-11,HI,HYSTEROSCOPY
65+,11,12,1,2019-01-11,HI,KNEE REPLACEMENT
65+,4,4,2,2019-01-11,HI,MASTECTOMY
65+,1,1,1,2019-01-11,HI,PROSTATECTOMY
18-29,1,1,1,2019-01-18,HI,CHOLECYSTECTOMY
18-29,1,2,1,2019-01-18,HI,HYSTEROSCOPY
30-39,1,1,1,2019-01-18,HI,CHOLECYSTECTOMY
30-39,9,9,4,2019-01-18,HI,HYSTEROSCOPY
40-49,1,1,1,2019-01-18,HI,CATARACT
40-49,4,4,3,2019-01-18,HI,HYSTEROSCOPY
40-49,2,2,2,2019-01-18,HI,MASTECTOMY
50-64,7,11,2,2019-01-18,HI,CATARACT
50-64,1,1,1,2019-01-18,HI,CHOLECYSTECTOMY
50-64,3,4,1,2019-01-18,HI,CYSTOSCOPY
