age,patients,claims,physicians,week,state,elective
18-29,13,22,4,2019-01-04,IA,CHOLECYSTECTOMY
18-29,2,2,1,2019-01-04,IA,CYSTOSCOPY
18-29,1,1,1,2019-01-04,IA,HYSTEROSCOPY
30-39,13,21,7,2019-01-04,IA,CHOLECYSTECTOMY
30-39,3,3,1,2019-01-04,IA,CYSTOSCOPY
30-39,4,4,4,2019-01-04,IA,HYSTEROSCOPY
30-39,1,2,1,2019-01-04,IA,MASTECTOMY
40-49,4,4,2,2019-01-04,IA,CATARACT
40-49,9,16,5,2019-01-04,IA,CHOLECYSTECTOMY
40-49,7,9,1,2019-01-04,IA,CYSTOSCOPY
40-49,1,1,1,2019-01-04,IA,HYSTEROSCOPY
40-49,3,6,4,2019-01-04,IA,MASTECTOMY
50-64,24,30,4,2019-01-04,IA,CATARACT
50-64,4,5,4,2019-01-04,IA,CHOLECYSTECTOMY
50-64,21,27,6,2019-01-04,IA,CYSTOSCOPY
50-64,3,5,4,2019-01-04,IA,HIP REPLACEMENT
50-64,3,4,4,2019-01-04,IA,HYSTEROSCOPY
50-64,6,11,6,2019-01-04,IA,KNEE REPLACEMENT
50-64,12,19,5,2019-01-04,IA,MASTECTOMY
50-64,1,2,2,2019-01-04,IA,PROSTATECTOMY
65+,119,163,7,2019-01-04,IA,CATARACT
65+,9,12,2,2019-01-04,IA,CHOLECYSTECTOMY
65+,44,50,4,2019-01-04,IA,CYSTOSCOPY
65+,8,12,2,2019-01-04,IA,HIP REPLACEMENT
65+,4,6,1,2019-01-04,IA,HYSTEROSCOPY
65+,16,23,3,2019-01-04,IA,KNEE REPLACEMENT
65+,9,11,1,2019-01-04,IA,MASTECTOMY
65+,5,6,1,2019-01-04,IA,PROSTATECTOMY
18-29,24,37,6,2019-01-11,IA,CHOLECYSTECTOMY
18-29,4,6,1,2019-01-11,IA,CYSTOSCOPY
18-29,2,2,1,2019-01-11,IA,HYSTEROSCOPY
30-39,24,33,5,2019-01-11,IA,CHOLECYSTECTOMY
30-39,6,6,1,2019-01-11,IA,CYSTOSCOPY
30-39,1,1,1,2019-01-11,IA,HIP REPLACEMENT
30-39,3,6,1,2019-01-11,IA,HYSTEROSCOPY
30-39,1,2,2,2019-01-11,IA,MASTECTOMY
40-49,7,14,3,2019-01-11,IA,CATARACT
40-49,19,33,5,2019-01-11,IA,CHOLECYSTECTOMY
40-49,10,11,1,2019-01-11,IA,CYSTOSCOPY
40-49,2,4,3,2019-01-11,IA,HIP REPLACEMENT
40-49,4,6,4,2019-01-11,IA,HYSTEROSCOPY
40-49,1,4,2,2019-01-11,IA,KNEE REPLACEMENT
40-49,4,7,1,2019-01-11,IA,MASTECTOMY
50-64,74,101,8,2019-01-11,IA,CATARACT
50-64,27,43,6,2019-01-11,IA,CHOLECYSTECTOMY
50-64,33,40,4,2019-01-11,IA,CYSTOSCOPY
50-64,11,20,3,2019-01-11,IA,HIP REPLACEMENT
50-64,17,24,4,2019-01-11,IA,HYSTEROSCOPY
50-64,43,76,8,2019-01-11,IA,KNEE REPLACEMENT
50-64,14,22,4,2019-01-11,IA,MASTECTOMY
50-64,4,8,2,2019-01-11,IA,PROSTATECTOMY
65+,1,2,2,2019-01-11,IA,CABG
65+,325,408,12,2019-01-11,IA,CATARACT
65+,31,37,3,2019-01-11,IA,CHOLECYSTECTOMY
65+,128,148,6,2019-01-11,IA,CYSTOSCOPY
65+,21,45,5,2019-01-11,IA,HIP REPLACEMENT
65+,2,3,1,2019-01-11,IA,HYSTEROSCOPY
65+,65,105,9,2019-01-11,IA,KNEE REPLACEMENT
65+,29,41,6,2019-01-11,IA,MASTECTOMY
65+,5,9,3,2019-01-11,IA,PROSTATECTOMY
18-29,3,3,1,2019-01-18,IA,CATARACT
18-29,24,39,11,2019-01-18,IA,CHOLECYSTECTOMY
18-29,2,3,1,2019-01-18,IA,CYSTOSCOPY
18-29,3,5,1,2019-01-18,IA,HYSTEROSCOPY
18-29,1,1,1,2019-01-18,IA,MASTECTOMY
30-39,17,30,6,2019-01-18,IA,CHOLECYSTECTOMY
30-39,9,15,2,2019-01-18,IA,CYSTOSCOPY
30-39,2,4,1,2019-01-18,IA,HIP REPLACEMENT
30-39,5,8,2,2019-01-18,IA,HYSTEROSCOPY
30-39,2,2,1,2019-01-18,IA,MASTECTOMY
40-49,7,9,2,2019-01-18,IA,CATARACT
40-49,11,21,5,2019-01-18,IA,CHOLECYSTECTOMY
40-49,12,15,4,2019-01-18,IA,CYSTOSCOPY
40-49,2,4,2,2019-01-18,IA,HIP REPLACEMENT
40-49,10,13,2,2019-01-18,IA,HYSTEROSCOPY
40-49,3,5,2,2019-01-18,IA,KNEE REPLACEMENT
40-49,2,5,3,2019-01-18,IA,MASTECTOMY
50-64,72,99,10,2019-01-18,IA,CATARACT
50-64,32,56,7,2019-01-18,IA,CHOLECYSTECTOMY
50-64,41,55,6,2019-01-18,IA,CYSTOSCOPY
50-64,14,26,6,2019-01-18,IA,HIP REPLACEMENT
50-64,19,25,5,2019-01-18,IA,HYSTEROSCOPY
50-64,46,70,9,2019-01-18,IA,KNEE REPLACEMENT
