age,patients,claims,physicians,week,state,elective
18-29,1,1,1,2019-01-04,ID,CHOLECYSTECTOMY
30-39,1,2,1,2019-01-04,ID,CYSTOSCOPY
40-49,2,2,1,2019-01-04,ID,CATARACT
40-49,1,3,2,2019-01-04,ID,CHOLECYSTECTOMY
40-49,3,6,1,2019-01-04,ID,CYSTOSCOPY
50-64,2,3,1,2019-01-04,ID,CATARACT
50-64,2,4,3,2019-01-04,ID,CHOLECYSTECTOMY
50-64,7,12,1,2019-01-04,ID,CYSTOSCOPY
50-64,3,7,6,2019-01-04,ID,HIP REPLACEMENT
50-64,4,5,2,2019-01-04,ID,KNEE REPLACEMENT
50-64,1,1,1,2019-01-04,ID,MASTECTOMY
65+,38,56,2,2019-01-04,ID,CATARACT
65+,2,3,1,2019-01-04,ID,CHOLECYSTECTOMY
65+,6,10,1,2019-01-04,ID,CYSTOSCOPY
65+,1,2,2,2019-01-04,ID,HIP REPLACEMENT
65+,6,10,4,2019-01-04,ID,KNEE REPLACEMENT
65+,2,4,1,2019-01-04,ID,MASTECTOMY
18-29,5,9,2,2019-01-11,ID,CHOLECYSTECTOMY
18-29,1,2,1,2019-01-11,ID,CYSTOSCOPY
30-39,5,8,2,2019-01-11,ID,CHOLECYSTECTOMY
30-39,1,1,1,2019-01-11,ID,CYSTOSCOPY
40-49,4,5,4,2019-01-11,ID,CATARACT
40-49,8,11,2,2019-01-11,ID,CHOLECYSTECTOMY
40-49,6,9,2,2019-01-11,ID,CYSTOSCOPY
40-49,1,2,2,2019-01-11,ID,HIP REPLACEMENT
40-49,2,2,1,2019-01-11,ID,MASTECTOMY
50-64,10,15,2,2019-01-11,ID,CATARACT
50-64,4,6,3,2019-01-11,ID,CHOLECYSTECTOMY
50-64,9,15,2,2019-01-11,ID,CYSTOSCOPY
50-64,3,6,6,2019-01-11,ID,HIP REPLACEMENT
50-64,6,12,2,2019-01-11,ID,KNEE REPLACEMENT
50-64,6,9,3,2019-01-11,ID,MASTECTOMY
50-64,1,2,1,2019-01-11,ID,PROSTATECTOMY
65+,67,89,3,2019-01-11,ID,CATARACT
65+,11,15,2,2019-01-11,ID,CHOLECYSTECTOMY
65+,36,54,2,2019-01-11,ID,CYSTOSCOPY
65+,8,16,2,2019-01-11,ID,HIP REPLACEMENT
65+,21,32,3,2019-01-11,ID,KNEE REPLACEMENT
65+,9,11,2,2019-01-11,ID,MASTECTOMY
65+,1,1,1,2019-01-11,ID,PROSTATECTOMY
18-29,10,17,3,2019-01-18,ID,CHOLECYSTECTOMY
18-29,4,5,1,2019-01-18,ID,CYSTOSCOPY
18-29,2,2,1,2019-01-18,ID,HYSTEROSCOPY
30-39,6,6,2,2019-01-18,ID,CHOLECYSTECTOMY
30-39,4,6,1,2019-01-18,ID,CYSTOSCOPY
30-39,1,1,1,2019-01-18,ID,HIP REPLACEMENT
30-39,2,2,2,2019-01-18,ID,HYSTEROSCOPY
40-49,4,4,4,2019-01-18,ID,CATARACT
40-49,2,4,2,2019-01-18,ID,CHOLECYSTECTOMY
40-49,5,6,2,2019-01-18,ID,CYSTOSCOPY
40-49,1,1,1,2019-01-18,ID,HYSTEROSCOPY
40-49,1,1,1,2019-01-18,ID,KNEE REPLACEMENT
40-49,2,3,1,2019-01-18,ID,MASTECTOMY
50-64,19,22,2,2019-01-18,ID,CATARACT
50-64,9,12,5,2019-01-18,ID,CHOLECYSTECTOMY
50-64,7,10,3,2019-01-18,ID,CYSTOSCOPY
50-64,4,9,3,2019-01-18,ID,HIP REPLACEMENT
50-64,3,4,1,2019-01-18,ID,HYSTEROSCOPY
50-64,4,9,2,2019-01-18,ID,KNEE REPLACEMENT
50-64,2,3,1,2019-01-18,ID,MASTECTOMY
65+,82,114,3,2019-01-18,ID,CATARACT
65+,10,12,1,2019-01-18,ID,CHOLECYSTECTOMY
65+,33,50,3,2019-01-18,ID,CYSTOSCOPY
65+,6,9,2,2019-01-18,ID,HIP REPLACEMENT
65+,1,1,1,2019-01-18,ID,HYSTEROSCOPY
65+,23,33,2,2019-01-18,ID,KNEE REPLACEMENT
65+,11,13,1,2019-01-18,ID,MASTECTOMY
65+,1,3,2,2019-01-18,ID,PROSTATECTOMY
18-29,5,7,1,2019-01-25,ID,CHOLECYSTECTOMY
18-29,1,1,1,2019-01-25,ID,CYSTOSCOPY
30-39,6,9,7,2019-01-25,ID,CHOLECYSTECTOMY
30-39,4,6,1,2019-01-25,ID,CYSTOSCOPY
30-39,1,1,1,2019-01-25,ID,HIP REPLACEMENT
30-39,1,2,1,2019-01-25,ID,HYSTEROSCOPY
30-39,1,1,1,2019-01-25,ID,KNEE REPLACEMENT
40-49,3,4,1,2019-01-25,ID,CHOLECYSTECTOMY
40-49,6,9,3,2019-01-25,ID,CYSTOSCOPY
40-49,2,2,1,2019-01-25,ID,HYSTEROSCOPY
40-49,3,3,1,2019-01-25,ID,MASTECTOMY
50-64,9,14,8,2019-01-25,ID,CATARACT
50-64,5,8,2,2019-01-25,ID,CHOLECYSTECTOMY
50-64,12,17,3,2019-01-25,ID,CYSTOSCOPY
50-64,3,6,2,2019-01-25,ID,HIP REPLACEMENT
