age,patients,claims,physicians,week,state,elective
18-29,2,2,1,2019-01-04,IL,CATARACT
18-29,16,22,4,2019-01-04,IL,CHOLECYSTECTOMY
18-29,4,4,4,2019-01-04,IL,CYSTOSCOPY
18-29,2,2,2,2019-01-04,IL,HYSTEROSCOPY
18-29,1,2,1,2019-01-04,IL,MASTECTOMY
30-39,2,4,2,2019-01-04,IL,CATARACT
30-39,10,15,3,2019-01-04,IL,CHOLECYSTECTOMY
30-39,3,3,3,2019-01-04,IL,CYSTOSCOPY
30-39,1,2,1,2019-01-04,IL,HIP REPLACEMENT
30-39,8,10,2,2019-01-04,IL,HYSTEROSCOPY
30-39,1,2,1,2019-01-04,IL,MASTECTOMY
40-49,11,15,2,2019-01-04,IL,CATARACT
40-49,11,14,5,2019-01-04,IL,CHOLECYSTECTOMY
40-49,12,16,3,2019-01-04,IL,CYSTOSCOPY
40-49,8,8,2,2019-01-04,IL,HYSTEROSCOPY
40-49,2,2,0,2019-01-04,IL,KNEE REPLACEMENT
40-49,6,7,1,2019-01-04,IL,MASTECTOMY
50-64,56,70,8,2019-01-04,IL,CATARACT
50-64,24,31,8,2019-01-04,IL,CHOLECYSTECTOMY
50-64,29,35,5,2019-01-04,IL,CYSTOSCOPY
50-64,15,26,6,2019-01-04,IL,HIP REPLACEMENT
50-64,11,12,2,2019-01-04,IL,HYSTEROSCOPY
50-64,21,35,6,2019-01-04,IL,KNEE REPLACEMENT
50-64,11,13,3,2019-01-04,IL,MASTECTOMY
50-64,2,2,1,2019-01-04,IL,PROSTATECTOMY
65+,222,281,13,2019-01-04,IL,CATARACT
65+,17,21,1,2019-01-04,IL,CHOLECYSTECTOMY
65+,82,87,5,2019-01-04,IL,CYSTOSCOPY
65+,14,25,4,2019-01-04,IL,HIP REPLACEMENT
65+,6,6,3,2019-01-04,IL,HYSTEROSCOPY
65+,41,61,6,2019-01-04,IL,KNEE REPLACEMENT
65+,8,11,1,2019-01-04,IL,MASTECTOMY
