age,patients,claims,physicians,week,state,elective
18-29,11,16,3,2019-01-04,IN,CHOLECYSTECTOMY
18-29,1,1,1,2019-01-04,IN,CYSTOSCOPY
18-29,1,1,1,2019-01-04,IN,HYSTEROSCOPY
30-39,8,12,3,2019-01-04,IN,CHOLECYSTECTOMY
30-39,2,2,1,2019-01-04,IN,CYSTOSCOPY
30-39,3,3,1,2019-01-04,IN,HYSTEROSCOPY
40-49,1,1,1,2019-01-04,IN,CATARACT
40-49,8,9,3,2019-01-04,IN,CHOLECYSTECTOMY
40-49,7,7,2,2019-01-04,IN,CYSTOSCOPY
40-49,1,1,1,2019-01-04,IN,HIP REPLACEMENT
40-49,1,1,1,2019-01-04,IN,HYSTEROSCOPY
40-49,1,2,1,2019-01-04,IN,KNEE REPLACEMENT
40-49,1,1,1,2019-01-04,IN,MASTECTOMY
50-64,32,44,5,2019-01-04,IN,CATARACT
50-64,10,11,3,2019-01-04,IN,CHOLECYSTECTOMY
50-64,27,29,3,2019-01-04,IN,CYSTOSCOPY
50-64,3,4,1,2019-01-04,IN,HIP REPLACEMENT
50-64,3,3,1,2019-01-04,IN,HYSTEROSCOPY
50-64,7,9,3,2019-01-04,IN,KNEE REPLACEMENT
50-64,4,6,4,2019-01-04,IN,MASTECTOMY
50-64,1,2,2,2019-01-04,IN,PROSTATECTOMY
65+,210,306,8,2019-01-04,IN,CATARACT
65+,17,26,2,2019-01-04,IN,CHOLECYSTECTOMY
65+,71,76,4,2019-01-04,IN,CYSTOSCOPY
65+,6,9,2,2019-01-04,IN,HIP REPLACEMENT
65+,3,3,1,2019-01-04,IN,HYSTEROSCOPY
65+,10,11,1,2019-01-04,IN,KNEE REPLACEMENT
65+,6,8,3,2019-01-04,IN,MASTECTOMY
65+,4,4,1,2019-01-04,IN,PROSTATECTOMY
18-29,26,40,6,2019-01-11,IN,CHOLECYSTECTOMY
18-29,2,3,1,2019-01-11,IN,CYSTOSCOPY
18-29,9,11,2,2019-01-11,IN,HYSTEROSCOPY
18-29,1,1,1,2019-01-11,IN,MASTECTOMY
30-39,3,3,1,2019-01-11,IN,CATARACT
30-39,28,40,7,2019-01-11,IN,CHOLECYSTECTOMY
30-39,10,10,2,2019-01-11,IN,CYSTOSCOPY
30-39,1,2,1,2019-01-11,IN,HIP REPLACEMENT
30-39,14,14,4,2019-01-11,IN,HYSTEROSCOPY
30-39,2,2,1,2019-01-11,IN,KNEE REPLACEMENT
30-39,1,1,1,2019-01-11,IN,MASTECTOMY
40-49,12,21,2,2019-01-11,IN,CATARACT
40-49,23,29,4,2019-01-11,IN,CHOLECYSTECTOMY
40-49,24,31,3,2019-01-11,IN,CYSTOSCOPY
40-49,21,23,3,2019-01-11,IN,HYSTEROSCOPY
40-49,5,9,2,2019-01-11,IN,KNEE REPLACEMENT
40-49,5,8,5,2019-01-11,IN,MASTECTOMY
50-64,76,108,10,2019-01-11,IN,CATARACT
50-64,34,46,5,2019-01-11,IN,CHOLECYSTECTOMY
