age,patients,claims,physicians,week,state,elective
18-29,5,5,2,2019-01-04,KS,CHOLECYSTECTOMY
18-29,2,3,1,2019-01-04,KS,HYSTEROSCOPY
30-39,1,1,1,2019-01-04,KS,CATARACT
30-39,8,14,4,2019-01-04,KS,CHOLECYSTECTOMY
30-39,1,1,1,2019-01-04,KS,KNEE REPLACEMENT
40-49,2,2,2,2019-01-04,KS,CHOLECYSTECTOMY
40-49,1,1,1,2019-01-04,KS,HIP REPLACEMENT
40-49,1,2,1,2019-01-04,KS,MASTECTOMY
50-64,5,8,3,2019-01-04,KS,CATARACT
50-64,9,11,2,2019-01-04,KS,CHOLECYSTECTOMY
50-64,6,7,2,2019-01-04,KS,CYSTOSCOPY
50-64,2,2,2,2019-01-04,KS,HIP REPLACEMENT
50-64,1,1,1,2019-01-04,KS,HYSTEROSCOPY
50-64,6,11,3,2019-01-04,KS,KNEE REPLACEMENT
50-64,1,2,1,2019-01-04,KS,MASTECTOMY
65+,42,51,2,2019-01-04,KS,CATARACT
65+,11,11,2,2019-01-04,KS,CHOLECYSTECTOMY
65+,13,13,1,2019-01-04,KS,CYSTOSCOPY
65+,3,6,4,2019-01-04,KS,HIP REPLACEMENT
65+,2,2,1,2019-01-04,KS,HYSTEROSCOPY
65+,16,28,3,2019-01-04,KS,KNEE REPLACEMENT
65+,4,4,2,2019-01-04,KS,MASTECTOMY
18-29,17,20,4,2019-01-11,KS,CHOLECYSTECTOMY
18-29,4,4,1,2019-01-11,KS,CYSTOSCOPY
18-29,1,2,2,2019-01-11,KS,HIP REPLACEMENT
18-29,5,7,5,2019-01-11,KS,HYSTEROSCOPY
30-39,17,26,6,2019-01-11,KS,CHOLECYSTECTOMY
30-39,3,6,2,2019-01-11,KS,CYSTOSCOPY
30-39,1,2,2,2019-01-11,KS,HIP REPLACEMENT
30-39,5,8,5,2019-01-11,KS,HYSTEROSCOPY
30-39,1,1,1,2019-01-11,KS,MASTECTOMY
40-49,2,2,1,2019-01-11,KS,CATARACT
40-49,12,21,6,2019-01-11,KS,CHOLECYSTECTOMY
40-49,4,4,1,2019-01-11,KS,CYSTOSCOPY
40-49,1,2,2,2019-01-11,KS,HIP REPLACEMENT
40-49,6,7,2,2019-01-11,KS,HYSTEROSCOPY
40-49,1,1,1,2019-01-11,KS,KNEE REPLACEMENT
40-49,4,7,2,2019-01-11,KS,MASTECTOMY
50-64,28,32,7,2019-01-11,KS,CATARACT
50-64,20,27,8,2019-01-11,KS,CHOLECYSTECTOMY
50-64,15,15,2,2019-01-11,KS,CYSTOSCOPY
50-64,12,24,4,2019-01-11,KS,HIP REPLACEMENT
50-64,7,7,1,2019-01-11,KS,HYSTEROSCOPY
50-64,23,37,5,2019-01-11,KS,KNEE REPLACEMENT
50-64,11,15,5,2019-01-11,KS,MASTECTOMY
65+,198,242,7,2019-01-11,KS,CATARACT
65+,25,32,3,2019-01-11,KS,CHOLECYSTECTOMY
65+,44,57,4,2019-01-11,KS,CYSTOSCOPY
65+,15,24,4,2019-01-11,KS,HIP REPLACEMENT
65+,6,8,2,2019-01-11,KS,HYSTEROSCOPY
65+,42,74,5,2019-01-11,KS,KNEE REPLACEMENT
65+,12,16,2,2019-01-11,KS,MASTECTOMY
65+,5,6,2,2019-01-11,KS,PROSTATECTOMY
