age,patients,claims,physicians,week,state,elective
18-29,1,1,1,2019-01-04,KY,CATARACT
18-29,12,17,6,2019-01-04,KY,CHOLECYSTECTOMY
18-29,3,3,1,2019-01-04,KY,CYSTOSCOPY
18-29,1,1,1,2019-01-04,KY,HYSTEROSCOPY
18-29,1,1,1,2019-01-04,KY,MASTECTOMY
30-39,1,1,1,2019-01-04,KY,CATARACT
30-39,7,8,2,2019-01-04,KY,CHOLECYSTECTOMY
30-39,3,4,1,2019-01-04,KY,CYSTOSCOPY
30-39,4,5,2,2019-01-04,KY,HYSTEROSCOPY
40-49,3,5,1,2019-01-04,KY,CATARACT
40-49,8,12,2,2019-01-04,KY,CHOLECYSTECTOMY
40-49,3,4,1,2019-01-04,KY,CYSTOSCOPY
40-49,1,1,1,2019-01-04,KY,HIP REPLACEMENT
40-49,3,3,1,2019-01-04,KY,HYSTEROSCOPY
40-49,3,8,1,2019-01-04,KY,KNEE REPLACEMENT
40-49,1,1,1,2019-01-04,KY,MASTECTOMY
50-64,42,50,4,2019-01-04,KY,CATARACT
50-64,10,13,1,2019-01-04,KY,CHOLECYSTECTOMY
50-64,21,24,2,2019-01-04,KY,CYSTOSCOPY
50-64,7,11,3,2019-01-04,KY,HIP REPLACEMENT
50-64,1,1,1,2019-01-04,KY,HYSTEROSCOPY
50-64,17,24,2,2019-01-04,KY,KNEE REPLACEMENT
50-64,2,2,2,2019-01-04,KY,MASTECTOMY
50-64,1,1,1,2019-01-04,KY,PROSTATECTOMY
65+,146,187,4,2019-01-04,KY,CATARACT
65+,17,22,1,2019-01-04,KY,CHOLECYSTECTOMY
65+,49,50,2,2019-01-04,KY,CYSTOSCOPY
65+,5,6,1,2019-01-04,KY,HIP REPLACEMENT
65+,3,3,1,2019-01-04,KY,HYSTEROSCOPY
65+,16,22,2,2019-01-04,KY,KNEE REPLACEMENT
65+,3,6,1,2019-01-04,KY,MASTECTOMY
65+,2,2,1,2019-01-04,KY,PROSTATECTOMY
18-29,2,3,1,2019-01-11,KY,CATARACT
18-29,28,35,5,2019-01-11,KY,CHOLECYSTECTOMY
18-29,9,10,2,2019-01-11,KY,CYSTOSCOPY
18-29,11,17,3,2019-01-11,KY,HYSTEROSCOPY
30-39,3,4,1,2019-01-11,KY,CATARACT
30-39,32,47,6,2019-01-11,KY,CHOLECYSTECTOMY
30-39,6,7,1,2019-01-11,KY,CYSTOSCOPY
30-39,9,14,4,2019-01-11,KY,HYSTEROSCOPY
30-39,2,4,2,2019-01-11,KY,MASTECTOMY
40-49,9,17,2,2019-01-11,KY,CATARACT
40-49,25,40,4,2019-01-11,KY,CHOLECYSTECTOMY
40-49,23,26,4,2019-01-11,KY,CYSTOSCOPY
40-49,5,5,0,2019-01-11,KY,HIP REPLACEMENT
40-49,10,13,4,2019-01-11,KY,HYSTEROSCOPY
40-49,4,5,2,2019-01-11,KY,KNEE REPLACEMENT
40-49,5,7,4,2019-01-11,KY,MASTECTOMY
50-64,120,159,6,2019-01-11,KY,CATARACT
50-64,29,42,6,2019-01-11,KY,CHOLECYSTECTOMY
50-64,76,80,5,2019-01-11,KY,CYSTOSCOPY
50-64,27,41,4,2019-01-11,KY,HIP REPLACEMENT
50-64,12,14,4,2019-01-11,KY,HYSTEROSCOPY
50-64,55,79,5,2019-01-11,KY,KNEE REPLACEMENT
50-64,9,16,10,2019-01-11,KY,MASTECTOMY
50-64,16,17,3,2019-01-11,KY,PROSTATECTOMY
65+,1,2,2,2019-01-11,KY,CABG
65+,512,705,9,2019-01-11,KY,CATARACT
65+,29,39,3,2019-01-11,KY,CHOLECYSTECTOMY
65+,2,2,1,2019-01-11,KY,COSMETIC RECONSTRUCTION
65+,191,201,8,2019-01-11,KY,CYSTOSCOPY
65+,37,43,5,2019-01-11,KY,HIP REPLACEMENT
65+,5,7,2,2019-01-11,KY,HYSTEROSCOPY
65+,96,123,6,2019-01-11,KY,KNEE REPLACEMENT
65+,28,33,4,2019-01-11,KY,MASTECTOMY
65+,11,15,2,2019-01-11,KY,PROSTATECTOMY
18-29,4,4,1,2019-01-18,KY,CATARACT
18-29,28,43,6,2019-01-18,KY,CHOLECYSTECTOMY
18-29,3,3,1,2019-01-18,KY,CYSTOSCOPY
18-29,8,10,7,2019-01-18,KY,HYSTEROSCOPY
30-39,31,48,7,2019-01-18,KY,CHOLECYSTECTOMY
30-39,12,13,2,2019-01-18,KY,CYSTOSCOPY
30-39,14,16,2,2019-01-18,KY,HYSTEROSCOPY
30-39,1,3,2,2019-01-18,KY,MASTECTOMY
40-49,15,20,2,2019-01-18,KY,CATARACT
40-49,30,43,5,2019-01-18,KY,CHOLECYSTECTOMY
40-49,31,35,4,2019-01-18,KY,CYSTOSCOPY
40-49,4,4,1,2019-01-18,KY,HIP REPLACEMENT
40-49,10,13,4,2019-01-18,KY,HYSTEROSCOPY
40-49,7,10,2,2019-01-18,KY,KNEE REPLACEMENT
40-49,5,8,5,2019-01-18,KY,MASTECTOMY
50-64,138,188,7,2019-01-18,KY,CATARACT
