age,patients,claims,physicians,week,state,elective
18-29,9,9,2,2019-01-04,LA,CHOLECYSTECTOMY
18-29,1,1,0,2019-01-04,LA,CYSTOSCOPY
30-39,3,5,3,2019-01-04,LA,CHOLECYSTECTOMY
30-39,4,5,1,2019-01-04,LA,CYSTOSCOPY
40-49,4,6,2,2019-01-04,LA,CATARACT
40-49,12,17,2,2019-01-04,LA,CHOLECYSTECTOMY
40-49,4,4,1,2019-01-04,LA,CYSTOSCOPY
40-49,2,4,3,2019-01-04,LA,MASTECTOMY
50-64,51,64,7,2019-01-04,LA,CATARACT
50-64,6,7,1,2019-01-04,LA,CHOLECYSTECTOMY
50-64,24,26,4,2019-01-04,LA,CYSTOSCOPY
50-64,1,1,1,2019-01-04,LA,KNEE REPLACEMENT
50-64,3,4,3,2019-01-04,LA,MASTECTOMY
50-64,1,2,0,2019-01-04,LA,PROSTATECTOMY
65+,192,254,6,2019-01-04,LA,CATARACT
65+,8,9,2,2019-01-04,LA,CHOLECYSTECTOMY
65+,63,66,5,2019-01-04,LA,CYSTOSCOPY
65+,2,3,1,2019-01-04,LA,HIP REPLACEMENT
65+,13,18,1,2019-01-04,LA,KNEE REPLACEMENT
65+,10,18,2,2019-01-04,LA,MASTECTOMY
65+,1,1,1,2019-01-04,LA,PROSTATECTOMY
18-29,1,1,1,2019-01-11,LA,CATARACT
18-29,20,25,4,2019-01-11,LA,CHOLECYSTECTOMY
18-29,4,4,1,2019-01-11,LA,CYSTOSCOPY
18-29,5,6,2,2019-01-11,LA,HYSTEROSCOPY
18-29,1,1,1,2019-01-11,LA,KNEE REPLACEMENT
18-29,3,4,2,2019-01-11,LA,MASTECTOMY
30-39,2,3,1,2019-01-11,LA,CATARACT
30-39,32,38,8,2019-01-11,LA,CHOLECYSTECTOMY
30-39,14,15,2,2019-01-11,LA,CYSTOSCOPY
30-39,1,1,1,2019-01-11,LA,HIP REPLACEMENT
30-39,12,12,3,2019-01-11,LA,HYSTEROSCOPY
30-39,1,3,2,2019-01-11,LA,KNEE REPLACEMENT
30-39,2,3,1,2019-01-11,LA,MASTECTOMY
40-49,8,11,3,2019-01-11,LA,CATARACT
40-49,27,40,7,2019-01-11,LA,CHOLECYSTECTOMY
40-49,23,25,4,2019-01-11,LA,CYSTOSCOPY
40-49,4,5,1,2019-01-11,LA,HIP REPLACEMENT
40-49,2,2,2,2019-01-11,LA,HYSTEROSCOPY
40-49,3,3,1,2019-01-11,LA,KNEE REPLACEMENT
40-49,7,10,2,2019-01-11,LA,MASTECTOMY
40-49,1,2,2,2019-01-11,LA,PROSTATECTOMY
50-64,3,5,1,2019-01-11,LA,CABG
50-64,140,200,12,2019-01-11,LA,CATARACT
50-64,32,47,5,2019-01-11,LA,CHOLECYSTECTOMY
50-64,65,68,7,2019-01-11,LA,CYSTOSCOPY
50-64,7,10,9,2019-01-11,LA,HIP REPLACEMENT
50-64,7,9,7,2019-01-11,LA,HYSTEROSCOPY
50-64,18,26,3,2019-01-11,LA,KNEE REPLACEMENT
50-64,13,19,4,2019-01-11,LA,MASTECTOMY
50-64,8,13,2,2019-01-11,LA,PROSTATECTOMY
