age,patients,claims,physicians,week,state,elective
18-29,1,2,1,2019-01-04,MA,CATARACT
18-29,6,7,3,2019-01-04,MA,CHOLECYSTECTOMY
18-29,1,2,1,2019-01-04,MA,CYSTOSCOPY
18-29,2,3,2,2019-01-04,MA,HYSTEROSCOPY
30-39,8,10,2,2019-01-04,MA,CHOLECYSTECTOMY
30-39,2,2,2,2019-01-04,MA,CYSTOSCOPY
30-39,6,8,1,2019-01-04,MA,HYSTEROSCOPY
40-49,2,3,2,2019-01-04,MA,CATARACT
40-49,4,4,1,2019-01-04,MA,CHOLECYSTECTOMY
40-49,4,4,2,2019-01-04,MA,CYSTOSCOPY
40-49,3,6,5,2019-01-04,MA,HIP REPLACEMENT
40-49,4,5,2,2019-01-04,MA,HYSTEROSCOPY
40-49,1,2,1,2019-01-04,MA,KNEE REPLACEMENT
40-49,3,3,1,2019-01-04,MA,MASTECTOMY
50-64,50,77,7,2019-01-04,MA,CATARACT
50-64,12,15,5,2019-01-04,MA,CHOLECYSTECTOMY
50-64,22,25,2,2019-01-04,MA,CYSTOSCOPY
50-64,9,18,3,2019-01-04,MA,HIP REPLACEMENT
50-64,6,7,2,2019-01-04,MA,HYSTEROSCOPY
50-64,5,7,4,2019-01-04,MA,KNEE REPLACEMENT
50-64,4,5,2,2019-01-04,MA,MASTECTOMY
50-64,2,3,2,2019-01-04,MA,PROSTATECTOMY
65+,1,2,2,2019-01-04,MA,CABG
65+,217,266,7,2019-01-04,MA,CATARACT
65+,7,7,2,2019-01-04,MA,CHOLECYSTECTOMY
65+,58,69,4,2019-01-04,MA,CYSTOSCOPY
65+,14,25,5,2019-01-04,MA,HIP REPLACEMENT
65+,1,1,1,2019-01-04,MA,HYSTEROSCOPY
65+,24,39,5,2019-01-04,MA,KNEE REPLACEMENT
65+,6,8,1,2019-01-04,MA,MASTECTOMY
65+,1,1,1,2019-01-04,MA,PROSTATECTOMY
18-29,8,9,2,2019-01-11,MA,CHOLECYSTECTOMY
18-29,6,8,2,2019-01-11,MA,CYSTOSCOPY
18-29,1,1,0,2019-01-11,MA,HYSTEROSCOPY
18-29,1,1,1,2019-01-11,MA,MASTECTOMY
30-39,3,3,1,2019-01-11,MA,CATARACT
30-39,15,20,4,2019-01-11,MA,CHOLECYSTECTOMY
30-39,5,5,2,2019-01-11,MA,CYSTOSCOPY
30-39,25,31,6,2019-01-11,MA,HYSTEROSCOPY
30-39,1,1,1,2019-01-11,MA,MASTECTOMY
40-49,7,11,5,2019-01-11,MA,CATARACT
40-49,12,17,4,2019-01-11,MA,CHOLECYSTECTOMY
40-49,18,21,3,2019-01-11,MA,CYSTOSCOPY
40-49,4,9,3,2019-01-11,MA,HIP REPLACEMENT
40-49,19,22,5,2019-01-11,MA,HYSTEROSCOPY
40-49,3,4,1,2019-01-11,MA,KNEE REPLACEMENT
40-49,11,14,2,2019-01-11,MA,MASTECTOMY
50-64,109,153,7,2019-01-11,MA,CATARACT
50-64,28,36,5,2019-01-11,MA,CHOLECYSTECTOMY
50-64,63,77,7,2019-01-11,MA,CYSTOSCOPY
50-64,26,47,5,2019-01-11,MA,HIP REPLACEMENT
50-64,31,39,5,2019-01-11,MA,HYSTEROSCOPY
50-64,42,90,13,2019-01-11,MA,KNEE REPLACEMENT
50-64,17,21,3,2019-01-11,MA,MASTECTOMY
65+,610,791,10,2019-01-11,MA,CATARACT
65+,20,26,2,2019-01-11,MA,CHOLECYSTECTOMY
65+,175,197,9,2019-01-11,MA,CYSTOSCOPY
65+,38,59,5,2019-01-11,MA,HIP REPLACEMENT
65+,7,8,1,2019-01-11,MA,HYSTEROSCOPY
65+,82,126,9,2019-01-11,MA,KNEE REPLACEMENT
65+,9,9,4,2019-01-11,MA,MASTECTOMY
65+,6,11,4,2019-01-11,MA,PROSTATECTOMY
18-29,2,3,2,2019-01-18,MA,CATARACT
18-29,11,13,5,2019-01-18,MA,CHOLECYSTECTOMY
18-29,5,6,2,2019-01-18,MA,CYSTOSCOPY
18-29,1,2,1,2019-01-18,MA,HYSTEROSCOPY
18-29,4,7,3,2019-01-18,MA,MASTECTOMY
30-39,16,23,4,2019-01-18,MA,CHOLECYSTECTOMY
30-39,9,9,3,2019-01-18,MA,CYSTOSCOPY
30-39,2,2,0,2019-01-18,MA,HIP REPLACEMENT
30-39,26,33,3,2019-01-18,MA,HYSTEROSCOPY
30-39,1,1,1,2019-01-18,MA,MASTECTOMY
40-49,7,12,6,2019-01-18,MA,CATARACT
40-49,14,20,5,2019-01-18,MA,CHOLECYSTECTOMY
40-49,15,17,3,2019-01-18,MA,CYSTOSCOPY
40-49,2,6,2,2019-01-18,MA,HIP REPLACEMENT
40-49,28,32,4,2019-01-18,MA,HYSTEROSCOPY
40-49,2,2,1,2019-01-18,MA,KNEE REPLACEMENT
40-49,4,5,2,2019-01-18,MA,MASTECTOMY
50-64,2,4,3,2019-01-18,MA,CABG
50-64,107,157,15,2019-01-18,MA,CATARACT
50-64,29,36,4,2019-01-18,MA,CHOLECYSTECTOMY
50-64,73,92,7,2019-01-18,MA,CYSTOSCOPY
50-64,35,59,8,2019-01-18,MA,HIP REPLACEMENT
50-64,21,25,6,2019-01-18,MA,HYSTEROSCOPY
50-64,37,60,7,2019-01-18,MA,KNEE REPLACEMENT
50-64,18,19,3,2019-01-18,MA,MASTECTOMY
50-64,4,5,1,2019-01-18,MA,PROSTATECTOMY
65+,1,2,2,2019-01-18,MA,CABG
65+,567,725,18,2019-01-18,MA,CATARACT
65+,12,14,2,2019-01-18,MA,CHOLECYSTECTOMY
65+,169,188,8,2019-01-18,MA,CYSTOSCOPY
65+,31,53,4,2019-01-18,MA,HIP REPLACEMENT
65+,4,6,2,2019-01-18,MA,HYSTEROSCOPY
65+,86,125,9,2019-01-18,MA,KNEE REPLACEMENT
65+,26,33,2,2019-01-18,MA,MASTECTOMY
65+,5,9,2,2019-01-18,MA,PROSTATECTOMY
18-29,10,11,3,2019-01-25,MA,CHOLECYSTECTOMY
18-29,3,3,1,2019-01-25,MA,CYSTOSCOPY
30-39,3,4,1,2019-01-25,MA,CATARACT
30-39,12,14,2,2019-01-25,MA,CHOLECYSTECTOMY
30-39,3,3,1,2019-01-25,MA,CYSTOSCOPY
30-39,3,7,2,2019-01-25,MA,HIP REPLACEMENT
30-39,21,22,7,2019-01-25,MA,HYSTEROSCOPY
30-39,1,3,1,2019-01-25,MA,MASTECTOMY
40-49,7,10,1,2019-01-25,MA,CATARACT
40-49,6,6,3,2019-01-25,MA,CHOLECYSTECTOMY
40-49,15,15,4,2019-01-25,MA,CYSTOSCOPY
