age,patients,claims,physicians,week,state,elective
18-29,3,3,1,2019-01-04,MD,CHOLECYSTECTOMY
18-29,7,7,1,2019-01-04,MD,CYSTOSCOPY
18-29,1,1,1,2019-01-04,MD,HIP REPLACEMENT
18-29,3,5,4,2019-01-04,MD,HYSTEROSCOPY
18-29,2,2,2,2019-01-04,MD,MASTECTOMY
30-39,1,1,1,2019-01-04,MD,CATARACT
30-39,4,7,5,2019-01-04,MD,CHOLECYSTECTOMY
30-39,4,5,2,2019-01-04,MD,CYSTOSCOPY
30-39,7,9,7,2019-01-04,MD,HYSTEROSCOPY
30-39,1,1,1,2019-01-04,MD,MASTECTOMY
40-49,6,7,3,2019-01-04,MD,CATARACT
40-49,8,10,2,2019-01-04,MD,CHOLECYSTECTOMY
40-49,19,21,9,2019-01-04,MD,CYSTOSCOPY
40-49,3,4,2,2019-01-04,MD,HIP REPLACEMENT
40-49,6,7,6,2019-01-04,MD,HYSTEROSCOPY
40-49,1,1,1,2019-01-04,MD,KNEE REPLACEMENT
40-49,7,8,7,2019-01-04,MD,MASTECTOMY
50-64,34,46,6,2019-01-04,MD,CATARACT
50-64,16,21,4,2019-01-04,MD,CHOLECYSTECTOMY
50-64,58,84,10,2019-01-04,MD,CYSTOSCOPY
50-64,7,14,3,2019-01-04,MD,HIP REPLACEMENT
50-64,21,25,5,2019-01-04,MD,HYSTEROSCOPY
50-64,12,21,3,2019-01-04,MD,KNEE REPLACEMENT
50-64,11,12,5,2019-01-04,MD,MASTECTOMY
50-64,2,2,1,2019-01-04,MD,PROSTATECTOMY
65+,117,142,6,2019-01-04,MD,CATARACT
65+,3,3,1,2019-01-04,MD,CHOLECYSTECTOMY
65+,146,247,10,2019-01-04,MD,CYSTOSCOPY
65+,13,21,3,2019-01-04,MD,HIP REPLACEMENT
65+,5,5,1,2019-01-04,MD,HYSTEROSCOPY
65+,29,42,3,2019-01-04,MD,KNEE REPLACEMENT
65+,25,26,4,2019-01-04,MD,MASTECTOMY
65+,6,6,2,2019-01-04,MD,PROSTATECTOMY
18-29,20,25,5,2019-01-11,MD,CHOLECYSTECTOMY
18-29,10,15,5,2019-01-11,MD,CYSTOSCOPY
18-29,7,7,1,2019-01-11,MD,HYSTEROSCOPY
18-29,5,5,2,2019-01-11,MD,MASTECTOMY
30-39,27,33,5,2019-01-11,MD,CHOLECYSTECTOMY
30-39,19,27,7,2019-01-11,MD,CYSTOSCOPY
30-39,1,4,1,2019-01-11,MD,HIP REPLACEMENT
30-39,21,27,4,2019-01-11,MD,HYSTEROSCOPY
30-39,2,3,2,2019-01-11,MD,MASTECTOMY
40-49,13,17,3,2019-01-11,MD,CATARACT
40-49,25,31,4,2019-01-11,MD,CHOLECYSTECTOMY
40-49,31,44,10,2019-01-11,MD,CYSTOSCOPY
40-49,2,2,1,2019-01-11,MD,HIP REPLACEMENT
40-49,32,37,4,2019-01-11,MD,HYSTEROSCOPY
40-49,4,7,2,2019-01-11,MD,KNEE REPLACEMENT
40-49,12,12,4,2019-01-11,MD,MASTECTOMY
50-64,1,1,1,2019-01-11,MD,CABG
50-64,108,134,14,2019-01-11,MD,CATARACT
50-64,35,55,6,2019-01-11,MD,CHOLECYSTECTOMY
50-64,186,252,18,2019-01-11,MD,CYSTOSCOPY
50-64,27,37,6,2019-01-11,MD,HIP REPLACEMENT
50-64,50,57,10,2019-01-11,MD,HYSTEROSCOPY
50-64,52,93,9,2019-01-11,MD,KNEE REPLACEMENT
50-64,24,25,7,2019-01-11,MD,MASTECTOMY
50-64,14,17,4,2019-01-11,MD,PROSTATECTOMY
65+,1,1,1,2019-01-11,MD,CABG
65+,346,438,13,2019-01-11,MD,CATARACT
65+,23,25,3,2019-01-11,MD,CHOLECYSTECTOMY
65+,414,718,18,2019-01-11,MD,CYSTOSCOPY
65+,33,53,6,2019-01-11,MD,HIP REPLACEMENT
65+,15,16,3,2019-01-11,MD,HYSTEROSCOPY
65+,107,170,12,2019-01-11,MD,KNEE REPLACEMENT
65+,40,46,6,2019-01-11,MD,MASTECTOMY
65+,14,19,4,2019-01-11,MD,PROSTATECTOMY
18-29,24,35,5,2019-01-18,MD,CHOLECYSTECTOMY
18-29,10,15,3,2019-01-18,MD,CYSTOSCOPY
18-29,2,2,1,2019-01-18,MD,HIP REPLACEMENT
18-29,7,8,1,2019-01-18,MD,HYSTEROSCOPY
18-29,4,5,1,2019-01-18,MD,MASTECTOMY
30-39,4,5,2,2019-01-18,MD,CATARACT
30-39,34,48,7,2019-01-18,MD,CHOLECYSTECTOMY
30-39,31,36,9,2019-01-18,MD,CYSTOSCOPY
30-39,1,1,1,2019-01-18,MD,HIP REPLACEMENT
30-39,28,34,9,2019-01-18,MD,HYSTEROSCOPY
30-39,1,1,1,2019-01-18,MD,MASTECTOMY
40-49,9,10,4,2019-01-18,MD,CATARACT
40-49,23,30,5,2019-01-18,MD,CHOLECYSTECTOMY
40-49,39,49,7,2019-01-18,MD,CYSTOSCOPY
40-49,4,4,2,2019-01-18,MD,HIP REPLACEMENT
40-49,43,51,7,2019-01-18,MD,HYSTEROSCOPY
40-49,6,13,3,2019-01-18,MD,KNEE REPLACEMENT
40-49,16,21,4,2019-01-18,MD,MASTECTOMY
50-64,126,162,17,2019-01-18,MD,CATARACT
50-64,39,50,6,2019-01-18,MD,CHOLECYSTECTOMY
50-64,139,189,17,2019-01-18,MD,CYSTOSCOPY
50-64,25,38,6,2019-01-18,MD,HIP REPLACEMENT
50-64,53,65,8,2019-01-18,MD,HYSTEROSCOPY
50-64,57,106,9,2019-01-18,MD,KNEE REPLACEMENT
50-64,22,23,5,2019-01-18,MD,MASTECTOMY
50-64,13,19,3,2019-01-18,MD,PROSTATECTOMY
65+,1,1,1,2019-01-18,MD,CABG
65+,366,496,14,2019-01-18,MD,CATARACT
65+,25,32,2,2019-01-18,MD,CHOLECYSTECTOMY
65+,334,571,21,2019-01-18,MD,CYSTOSCOPY
65+,29,48,7,2019-01-18,MD,HIP REPLACEMENT
65+,15,16,2,2019-01-18,MD,HYSTEROSCOPY
65+,86,137,11,2019-01-18,MD,KNEE REPLACEMENT
65+,41,44,7,2019-01-18,MD,MASTECTOMY
65+,8,8,1,2019-01-18,MD,PROSTATECTOMY
18-29,2,2,0,2019-01-25,MD,CATARACT
18-29,19,23,4,2019-01-25,MD,CHOLECYSTECTOMY
18-29,20,25,6,2019-01-25,MD,CYSTOSCOPY
18-29,8,10,4,2019-01-25,MD,HYSTEROSCOPY
30-39,2,2,1,2019-01-25,MD,CATARACT
30-39,30,42,7,2019-01-25,MD,CHOLECYSTECTOMY
30-39,22,30,7,2019-01-25,MD,CYSTOSCOPY
30-39,1,2,1,2019-01-25,MD,HIP REPLACEMENT
30-39,35,42,16,2019-01-25,MD,HYSTEROSCOPY
30-39,4,4,2,2019-01-25,MD,MASTECTOMY
40-49,11,13,3,2019-01-25,MD,CATARACT
40-49,21,24,4,2019-01-25,MD,CHOLECYSTECTOMY
40-49,38,50,5,2019-01-25,MD,CYSTOSCOPY
40-49,4,5,2,2019-01-25,MD,HIP REPLACEMENT
40-49,47,52,14,2019-01-25,MD,HYSTEROSCOPY
40-49,2,2,2,2019-01-25,MD,KNEE REPLACEMENT
40-49,17,18,5,2019-01-25,MD,MASTECTOMY
50-64,119,152,12,2019-01-25,MD,CATARACT
50-64,47,58,6,2019-01-25,MD,CHOLECYSTECTOMY
50-64,145,204,21,2019-01-25,MD,CYSTOSCOPY
50-64,29,44,10,2019-01-25,MD,HIP REPLACEMENT
50-64,49,60,15,2019-01-25,MD,HYSTEROSCOPY
50-64,51,78,12,2019-01-25,MD,KNEE REPLACEMENT
50-64,27,29,7,2019-01-25,MD,MASTECTOMY
50-64,10,16,5,2019-01-25,MD,PROSTATECTOMY
65+,1,1,1,2019-01-25,MD,CABG
65+,346,453,14,2019-01-25,MD,CATARACT
65+,20,24,2,2019-01-25,MD,CHOLECYSTECTOMY
65+,1,1,1,2019-01-25,MD,COSMETIC RECONSTRUCTION
65+,370,628,17,2019-01-25,MD,CYSTOSCOPY
65+,35,58,5,2019-01-25,MD,HIP REPLACEMENT
65+,16,20,4,2019-01-25,MD,HYSTEROSCOPY
65+,107,166,14,2019-01-25,MD,KNEE REPLACEMENT
65+,29,30,4,2019-01-25,MD,MASTECTOMY
65+,6,6,1,2019-01-25,MD,PROSTATECTOMY
18-29,1,1,1,2019-02-01,MD,CATARACT
18-29,16,23,6,2019-02-01,MD,CHOLECYSTECTOMY
18-29,5,8,2,2019-02-01,MD,CYSTOSCOPY
18-29,1,1,1,2019-02-01,MD,HIP REPLACEMENT
18-29,7,8,2,2019-02-01,MD,HYSTEROSCOPY
18-29,3,3,1,2019-02-01,MD,MASTECTOMY
30-39,2,3,1,2019-02-01,MD,CATARACT
30-39,27,33,4,2019-02-01,MD,CHOLECYSTECTOMY
30-39,23,35,4,2019-02-01,MD,CYSTOSCOPY
30-39,32,38,6,2019-02-01,MD,HYSTEROSCOPY
30-39,5,6,4,2019-02-01,MD,MASTECTOMY
40-49,12,16,6,2019-02-01,MD,CATARACT
40-49,26,36,6,2019-02-01,MD,CHOLECYSTECTOMY
40-49,38,47,6,2019-02-01,MD,CYSTOSCOPY
40-49,4,8,2,2019-02-01,MD,HIP REPLACEMENT
40-49,33,43,9,2019-02-01,MD,HYSTEROSCOPY
40-49,3,4,2,2019-02-01,MD,KNEE REPLACEMENT
40-49,17,18,8,2019-02-01,MD,MASTECTOMY
50-64,117,164,15,2019-02-01,MD,CATARACT
50-64,44,57,13,2019-02-01,MD,CHOLECYSTECTOMY
50-64,148,213,14,2019-02-01,MD,CYSTOSCOPY
50-64,29,51,8,2019-02-01,MD,HIP REPLACEMENT
50-64,66,81,10,2019-02-01,MD,HYSTEROSCOPY
50-64,51,85,17,2019-02-01,MD,KNEE REPLACEMENT
50-64,23,28,6,2019-02-01,MD,MASTECTOMY
50-64,4,7,2,2019-02-01,MD,PROSTATECTOMY
65+,303,380,14,2019-02-01,MD,CATARACT
65+,28,31,3,2019-02-01,MD,CHOLECYSTECTOMY
65+,317,543,14,2019-02-01,MD,CYSTOSCOPY
65+,33,49,5,2019-02-01,MD,HIP REPLACEMENT
65+,7,9,3,2019-02-01,MD,HYSTEROSCOPY
65+,94,155,8,2019-02-01,MD,KNEE REPLACEMENT
65+,39,45,5,2019-02-01,MD,MASTECTOMY
65+,12,12,1,2019-02-01,MD,PROSTATECTOMY
18-29,2,3,2,2019-02-08,MD,CATARACT
18-29,26,31,6,2019-02-08,MD,CHOLECYSTECTOMY
18-29,13,19,6,2019-02-08,MD,CYSTOSCOPY
18-29,5,5,2,2019-02-08,MD,HYSTEROSCOPY
18-29,3,3,1,2019-02-08,MD,MASTECTOMY
30-39,37,51,7,2019-02-08,MD,CHOLECYSTECTOMY
30-39,20,29,5,2019-02-08,MD,CYSTOSCOPY
30-39,3,4,1,2019-02-08,MD,HIP REPLACEMENT
30-39,33,45,10,2019-02-08,MD,HYSTEROSCOPY
30-39,5,5,2,2019-02-08,MD,MASTECTOMY
40-49,10,15,4,2019-02-08,MD,CATARACT
40-49,38,56,12,2019-02-08,MD,CHOLECYSTECTOMY
40-49,53,66,10,2019-02-08,MD,CYSTOSCOPY
40-49,3,4,2,2019-02-08,MD,HIP REPLACEMENT
40-49,29,32,11,2019-02-08,MD,HYSTEROSCOPY
40-49,8,17,4,2019-02-08,MD,KNEE REPLACEMENT
40-49,11,12,10,2019-02-08,MD,MASTECTOMY
40-49,1,1,1,2019-02-08,MD,PROSTATECTOMY
50-64,155,200,15,2019-02-08,MD,CATARACT
