age,patients,claims,physicians,week,state,elective
18-29,1,1,1,2019-01-04,ME,CHOLECYSTECTOMY
18-29,1,1,1,2019-01-04,ME,HYSTEROSCOPY
30-39,3,5,1,2019-01-04,ME,CHOLECYSTECTOMY
40-49,1,2,1,2019-01-04,ME,CYSTOSCOPY
40-49,1,2,1,2019-01-04,ME,HIP REPLACEMENT
40-49,3,6,2,2019-01-04,ME,MASTECTOMY
50-64,19,23,2,2019-01-04,ME,CATARACT
50-64,4,6,1,2019-01-04,ME,CHOLECYSTECTOMY
50-64,6,6,6,2019-01-04,ME,CYSTOSCOPY
50-64,3,6,3,2019-01-04,ME,HIP REPLACEMENT
50-64,1,2,1,2019-01-04,ME,HYSTEROSCOPY
50-64,9,22,5,2019-01-04,ME,KNEE REPLACEMENT
50-64,3,5,2,2019-01-04,ME,MASTECTOMY
50-64,1,2,1,2019-01-04,ME,PROSTATECTOMY
65+,74,97,6,2019-01-04,ME,CATARACT
65+,6,13,2,2019-01-04,ME,CHOLECYSTECTOMY
65+,35,54,4,2019-01-04,ME,CYSTOSCOPY
65+,7,14,4,2019-01-04,ME,HIP REPLACEMENT
65+,3,5,1,2019-01-04,ME,HYSTEROSCOPY
65+,19,41,3,2019-01-04,ME,KNEE REPLACEMENT
65+,8,13,2,2019-01-04,ME,MASTECTOMY
65+,2,4,2,2019-01-04,ME,PROSTATECTOMY
18-29,7,15,3,2019-01-11,ME,CHOLECYSTECTOMY
18-29,1,2,1,2019-01-11,ME,CYSTOSCOPY
30-39,3,6,1,2019-01-11,ME,CHOLECYSTECTOMY
30-39,3,4,1,2019-01-11,ME,CYSTOSCOPY
30-39,1,2,2,2019-01-11,ME,HIP REPLACEMENT
30-39,2,2,2,2019-01-11,ME,HYSTEROSCOPY
40-49,7,17,6,2019-01-11,ME,CHOLECYSTECTOMY
40-49,10,11,4,2019-01-11,ME,CYSTOSCOPY
40-49,1,2,2,2019-01-11,ME,HIP REPLACEMENT
40-49,6,10,2,2019-01-11,ME,HYSTEROSCOPY
40-49,1,2,1,2019-01-11,ME,KNEE REPLACEMENT
40-49,3,6,2,2019-01-11,ME,MASTECTOMY
50-64,28,37,4,2019-01-11,ME,CATARACT
50-64,13,25,3,2019-01-11,ME,CHOLECYSTECTOMY
50-64,27,39,4,2019-01-11,ME,CYSTOSCOPY
50-64,23,45,6,2019-01-11,ME,HIP REPLACEMENT
50-64,13,22,2,2019-01-11,ME,HYSTEROSCOPY
50-64,18,35,4,2019-01-11,ME,KNEE REPLACEMENT
50-64,7,16,4,2019-01-11,ME,MASTECTOMY
50-64,1,2,1,2019-01-11,ME,PROSTATECTOMY
65+,1,2,2,2019-01-11,ME,CABG
65+,170,224,9,2019-01-11,ME,CATARACT
65+,22,41,2,2019-01-11,ME,CHOLECYSTECTOMY
65+,96,150,6,2019-01-11,ME,CYSTOSCOPY
65+,24,43,7,2019-01-11,ME,HIP REPLACEMENT
65+,7,10,2,2019-01-11,ME,HYSTEROSCOPY
65+,61,126,9,2019-01-11,ME,KNEE REPLACEMENT
65+,17,29,2,2019-01-11,ME,MASTECTOMY
65+,4,5,1,2019-01-11,ME,PROSTATECTOMY
18-29,4,7,1,2019-01-18,ME,CHOLECYSTECTOMY
18-29,4,5,4,2019-01-18,ME,CYSTOSCOPY
18-29,1,1,1,2019-01-18,ME,HYSTEROSCOPY
30-39,2,5,3,2019-01-18,ME,CHOLECYSTECTOMY
30-39,1,1,1,2019-01-18,ME,CYSTOSCOPY
30-39,5,6,2,2019-01-18,ME,HYSTEROSCOPY
30-39,3,3,1,2019-01-18,ME,MASTECTOMY
40-49,5,11,3,2019-01-18,ME,CHOLECYSTECTOMY
40-49,5,7,2,2019-01-18,ME,CYSTOSCOPY
40-49,5,7,2,2019-01-18,ME,HYSTEROSCOPY
40-49,2,4,2,2019-01-18,ME,MASTECTOMY
50-64,22,25,4,2019-01-18,ME,CATARACT
50-64,13,22,3,2019-01-18,ME,CHOLECYSTECTOMY
50-64,19,27,3,2019-01-18,ME,CYSTOSCOPY
50-64,17,38,5,2019-01-18,ME,HIP REPLACEMENT
50-64,11,18,2,2019-01-18,ME,HYSTEROSCOPY
50-64,23,39,5,2019-01-18,ME,KNEE REPLACEMENT
50-64,12,22,3,2019-01-18,ME,MASTECTOMY
50-64,1,1,1,2019-01-18,ME,PROSTATECTOMY
65+,1,2,2,2019-01-18,ME,CABG
65+,198,265,10,2019-01-18,ME,CATARACT
65+,17,25,2,2019-01-18,ME,CHOLECYSTECTOMY
65+,83,127,5,2019-01-18,ME,CYSTOSCOPY
65+,39,84,11,2019-01-18,ME,HIP REPLACEMENT
65+,5,5,2,2019-01-18,ME,HYSTEROSCOPY
65+,50,102,7,2019-01-18,ME,KNEE REPLACEMENT
65+,13,19,2,2019-01-18,ME,MASTECTOMY
65+,1,2,1,2019-01-18,ME,PROSTATECTOMY
18-29,2,4,1,2019-01-25,ME,CHOLECYSTECTOMY
30-39,1,1,1,2019-01-25,ME,CATARACT
30-39,4,8,2,2019-01-25,ME,CHOLECYSTECTOMY
30-39,5,7,1,2019-01-25,ME,CYSTOSCOPY
30-39,2,4,2,2019-01-25,ME,MASTECTOMY
40-49,6,12,2,2019-01-25,ME,CHOLECYSTECTOMY
40-49,7,8,3,2019-01-25,ME,CYSTOSCOPY
40-49,8,11,4,2019-01-25,ME,HYSTEROSCOPY
40-49,1,2,1,2019-01-25,ME,KNEE REPLACEMENT
40-49,3,6,4,2019-01-25,ME,MASTECTOMY
50-64,20,23,3,2019-01-25,ME,CATARACT
50-64,10,20,3,2019-01-25,ME,CHOLECYSTECTOMY
50-64,25,37,6,2019-01-25,ME,CYSTOSCOPY
50-64,16,33,5,2019-01-25,ME,HIP REPLACEMENT
50-64,9,14,2,2019-01-25,ME,HYSTEROSCOPY
50-64,12,23,3,2019-01-25,ME,KNEE REPLACEMENT
50-64,5,12,5,2019-01-25,ME,MASTECTOMY
50-64,2,3,1,2019-01-25,ME,PROSTATECTOMY
65+,1,2,2,2019-01-25,ME,CABG
65+,171,218,8,2019-01-25,ME,CATARACT
65+,4,6,2,2019-01-25,ME,CHOLECYSTECTOMY
65+,97,153,6,2019-01-25,ME,CYSTOSCOPY
65+,24,44,6,2019-01-25,ME,HIP REPLACEMENT
65+,12,15,2,2019-01-25,ME,HYSTEROSCOPY
65+,56,111,6,2019-01-25,ME,KNEE REPLACEMENT
65+,8,17,2,2019-01-25,ME,MASTECTOMY
65+,2,3,1,2019-01-25,ME,PROSTATECTOMY
18-29,6,11,2,2019-02-01,ME,CHOLECYSTECTOMY
18-29,3,7,3,2019-02-01,ME,HYSTEROSCOPY
30-39,1,1,1,2019-02-01,ME,CATARACT
30-39,5,12,2,2019-02-01,ME,CHOLECYSTECTOMY
30-39,2,3,1,2019-02-01,ME,CYSTOSCOPY
30-39,4,5,4,2019-02-01,ME,HYSTEROSCOPY
30-39,1,2,1,2019-02-01,ME,MASTECTOMY
40-49,3,7,2,2019-02-01,ME,CHOLECYSTECTOMY
40-49,4,4,4,2019-02-01,ME,CYSTOSCOPY
40-49,2,3,2,2019-02-01,ME,HYSTEROSCOPY
40-49,2,4,1,2019-02-01,ME,MASTECTOMY
50-64,34,47,6,2019-02-01,ME,CATARACT
50-64,10,23,4,2019-02-01,ME,CHOLECYSTECTOMY
50-64,37,45,7,2019-02-01,ME,CYSTOSCOPY
50-64,8,18,4,2019-02-01,ME,HIP REPLACEMENT
50-64,7,12,1,2019-02-01,ME,HYSTEROSCOPY
50-64,20,37,4,2019-02-01,ME,KNEE REPLACEMENT
50-64,10,20,4,2019-02-01,ME,MASTECTOMY
50-64,2,4,1,2019-02-01,ME,PROSTATECTOMY
65+,213,276,9,2019-02-01,ME,CATARACT
65+,9,17,3,2019-02-01,ME,CHOLECYSTECTOMY
65+,113,174,6,2019-02-01,ME,CYSTOSCOPY
65+,28,54,8,2019-02-01,ME,HIP REPLACEMENT
65+,5,7,1,2019-02-01,ME,HYSTEROSCOPY
65+,44,91,6,2019-02-01,ME,KNEE REPLACEMENT
65+,14,29,3,2019-02-01,ME,MASTECTOMY
65+,4,5,1,2019-02-01,ME,PROSTATECTOMY
18-29,3,7,2,2019-02-08,ME,CHOLECYSTECTOMY
18-29,2,2,1,2019-02-08,ME,CYSTOSCOPY
18-29,1,1,1,2019-02-08,ME,HYSTEROSCOPY
30-39,5,8,1,2019-02-08,ME,CHOLECYSTECTOMY
30-39,3,6,2,2019-02-08,ME,CYSTOSCOPY
30-39,1,2,1,2019-02-08,ME,HIP REPLACEMENT
30-39,1,2,1,2019-02-08,ME,HYSTEROSCOPY
30-39,1,2,2,2019-02-08,ME,KNEE REPLACEMENT
30-39,1,2,1,2019-02-08,ME,MASTECTOMY
40-49,1,1,1,2019-02-08,ME,CATARACT
40-49,13,27,4,2019-02-08,ME,CHOLECYSTECTOMY
40-49,8,13,1,2019-02-08,ME,CYSTOSCOPY
40-49,3,6,6,2019-02-08,ME,HIP REPLACEMENT
40-49,1,3,2,2019-02-08,ME,KNEE REPLACEMENT
40-49,2,2,1,2019-02-08,ME,MASTECTOMY
50-64,13,17,3,2019-02-08,ME,CATARACT
50-64,6,13,8,2019-02-08,ME,CHOLECYSTECTOMY
50-64,27,34,3,2019-02-08,ME,CYSTOSCOPY
50-64,16,31,7,2019-02-08,ME,HIP REPLACEMENT
50-64,15,22,5,2019-02-08,ME,HYSTEROSCOPY
50-64,11,23,3,2019-02-08,ME,KNEE REPLACEMENT
50-64,8,18,4,2019-02-08,ME,MASTECTOMY
50-64,2,4,1,2019-02-08,ME,PROSTATECTOMY
65+,197,257,8,2019-02-08,ME,CATARACT
65+,13,22,3,2019-02-08,ME,CHOLECYSTECTOMY
65+,72,112,4,2019-02-08,ME,CYSTOSCOPY
65+,23,49,4,2019-02-08,ME,HIP REPLACEMENT
65+,5,7,1,2019-02-08,ME,HYSTEROSCOPY
65+,52,106,6,2019-02-08,ME,KNEE REPLACEMENT
65+,10,18,2,2019-02-08,ME,MASTECTOMY
65+,1,1,1,2019-02-08,ME,PROSTATECTOMY
18-29,5,10,3,2019-02-15,ME,CHOLECYSTECTOMY
18-29,2,3,2,2019-02-15,ME,HYSTEROSCOPY
18-29,1,2,1,2019-02-15,ME,MASTECTOMY
30-39,3,5,1,2019-02-15,ME,CATARACT
30-39,7,12,3,2019-02-15,ME,CHOLECYSTECTOMY
30-39,2,3,2,2019-02-15,ME,CYSTOSCOPY
30-39,2,3,1,2019-02-15,ME,HIP REPLACEMENT
30-39,7,9,2,2019-02-15,ME,HYSTEROSCOPY
30-39,2,3,1,2019-02-15,ME,MASTECTOMY
40-49,11,22,4,2019-02-15,ME,CHOLECYSTECTOMY
40-49,2,3,1,2019-02-15,ME,CYSTOSCOPY
40-49,1,2,2,2019-02-15,ME,HIP REPLACEMENT
40-49,6,8,2,2019-02-15,ME,HYSTEROSCOPY
40-49,2,4,3,2019-02-15,ME,KNEE REPLACEMENT
40-49,4,8,2,2019-02-15,ME,MASTECTOMY
50-64,22,27,2,2019-02-15,ME,CATARACT
50-64,6,13,2,2019-02-15,ME,CHOLECYSTECTOMY
50-64,31,41,5,2019-02-15,ME,CYSTOSCOPY
50-64,7,14,4,2019-02-15,ME,HIP REPLACEMENT
50-64,12,18,2,2019-02-15,ME,HYSTEROSCOPY
50-64,9,18,2,2019-02-15,ME,KNEE REPLACEMENT
50-64,11,20,4,2019-02-15,ME,MASTECTOMY
50-64,3,3,1,2019-02-15,ME,PROSTATECTOMY
65+,1,2,2,2019-02-15,ME,CABG
65+,192,263,8,2019-02-15,ME,CATARACT
65+,13,23,2,2019-02-15,ME,CHOLECYSTECTOMY
65+,105,169,6,2019-02-15,ME,CYSTOSCOPY
65+,13,23,4,2019-02-15,ME,HIP REPLACEMENT
65+,1,1,1,2019-02-15,ME,HYSTEROSCOPY
65+,41,72,6,2019-02-15,ME,KNEE REPLACEMENT
65+,9,14,2,2019-02-15,ME,MASTECTOMY
65+,1,2,1,2019-02-15,ME,PROSTATECTOMY
18-29,4,7,1,2019-02-22,ME,CHOLECYSTECTOMY
18-29,2,3,1,2019-02-22,ME,CYSTOSCOPY
18-29,1,1,1,2019-02-22,ME,HYSTEROSCOPY
30-39,9,14,1,2019-02-22,ME,CHOLECYSTECTOMY
30-39,1,1,1,2019-02-22,ME,CYSTOSCOPY
30-39,1,2,2,2019-02-22,ME,HIP REPLACEMENT
30-39,1,2,1,2019-02-22,ME,MASTECTOMY
40-49,1,1,1,2019-02-22,ME,CATARACT
40-49,1,3,2,2019-02-22,ME,CHOLECYSTECTOMY
40-49,4,5,2,2019-02-22,ME,CYSTOSCOPY
40-49,1,1,0,2019-02-22,ME,HIP REPLACEMENT
40-49,2,3,2,2019-02-22,ME,HYSTEROSCOPY
40-49,2,4,1,2019-02-22,ME,KNEE REPLACEMENT
40-49,3,6,1,2019-02-22,ME,MASTECTOMY
50-64,21,27,3,2019-02-22,ME,CATARACT
50-64,13,23,4,2019-02-22,ME,CHOLECYSTECTOMY
50-64,37,44,5,2019-02-22,ME,CYSTOSCOPY
50-64,10,24,8,2019-02-22,ME,HIP REPLACEMENT
50-64,8,15,8,2019-02-22,ME,HYSTEROSCOPY
50-64,10,17,4,2019-02-22,ME,KNEE REPLACEMENT
50-64,10,16,2,2019-02-22,ME,MASTECTOMY
50-64,1,3,1,2019-02-22,ME,PROSTATECTOMY
65+,1,2,2,2019-02-22,ME,CABG
65+,136,170,7,2019-02-22,ME,CATARACT
65+,11,15,1,2019-02-22,ME,CHOLECYSTECTOMY
65+,98,155,5,2019-02-22,ME,CYSTOSCOPY
65+,17,38,6,2019-02-22,ME,HIP REPLACEMENT
65+,5,6,1,2019-02-22,ME,HYSTEROSCOPY
65+,31,59,6,2019-02-22,ME,KNEE REPLACEMENT
65+,8,12,1,2019-02-22,ME,MASTECTOMY
65+,3,3,1,2019-02-22,ME,PROSTATECTOMY
18-29,4,7,2,2019-03-01,ME,CHOLECYSTECTOMY
18-29,1,1,1,2019-03-01,ME,CYSTOSCOPY
18-29,2,2,1,2019-03-01,ME,HYSTEROSCOPY
30-39,10,23,5,2019-03-01,ME,CHOLECYSTECTOMY
40-49,4,5,1,2019-03-01,ME,CHOLECYSTECTOMY
40-49,5,5,2,2019-03-01,ME,CYSTOSCOPY
40-49,1,2,2,2019-03-01,ME,HIP REPLACEMENT
40-49,4,7,1,2019-03-01,ME,HYSTEROSCOPY
40-49,2,4,2,2019-03-01,ME,MASTECTOMY
50-64,23,27,5,2019-03-01,ME,CATARACT
50-64,5,8,2,2019-03-01,ME,CHOLECYSTECTOMY
50-64,41,52,5,2019-03-01,ME,CYSTOSCOPY
50-64,8,13,3,2019-03-01,ME,HIP REPLACEMENT
50-64,8,14,3,2019-03-01,ME,HYSTEROSCOPY
50-64,10,21,4,2019-03-01,ME,KNEE REPLACEMENT
50-64,11,18,3,2019-03-01,ME,MASTECTOMY
50-64,3,4,1,2019-03-01,ME,PROSTATECTOMY
65+,212,274,9,2019-03-01,ME,CATARACT
65+,7,11,1,2019-03-01,ME,CHOLECYSTECTOMY
65+,119,182,7,2019-03-01,ME,CYSTOSCOPY
65+,28,53,6,2019-03-01,ME,HIP REPLACEMENT
65+,4,6,1,2019-03-01,ME,HYSTEROSCOPY
65+,42,89,6,2019-03-01,ME,KNEE REPLACEMENT
65+,9,15,2,2019-03-01,ME,MASTECTOMY
65+,2,4,1,2019-03-01,ME,PROSTATECTOMY
18-29,1,1,1,2019-03-08,ME,CHOLECYSTECTOMY
30-39,5,10,3,2019-03-08,ME,CHOLECYSTECTOMY
30-39,2,3,1,2019-03-08,ME,CYSTOSCOPY
30-39,2,3,1,2019-03-08,ME,HYSTEROSCOPY
30-39,1,3,2,2019-03-08,ME,MASTECTOMY
40-49,3,5,1,2019-03-08,ME,CATARACT
40-49,8,13,4,2019-03-08,ME,CHOLECYSTECTOMY
40-49,7,10,1,2019-03-08,ME,CYSTOSCOPY
40-49,2,3,3,2019-03-08,ME,HIP REPLACEMENT
40-49,4,7,2,2019-03-08,ME,HYSTEROSCOPY
40-49,3,6,2,2019-03-08,ME,KNEE REPLACEMENT
