age,patients,claims,physicians,week,state,elective
18-29,1,2,1,2019-01-04,MI,CATARACT
18-29,17,21,2,2019-01-04,MI,CHOLECYSTECTOMY
18-29,10,12,2,2019-01-04,MI,CYSTOSCOPY
18-29,1,1,1,2019-01-04,MI,MASTECTOMY
30-39,13,20,5,2019-01-04,MI,CHOLECYSTECTOMY
30-39,9,11,3,2019-01-04,MI,CYSTOSCOPY
30-39,1,1,1,2019-01-04,MI,HIP REPLACEMENT
30-39,10,16,3,2019-01-04,MI,HYSTEROSCOPY
30-39,1,1,1,2019-01-04,MI,MASTECTOMY
40-49,6,6,2,2019-01-04,MI,CATARACT
40-49,16,24,5,2019-01-04,MI,CHOLECYSTECTOMY
40-49,23,31,3,2019-01-04,MI,CYSTOSCOPY
40-49,1,2,2,2019-01-04,MI,HIP REPLACEMENT
40-49,7,9,2,2019-01-04,MI,HYSTEROSCOPY
40-49,1,1,1,2019-01-04,MI,KNEE REPLACEMENT
40-49,1,2,1,2019-01-04,MI,MASTECTOMY
50-64,76,102,9,2019-01-04,MI,CATARACT
50-64,18,22,4,2019-01-04,MI,CHOLECYSTECTOMY
50-64,68,80,5,2019-01-04,MI,CYSTOSCOPY
50-64,15,17,3,2019-01-04,MI,HIP REPLACEMENT
50-64,15,20,7,2019-01-04,MI,HYSTEROSCOPY
50-64,18,23,3,2019-01-04,MI,KNEE REPLACEMENT
50-64,12,18,10,2019-01-04,MI,MASTECTOMY
50-64,2,4,1,2019-01-04,MI,PROSTATECTOMY
65+,298,393,13,2019-01-04,MI,CATARACT
65+,9,9,3,2019-01-04,MI,CHOLECYSTECTOMY
65+,182,192,9,2019-01-04,MI,CYSTOSCOPY
65+,12,16,7,2019-01-04,MI,HIP REPLACEMENT
65+,11,14,2,2019-01-04,MI,HYSTEROSCOPY
65+,43,55,4,2019-01-04,MI,KNEE REPLACEMENT
65+,16,22,4,2019-01-04,MI,MASTECTOMY
65+,10,13,3,2019-01-04,MI,PROSTATECTOMY
18-29,32,48,11,2019-01-11,MI,CHOLECYSTECTOMY
18-29,15,18,2,2019-01-11,MI,CYSTOSCOPY
18-29,11,18,3,2019-01-11,MI,HYSTEROSCOPY
18-29,2,6,1,2019-01-11,MI,MASTECTOMY
30-39,5,8,2,2019-01-11,MI,CATARACT
30-39,43,59,8,2019-01-11,MI,CHOLECYSTECTOMY
30-39,23,30,4,2019-01-11,MI,CYSTOSCOPY
30-39,2,2,2,2019-01-11,MI,HIP REPLACEMENT
30-39,40,61,6,2019-01-11,MI,HYSTEROSCOPY
30-39,1,1,1,2019-01-11,MI,KNEE REPLACEMENT
30-39,3,4,1,2019-01-11,MI,MASTECTOMY
40-49,17,23,3,2019-01-11,MI,CATARACT
40-49,41,58,8,2019-01-11,MI,CHOLECYSTECTOMY
40-49,64,86,6,2019-01-11,MI,CYSTOSCOPY
40-49,8,12,3,2019-01-11,MI,HIP REPLACEMENT
40-49,37,57,9,2019-01-11,MI,HYSTEROSCOPY
40-49,5,8,1,2019-01-11,MI,KNEE REPLACEMENT
40-49,13,18,3,2019-01-11,MI,MASTECTOMY
50-64,288,414,19,2019-01-11,MI,CATARACT
50-64,62,83,10,2019-01-11,MI,CHOLECYSTECTOMY
50-64,202,228,17,2019-01-11,MI,CYSTOSCOPY
50-64,44,61,9,2019-01-11,MI,HIP REPLACEMENT
50-64,55,79,7,2019-01-11,MI,HYSTEROSCOPY
50-64,81,123,10,2019-01-11,MI,KNEE REPLACEMENT
50-64,48,69,8,2019-01-11,MI,MASTECTOMY
50-64,23,36,4,2019-01-11,MI,PROSTATECTOMY
65+,1106,1513,26,2019-01-11,MI,CATARACT
65+,47,56,4,2019-01-11,MI,CHOLECYSTECTOMY
65+,584,647,16,2019-01-11,MI,CYSTOSCOPY
65+,41,61,9,2019-01-11,MI,HIP REPLACEMENT
65+,29,38,4,2019-01-11,MI,HYSTEROSCOPY
65+,180,249,12,2019-01-11,MI,KNEE REPLACEMENT
65+,52,72,6,2019-01-11,MI,MASTECTOMY
65+,26,38,6,2019-01-11,MI,PROSTATECTOMY
18-29,25,40,9,2019-01-18,MI,CHOLECYSTECTOMY
18-29,29,34,5,2019-01-18,MI,CYSTOSCOPY
18-29,17,30,4,2019-01-18,MI,HYSTEROSCOPY
18-29,4,7,4,2019-01-18,MI,MASTECTOMY
30-39,9,16,4,2019-01-18,MI,CATARACT
30-39,44,64,12,2019-01-18,MI,CHOLECYSTECTOMY
30-39,29,36,6,2019-01-18,MI,CYSTOSCOPY
30-39,2,4,4,2019-01-18,MI,HIP REPLACEMENT
30-39,52,79,7,2019-01-18,MI,HYSTEROSCOPY
30-39,1,1,1,2019-01-18,MI,KNEE REPLACEMENT
30-39,7,10,2,2019-01-18,MI,MASTECTOMY
40-49,1,1,1,2019-01-18,MI,CABG
40-49,20,23,5,2019-01-18,MI,CATARACT
40-49,30,41,8,2019-01-18,MI,CHOLECYSTECTOMY
40-49,70,86,10,2019-01-18,MI,CYSTOSCOPY
40-49,3,4,1,2019-01-18,MI,HIP REPLACEMENT
40-49,55,72,8,2019-01-18,MI,HYSTEROSCOPY
40-49,4,7,1,2019-01-18,MI,KNEE REPLACEMENT
40-49,16,25,3,2019-01-18,MI,MASTECTOMY
50-64,280,395,19,2019-01-18,MI,CATARACT
50-64,55,70,10,2019-01-18,MI,CHOLECYSTECTOMY
50-64,217,261,14,2019-01-18,MI,CYSTOSCOPY
50-64,38,54,8,2019-01-18,MI,HIP REPLACEMENT
50-64,62,82,7,2019-01-18,MI,HYSTEROSCOPY
50-64,85,123,12,2019-01-18,MI,KNEE REPLACEMENT
50-64,18,31,5,2019-01-18,MI,MASTECTOMY
50-64,24,31,7,2019-01-18,MI,PROSTATECTOMY
65+,2,4,1,2019-01-18,MI,CABG
65+,1083,1456,28,2019-01-18,MI,CATARACT
65+,57,79,5,2019-01-18,MI,CHOLECYSTECTOMY
65+,546,607,20,2019-01-18,MI,CYSTOSCOPY
65+,60,95,10,2019-01-18,MI,HIP REPLACEMENT
65+,23,30,2,2019-01-18,MI,HYSTEROSCOPY
65+,137,203,11,2019-01-18,MI,KNEE REPLACEMENT
65+,46,63,5,2019-01-18,MI,MASTECTOMY
65+,24,32,3,2019-01-18,MI,PROSTATECTOMY
18-29,2,4,2,2019-01-25,MI,CATARACT
18-29,37,57,10,2019-01-25,MI,CHOLECYSTECTOMY
18-29,2,3,2,2019-01-25,MI,COSMETIC RECONSTRUCTION
18-29,18,22,6,2019-01-25,MI,CYSTOSCOPY
18-29,1,1,1,2019-01-25,MI,HIP REPLACEMENT
18-29,17,23,5,2019-01-25,MI,HYSTEROSCOPY
18-29,3,4,2,2019-01-25,MI,MASTECTOMY
30-39,3,4,1,2019-01-25,MI,CATARACT
30-39,43,63,7,2019-01-25,MI,CHOLECYSTECTOMY
30-39,28,33,3,2019-01-25,MI,CYSTOSCOPY
30-39,48,62,6,2019-01-25,MI,HYSTEROSCOPY
30-39,2,3,2,2019-01-25,MI,MASTECTOMY
40-49,20,27,6,2019-01-25,MI,CATARACT
40-49,37,52,6,2019-01-25,MI,CHOLECYSTECTOMY
40-49,45,58,7,2019-01-25,MI,CYSTOSCOPY
40-49,11,18,5,2019-01-25,MI,HIP REPLACEMENT
40-49,41,55,9,2019-01-25,MI,HYSTEROSCOPY
40-49,5,6,2,2019-01-25,MI,KNEE REPLACEMENT
40-49,17,31,5,2019-01-25,MI,MASTECTOMY
40-49,1,1,1,2019-01-25,MI,PROSTATECTOMY
50-64,275,374,21,2019-01-25,MI,CATARACT
50-64,64,82,7,2019-01-25,MI,CHOLECYSTECTOMY
50-64,224,269,14,2019-01-25,MI,CYSTOSCOPY
50-64,51,76,14,2019-01-25,MI,HIP REPLACEMENT
50-64,51,73,12,2019-01-25,MI,HYSTEROSCOPY
50-64,67,90,12,2019-01-25,MI,KNEE REPLACEMENT
50-64,29,44,4,2019-01-25,MI,MASTECTOMY
50-64,15,21,4,2019-01-25,MI,PROSTATECTOMY
65+,1024,1386,21,2019-01-25,MI,CATARACT
65+,40,54,4,2019-01-25,MI,CHOLECYSTECTOMY
65+,1,2,1,2019-01-25,MI,COSMETIC RECONSTRUCTION
65+,492,540,15,2019-01-25,MI,CYSTOSCOPY
65+,45,62,8,2019-01-25,MI,HIP REPLACEMENT
65+,22,26,2,2019-01-25,MI,HYSTEROSCOPY
65+,115,155,9,2019-01-25,MI,KNEE REPLACEMENT
65+,35,50,5,2019-01-25,MI,MASTECTOMY
65+,26,34,2,2019-01-25,MI,PROSTATECTOMY
18-29,3,6,1,2019-02-01,MI,CATARACT
18-29,26,34,5,2019-02-01,MI,CHOLECYSTECTOMY
18-29,12,16,4,2019-02-01,MI,CYSTOSCOPY
18-29,6,9,3,2019-02-01,MI,HYSTEROSCOPY
18-29,4,6,2,2019-02-01,MI,MASTECTOMY
30-39,3,5,1,2019-02-01,MI,CATARACT
30-39,47,61,7,2019-02-01,MI,CHOLECYSTECTOMY
