age,patients,claims,physicians,week,state,elective
18-29,6,7,2,2019-01-04,MN,CHOLECYSTECTOMY
18-29,1,1,1,2019-01-04,MN,CYSTOSCOPY
18-29,1,1,1,2019-01-04,MN,HYSTEROSCOPY
30-39,1,2,1,2019-01-04,MN,CATARACT
30-39,4,5,5,2019-01-04,MN,CHOLECYSTECTOMY
30-39,3,3,1,2019-01-04,MN,CYSTOSCOPY
30-39,5,5,2,2019-01-04,MN,HYSTEROSCOPY
30-39,3,6,2,2019-01-04,MN,MASTECTOMY
40-49,2,3,2,2019-01-04,MN,CATARACT
40-49,9,14,2,2019-01-04,MN,CHOLECYSTECTOMY
40-49,6,8,2,2019-01-04,MN,CYSTOSCOPY
40-49,4,7,2,2019-01-04,MN,HYSTEROSCOPY
40-49,3,5,5,2019-01-04,MN,KNEE REPLACEMENT
40-49,5,5,5,2019-01-04,MN,MASTECTOMY
50-64,33,39,4,2019-01-04,MN,CATARACT
50-64,14,20,4,2019-01-04,MN,CHOLECYSTECTOMY
50-64,23,27,4,2019-01-04,MN,CYSTOSCOPY
50-64,15,25,7,2019-01-04,MN,HIP REPLACEMENT
50-64,8,9,4,2019-01-04,MN,HYSTEROSCOPY
50-64,23,35,10,2019-01-04,MN,KNEE REPLACEMENT
50-64,6,6,1,2019-01-04,MN,MASTECTOMY
50-64,3,7,2,2019-01-04,MN,PROSTATECTOMY
65+,181,230,14,2019-01-04,MN,CATARACT
65+,9,11,1,2019-01-04,MN,CHOLECYSTECTOMY
65+,51,59,3,2019-01-04,MN,CYSTOSCOPY
65+,16,29,6,2019-01-04,MN,HIP REPLACEMENT
65+,6,7,3,2019-01-04,MN,HYSTEROSCOPY
65+,29,53,9,2019-01-04,MN,KNEE REPLACEMENT
65+,8,9,3,2019-01-04,MN,MASTECTOMY
65+,1,2,2,2019-01-04,MN,PROSTATECTOMY
18-29,1,2,1,2019-01-11,MN,CATARACT
18-29,19,26,5,2019-01-11,MN,CHOLECYSTECTOMY
18-29,7,7,3,2019-01-11,MN,CYSTOSCOPY
18-29,1,2,1,2019-01-11,MN,HIP REPLACEMENT
18-29,6,6,6,2019-01-11,MN,HYSTEROSCOPY
18-29,6,9,3,2019-01-11,MN,MASTECTOMY
30-39,3,3,1,2019-01-11,MN,CATARACT
30-39,15,19,4,2019-01-11,MN,CHOLECYSTECTOMY
30-39,14,18,2,2019-01-11,MN,CYSTOSCOPY
30-39,2,5,5,2019-01-11,MN,HIP REPLACEMENT
30-39,15,18,4,2019-01-11,MN,HYSTEROSCOPY
30-39,2,2,1,2019-01-11,MN,MASTECTOMY
40-49,6,9,2,2019-01-11,MN,CATARACT
40-49,15,21,5,2019-01-11,MN,CHOLECYSTECTOMY
40-49,13,16,2,2019-01-11,MN,CYSTOSCOPY
40-49,7,11,3,2019-01-11,MN,HIP REPLACEMENT
40-49,19,21,9,2019-01-11,MN,HYSTEROSCOPY
40-49,3,6,6,2019-01-11,MN,KNEE REPLACEMENT
40-49,6,8,3,2019-01-11,MN,MASTECTOMY
50-64,1,2,2,2019-01-11,MN,CABG
50-64,118,149,12,2019-01-11,MN,CATARACT
50-64,30,41,17,2019-01-11,MN,CHOLECYSTECTOMY
50-64,1,1,1,2019-01-11,MN,COSMETIC RECONSTRUCTION
50-64,68,76,4,2019-01-11,MN,CYSTOSCOPY
50-64,43,75,14,2019-01-11,MN,HIP REPLACEMENT
50-64,17,22,8,2019-01-11,MN,HYSTEROSCOPY
50-64,62,111,13,2019-01-11,MN,KNEE REPLACEMENT
50-64,30,40,6,2019-01-11,MN,MASTECTOMY
50-64,8,9,2,2019-01-11,MN,PROSTATECTOMY
65+,1,1,1,2019-01-11,MN,CABG
65+,465,578,18,2019-01-11,MN,CATARACT
65+,30,45,4,2019-01-11,MN,CHOLECYSTECTOMY
65+,1,1,1,2019-01-11,MN,COSMETIC RECONSTRUCTION
65+,153,177,7,2019-01-11,MN,CYSTOSCOPY
65+,64,121,10,2019-01-11,MN,HIP REPLACEMENT
65+,9,11,2,2019-01-11,MN,HYSTEROSCOPY
65+,119,200,14,2019-01-11,MN,KNEE REPLACEMENT
65+,34,43,8,2019-01-11,MN,MASTECTOMY
65+,11,14,3,2019-01-11,MN,PROSTATECTOMY
18-29,2,2,2,2019-01-18,MN,CATARACT
18-29,13,17,5,2019-01-18,MN,CHOLECYSTECTOMY
18-29,3,4,1,2019-01-18,MN,CYSTOSCOPY
18-29,2,2,1,2019-01-18,MN,HYSTEROSCOPY
18-29,1,1,1,2019-01-18,MN,MASTECTOMY
30-39,2,2,1,2019-01-18,MN,CATARACT
30-39,17,25,6,2019-01-18,MN,CHOLECYSTECTOMY
30-39,10,11,3,2019-01-18,MN,CYSTOSCOPY
30-39,17,22,4,2019-01-18,MN,HYSTEROSCOPY
30-39,2,4,2,2019-01-18,MN,MASTECTOMY
40-49,7,10,1,2019-01-18,MN,CATARACT
40-49,21,26,4,2019-01-18,MN,CHOLECYSTECTOMY
40-49,18,24,4,2019-01-18,MN,CYSTOSCOPY
40-49,3,5,1,2019-01-18,MN,HIP REPLACEMENT
40-49,9,11,5,2019-01-18,MN,HYSTEROSCOPY
40-49,5,8,2,2019-01-18,MN,KNEE REPLACEMENT
40-49,11,21,4,2019-01-18,MN,MASTECTOMY
40-49,2,3,1,2019-01-18,MN,PROSTATECTOMY
50-64,1,2,2,2019-01-18,MN,CABG
50-64,114,149,14,2019-01-18,MN,CATARACT
50-64,31,42,9,2019-01-18,MN,CHOLECYSTECTOMY
50-64,70,81,7,2019-01-18,MN,CYSTOSCOPY
50-64,28,45,15,2019-01-18,MN,HIP REPLACEMENT
50-64,36,45,8,2019-01-18,MN,HYSTEROSCOPY
50-64,53,88,23,2019-01-18,MN,KNEE REPLACEMENT
50-64,25,36,11,2019-01-18,MN,MASTECTOMY
50-64,6,8,2,2019-01-18,MN,PROSTATECTOMY
65+,2,2,1,2019-01-18,MN,CABG
65+,459,563,16,2019-01-18,MN,CATARACT
65+,30,37,3,2019-01-18,MN,CHOLECYSTECTOMY
65+,157,177,8,2019-01-18,MN,CYSTOSCOPY
65+,54,91,10,2019-01-18,MN,HIP REPLACEMENT
65+,12,13,6,2019-01-18,MN,HYSTEROSCOPY
65+,106,186,15,2019-01-18,MN,KNEE REPLACEMENT
65+,26,28,4,2019-01-18,MN,MASTECTOMY
65+,8,10,4,2019-01-18,MN,PROSTATECTOMY
18-29,12,15,4,2019-01-25,MN,CHOLECYSTECTOMY
18-29,7,7,2,2019-01-25,MN,CYSTOSCOPY
18-29,1,4,2,2019-01-25,MN,HIP REPLACEMENT
18-29,7,10,1,2019-01-25,MN,HYSTEROSCOPY
18-29,3,3,1,2019-01-25,MN,MASTECTOMY
30-39,2,2,2,2019-01-25,MN,CATARACT
30-39,15,18,7,2019-01-25,MN,CHOLECYSTECTOMY
30-39,3,3,3,2019-01-25,MN,CYSTOSCOPY
30-39,20,22,6,2019-01-25,MN,HYSTEROSCOPY
30-39,1,2,2,2019-01-25,MN,KNEE REPLACEMENT
40-49,6,9,2,2019-01-25,MN,CATARACT
40-49,12,14,4,2019-01-25,MN,CHOLECYSTECTOMY
40-49,6,6,2,2019-01-25,MN,CYSTOSCOPY
40-49,4,6,2,2019-01-25,MN,HIP REPLACEMENT
40-49,24,27,11,2019-01-25,MN,HYSTEROSCOPY
40-49,1,1,1,2019-01-25,MN,KNEE REPLACEMENT
40-49,15,19,4,2019-01-25,MN,MASTECTOMY
50-64,92,132,13,2019-01-25,MN,CATARACT
50-64,33,46,6,2019-01-25,MN,CHOLECYSTECTOMY
50-64,67,74,8,2019-01-25,MN,CYSTOSCOPY
50-64,42,68,13,2019-01-25,MN,HIP REPLACEMENT
50-64,26,33,6,2019-01-25,MN,HYSTEROSCOPY
50-64,74,140,16,2019-01-25,MN,KNEE REPLACEMENT
50-64,31,43,6,2019-01-25,MN,MASTECTOMY
50-64,10,16,6,2019-01-25,MN,PROSTATECTOMY
65+,359,450,17,2019-01-25,MN,CATARACT
65+,37,52,4,2019-01-25,MN,CHOLECYSTECTOMY
65+,147,164,10,2019-01-25,MN,CYSTOSCOPY
65+,55,95,11,2019-01-25,MN,HIP REPLACEMENT
65+,7,8,2,2019-01-25,MN,HYSTEROSCOPY
