age,patients,claims,physicians,week,state,elective
18-29,6,7,3,2019-01-04,MO,CHOLECYSTECTOMY
18-29,1,1,1,2019-01-04,MO,CYSTOSCOPY
30-39,1,2,1,2019-01-04,MO,CATARACT
30-39,6,6,1,2019-01-04,MO,CHOLECYSTECTOMY
30-39,3,3,0,2019-01-04,MO,CYSTOSCOPY
30-39,3,4,3,2019-01-04,MO,HYSTEROSCOPY
40-49,1,1,1,2019-01-04,MO,CATARACT
40-49,4,7,2,2019-01-04,MO,CHOLECYSTECTOMY
40-49,5,6,2,2019-01-04,MO,CYSTOSCOPY
40-49,6,9,3,2019-01-04,MO,HYSTEROSCOPY
40-49,2,3,1,2019-01-04,MO,KNEE REPLACEMENT
40-49,1,1,1,2019-01-04,MO,MASTECTOMY
50-64,20,27,3,2019-01-04,MO,CATARACT
50-64,10,12,2,2019-01-04,MO,CHOLECYSTECTOMY
50-64,26,27,4,2019-01-04,MO,CYSTOSCOPY
50-64,5,7,1,2019-01-04,MO,HIP REPLACEMENT
50-64,6,7,3,2019-01-04,MO,HYSTEROSCOPY
50-64,12,17,3,2019-01-04,MO,KNEE REPLACEMENT
50-64,4,6,2,2019-01-04,MO,MASTECTOMY
50-64,1,1,1,2019-01-04,MO,PROSTATECTOMY
65+,190,260,10,2019-01-04,MO,CATARACT
65+,17,23,2,2019-01-04,MO,CHOLECYSTECTOMY
65+,81,87,5,2019-01-04,MO,CYSTOSCOPY
65+,15,23,3,2019-01-04,MO,HIP REPLACEMENT
65+,2,2,2,2019-01-04,MO,HYSTEROSCOPY
65+,29,42,5,2019-01-04,MO,KNEE REPLACEMENT
65+,13,14,2,2019-01-04,MO,MASTECTOMY
65+,4,5,1,2019-01-04,MO,PROSTATECTOMY
18-29,22,34,7,2019-01-11,MO,CHOLECYSTECTOMY
18-29,1,1,1,2019-01-11,MO,CYSTOSCOPY
18-29,3,3,1,2019-01-11,MO,HYSTEROSCOPY
30-39,1,1,1,2019-01-11,MO,CATARACT
30-39,10,16,5,2019-01-11,MO,CHOLECYSTECTOMY
30-39,6,6,2,2019-01-11,MO,CYSTOSCOPY
30-39,11,15,3,2019-01-11,MO,HYSTEROSCOPY
30-39,2,2,1,2019-01-11,MO,MASTECTOMY
40-49,5,7,1,2019-01-11,MO,CATARACT
40-49,22,27,6,2019-01-11,MO,CHOLECYSTECTOMY
40-49,9,11,2,2019-01-11,MO,CYSTOSCOPY
40-49,3,4,2,2019-01-11,MO,HIP REPLACEMENT
