age,patients,claims,physicians,week,state,elective
30-39,1,1,1,2019-01-04,MS,CATARACT
30-39,1,1,1,2019-01-04,MS,CYSTOSCOPY
40-49,1,1,1,2019-01-04,MS,CATARACT
40-49,2,2,1,2019-01-04,MS,CYSTOSCOPY
40-49,1,2,1,2019-01-04,MS,HYSTEROSCOPY
40-49,1,2,2,2019-01-04,MS,KNEE REPLACEMENT
40-49,1,1,1,2019-01-04,MS,MASTECTOMY
50-64,11,14,4,2019-01-04,MS,CATARACT
50-64,6,7,1,2019-01-04,MS,CYSTOSCOPY
50-64,5,6,2,2019-01-04,MS,HYSTEROSCOPY
50-64,3,5,2,2019-01-04,MS,KNEE REPLACEMENT
50-64,1,1,1,2019-01-04,MS,PROSTATECTOMY
65+,58,79,3,2019-01-04,MS,CATARACT
65+,23,28,2,2019-01-04,MS,CYSTOSCOPY
65+,1,2,1,2019-01-04,MS,HIP REPLACEMENT
65+,1,1,1,2019-01-04,MS,HYSTEROSCOPY
65+,2,2,1,2019-01-04,MS,KNEE REPLACEMENT
65+,2,2,1,2019-01-04,MS,MASTECTOMY
65+,2,2,1,2019-01-04,MS,PROSTATECTOMY
18-29,11,16,5,2019-01-11,MS,CHOLECYSTECTOMY
18-29,4,4,2,2019-01-11,MS,CYSTOSCOPY
18-29,3,3,1,2019-01-11,MS,HYSTEROSCOPY
30-39,1,2,1,2019-01-11,MS,CATARACT
30-39,7,8,2,2019-01-11,MS,CHOLECYSTECTOMY
30-39,4,6,1,2019-01-11,MS,CYSTOSCOPY
30-39,4,4,1,2019-01-11,MS,HYSTEROSCOPY
30-39,3,5,1,2019-01-11,MS,MASTECTOMY
40-49,4,5,2,2019-01-11,MS,CATARACT
40-49,9,10,2,2019-01-11,MS,CHOLECYSTECTOMY
40-49,5,5,1,2019-01-11,MS,CYSTOSCOPY
40-49,1,1,1,2019-01-11,MS,HIP REPLACEMENT
40-49,4,4,4,2019-01-11,MS,HYSTEROSCOPY
40-49,1,1,1,2019-01-11,MS,KNEE REPLACEMENT
40-49,1,2,1,2019-01-11,MS,MASTECTOMY
50-64,46,60,5,2019-01-11,MS,CATARACT
50-64,19,25,3,2019-01-11,MS,CHOLECYSTECTOMY
50-64,32,38,5,2019-01-11,MS,CYSTOSCOPY
50-64,9,14,3,2019-01-11,MS,HIP REPLACEMENT
