age,patients,claims,physicians,week,state,elective
30-39,1,1,1,2019-01-04,MT,CYSTOSCOPY
40-49,2,2,1,2019-01-04,MT,CYSTOSCOPY
50-64,1,4,1,2019-01-04,MT,CATARACT
50-64,3,3,1,2019-01-04,MT,CYSTOSCOPY
50-64,2,4,2,2019-01-04,MT,HIP REPLACEMENT
50-64,1,1,1,2019-01-04,MT,HYSTEROSCOPY
50-64,2,3,2,2019-01-04,MT,MASTECTOMY
65+,22,33,2,2019-01-04,MT,CATARACT
65+,6,6,1,2019-01-04,MT,CYSTOSCOPY
65+,1,1,1,2019-01-04,MT,HIP REPLACEMENT
65+,1,1,1,2019-01-04,MT,HYSTEROSCOPY
65+,1,1,1,2019-01-04,MT,KNEE REPLACEMENT
65+,1,1,1,2019-01-04,MT,MASTECTOMY
18-29,1,2,2,2019-01-11,MT,CHOLECYSTECTOMY
30-39,2,4,3,2019-01-11,MT,CHOLECYSTECTOMY
30-39,1,2,1,2019-01-11,MT,CYSTOSCOPY
40-49,3,3,1,2019-01-11,MT,CHOLECYSTECTOMY
40-49,2,4,2,2019-01-11,MT,CYSTOSCOPY
40-49,1,4,2,2019-01-11,MT,MASTECTOMY
50-64,12,20,1,2019-01-11,MT,CATARACT
50-64,5,7,2,2019-01-11,MT,CHOLECYSTECTOMY
50-64,6,7,3,2019-01-11,MT,CYSTOSCOPY
50-64,1,2,2,2019-01-11,MT,HIP REPLACEMENT
50-64,4,7,1,2019-01-11,MT,KNEE REPLACEMENT
50-64,4,5,3,2019-01-11,MT,MASTECTOMY
65+,82,107,5,2019-01-11,MT,CATARACT
65+,1,1,1,2019-01-11,MT,CHOLECYSTECTOMY
65+,14,16,1,2019-01-11,MT,CYSTOSCOPY
65+,2,4,2,2019-01-11,MT,HIP REPLACEMENT
65+,10,19,2,2019-01-11,MT,KNEE REPLACEMENT
65+,1,1,1,2019-01-11,MT,MASTECTOMY
65+,2,2,1,2019-01-11,MT,PROSTATECTOMY
18-29,2,5,3,2019-01-18,MT,CHOLECYSTECTOMY
18-29,1,1,1,2019-01-18,MT,CYSTOSCOPY
30-39,1,1,1,2019-01-18,MT,CATARACT
30-39,3,5,1,2019-01-18,MT,CHOLECYSTECTOMY
30-39,2,2,1,2019-01-18,MT,CYSTOSCOPY
40-49,4,7,4,2019-01-18,MT,CHOLECYSTECTOMY
40-49,3,4,2,2019-01-18,MT,CYSTOSCOPY
50-64,17,27,2,2019-01-18,MT,CATARACT
50-64,7,14,4,2019-01-18,MT,CHOLECYSTECTOMY
50-64,9,9,5,2019-01-18,MT,CYSTOSCOPY
50-64,4,8,3,2019-01-18,MT,HIP REPLACEMENT
50-64,7,13,4,2019-01-18,MT,KNEE REPLACEMENT
65+,64,79,4,2019-01-18,MT,CATARACT
65+,7,8,2,2019-01-18,MT,CHOLECYSTECTOMY
65+,17,19,1,2019-01-18,MT,CYSTOSCOPY
65+,5,8,2,2019-01-18,MT,HIP REPLACEMENT
65+,6,9,1,2019-01-18,MT,KNEE REPLACEMENT
65+,2,3,1,2019-01-18,MT,PROSTATECTOMY
18-29,5,5,2,2019-01-25,MT,CHOLECYSTECTOMY
18-29,1,1,1,2019-01-25,MT,MASTECTOMY
30-39,2,2,2,2019-01-25,MT,CHOLECYSTECTOMY
40-49,2,3,1,2019-01-25,MT,CATARACT
40-49,3,4,1,2019-01-25,MT,CHOLECYSTECTOMY
40-49,4,5,1,2019-01-25,MT,CYSTOSCOPY
40-49,2,3,2,2019-01-25,MT,HYSTEROSCOPY
40-49,2,2,1,2019-01-25,MT,MASTECTOMY
50-64,20,30,3,2019-01-25,MT,CATARACT
50-64,6,9,2,2019-01-25,MT,CHOLECYSTECTOMY
50-64,9,10,3,2019-01-25,MT,CYSTOSCOPY
50-64,1,2,2,2019-01-25,MT,HIP REPLACEMENT
50-64,7,9,3,2019-01-25,MT,HYSTEROSCOPY
50-64,6,11,3,2019-01-25,MT,KNEE REPLACEMENT
50-64,2,4,2,2019-01-25,MT,MASTECTOMY
65+,66,81,2,2019-01-25,MT,CATARACT
65+,5,7,1,2019-01-25,MT,CHOLECYSTECTOMY
65+,17,21,2,2019-01-25,MT,CYSTOSCOPY
65+,1,1,1,2019-01-25,MT,HIP REPLACEMENT
65+,1,1,1,2019-01-25,MT,HYSTEROSCOPY
65+,4,5,1,2019-01-25,MT,KNEE REPLACEMENT
65+,3,3,1,2019-01-25,MT,MASTECTOMY
65+,4,6,1,2019-01-25,MT,PROSTATECTOMY
18-29,4,5,3,2019-02-01,MT,CHOLECYSTECTOMY
18-29,1,1,1,2019-02-01,MT,CYSTOSCOPY
30-39,1,2,1,2019-02-01,MT,CATARACT
30-39,2,4,3,2019-02-01,MT,CHOLECYSTECTOMY
30-39,2,3,1,2019-02-01,MT,CYSTOSCOPY
30-39,1,1,1,2019-02-01,MT,HYSTEROSCOPY
40-49,1,1,1,2019-02-01,MT,CATARACT
40-49,3,6,5,2019-02-01,MT,CHOLECYSTECTOMY
40-49,1,2,2,2019-02-01,MT,CYSTOSCOPY
40-49,2,2,1,2019-02-01,MT,HYSTEROSCOPY
40-49,1,1,1,2019-02-01,MT,MASTECTOMY
50-64,28,38,4,2019-02-01,MT,CATARACT
50-64,4,8,2,2019-02-01,MT,CHOLECYSTECTOMY
50-64,7,7,3,2019-02-01,MT,CYSTOSCOPY
50-64,2,4,4,2019-02-01,MT,HIP REPLACEMENT
50-64,2,4,1,2019-02-01,MT,HYSTEROSCOPY
50-64,4,7,5,2019-02-01,MT,KNEE REPLACEMENT
50-64,6,9,2,2019-02-01,MT,MASTECTOMY
65+,63,78,4,2019-02-01,MT,CATARACT
65+,2,3,1,2019-02-01,MT,CHOLECYSTECTOMY
65+,16,16,2,2019-02-01,MT,CYSTOSCOPY
65+,4,7,3,2019-02-01,MT,HIP REPLACEMENT
65+,1,1,1,2019-02-01,MT,HYSTEROSCOPY
65+,13,18,2,2019-02-01,MT,KNEE REPLACEMENT
65+,3,3,1,2019-02-01,MT,MASTECTOMY
65+,3,4,1,2019-02-01,MT,PROSTATECTOMY
