age,patients,claims,physicians,week,state,elective
18-29,12,16,3,2019-01-04,NC,CHOLECYSTECTOMY
18-29,3,3,3,2019-01-04,NC,CYSTOSCOPY
18-29,4,4,1,2019-01-04,NC,HYSTEROSCOPY
30-39,11,16,3,2019-01-04,NC,CHOLECYSTECTOMY
30-39,1,1,1,2019-01-04,NC,CYSTOSCOPY
30-39,4,4,1,2019-01-04,NC,HYSTEROSCOPY
40-49,2,3,1,2019-01-04,NC,CATARACT
40-49,8,8,3,2019-01-04,NC,CHOLECYSTECTOMY
40-49,9,9,2,2019-01-04,NC,CYSTOSCOPY
40-49,2,4,1,2019-01-04,NC,HIP REPLACEMENT
40-49,4,4,4,2019-01-04,NC,HYSTEROSCOPY
40-49,2,3,3,2019-01-04,NC,MASTECTOMY
50-64,60,63,8,2019-01-04,NC,CATARACT
50-64,8,9,2,2019-01-04,NC,CHOLECYSTECTOMY
50-64,24,27,5,2019-01-04,NC,CYSTOSCOPY
50-64,10,20,9,2019-01-04,NC,HIP REPLACEMENT
50-64,4,5,2,2019-01-04,NC,HYSTEROSCOPY
50-64,8,13,5,2019-01-04,NC,KNEE REPLACEMENT
50-64,11,13,12,2019-01-04,NC,MASTECTOMY
50-64,1,2,1,2019-01-04,NC,PROSTATECTOMY
65+,4,5,1,2019-01-04,NC,CABG
65+,267,294,12,2019-01-04,NC,CATARACT
65+,14,19,2,2019-01-04,NC,CHOLECYSTECTOMY
65+,69,74,5,2019-01-04,NC,CYSTOSCOPY
65+,11,20,2,2019-01-04,NC,HIP REPLACEMENT
65+,2,2,1,2019-01-04,NC,HYSTEROSCOPY
65+,30,48,7,2019-01-04,NC,KNEE REPLACEMENT
65+,14,18,3,2019-01-04,NC,MASTECTOMY
65+,1,2,2,2019-01-04,NC,PROSTATECTOMY
18-29,17,19,3,2019-01-11,NC,CHOLECYSTECTOMY
18-29,2,3,1,2019-01-11,NC,CYSTOSCOPY
18-29,6,6,3,2019-01-11,NC,HYSTEROSCOPY
18-29,1,1,1,2019-01-11,NC,MASTECTOMY
30-39,1,1,1,2019-01-11,NC,CATARACT
30-39,24,31,6,2019-01-11,NC,CHOLECYSTECTOMY
30-39,12,12,2,2019-01-11,NC,CYSTOSCOPY
30-39,2,4,4,2019-01-11,NC,HIP REPLACEMENT
30-39,13,15,3,2019-01-11,NC,HYSTEROSCOPY
30-39,4,4,4,2019-01-11,NC,MASTECTOMY
40-49,8,8,8,2019-01-11,NC,CATARACT
40-49,19,26,3,2019-01-11,NC,CHOLECYSTECTOMY
40-49,14,16,3,2019-01-11,NC,CYSTOSCOPY
40-49,6,10,3,2019-01-11,NC,HIP REPLACEMENT
40-49,12,15,3,2019-01-11,NC,HYSTEROSCOPY
40-49,2,2,1,2019-01-11,NC,KNEE REPLACEMENT
40-49,8,10,3,2019-01-11,NC,MASTECTOMY
40-49,2,2,1,2019-01-11,NC,PROSTATECTOMY
50-64,144,181,12,2019-01-11,NC,CATARACT
50-64,43,54,6,2019-01-11,NC,CHOLECYSTECTOMY
50-64,69,74,8,2019-01-11,NC,CYSTOSCOPY
50-64,28,48,20,2019-01-11,NC,HIP REPLACEMENT
50-64,19,21,6,2019-01-11,NC,HYSTEROSCOPY
50-64,42,69,15,2019-01-11,NC,KNEE REPLACEMENT
