age,patients,claims,physicians,week,state,elective
18-29,1,1,1,2019-01-04,ND,CHOLECYSTECTOMY
18-29,1,1,1,2019-01-04,ND,CYSTOSCOPY
30-39,1,1,1,2019-01-04,ND,CYSTOSCOPY
40-49,1,1,1,2019-01-04,ND,CATARACT
50-64,8,11,2,2019-01-04,ND,CATARACT
50-64,1,2,1,2019-01-04,ND,CHOLECYSTECTOMY
50-64,5,5,1,2019-01-04,ND,CYSTOSCOPY
50-64,2,4,4,2019-01-04,ND,HIP REPLACEMENT
50-64,2,4,2,2019-01-04,ND,KNEE REPLACEMENT
65+,25,37,3,2019-01-04,ND,CATARACT
65+,1,1,1,2019-01-04,ND,CHOLECYSTECTOMY
65+,13,15,1,2019-01-04,ND,CYSTOSCOPY
65+,2,3,2,2019-01-04,ND,HIP REPLACEMENT
65+,8,16,2,2019-01-04,ND,KNEE REPLACEMENT
65+,1,1,1,2019-01-04,ND,MASTECTOMY
65+,1,2,2,2019-01-04,ND,PROSTATECTOMY
18-29,1,1,1,2019-01-11,ND,CHOLECYSTECTOMY
18-29,1,1,1,2019-01-11,ND,CYSTOSCOPY
30-39,3,5,2,2019-01-11,ND,CHOLECYSTECTOMY
30-39,5,6,1,2019-01-11,ND,CYSTOSCOPY
40-49,2,2,1,2019-01-11,ND,CATARACT
40-49,2,4,1,2019-01-11,ND,CHOLECYSTECTOMY
40-49,1,1,1,2019-01-11,ND,CYSTOSCOPY
50-64,26,39,6,2019-01-11,ND,CATARACT
50-64,2,3,3,2019-01-11,ND,CHOLECYSTECTOMY
50-64,4,5,2,2019-01-11,ND,CYSTOSCOPY
50-64,6,11,5,2019-01-11,ND,HIP REPLACEMENT
50-64,11,23,7,2019-01-11,ND,KNEE REPLACEMENT
65+,109,150,4,2019-01-11,ND,CATARACT
65+,4,6,2,2019-01-11,ND,CHOLECYSTECTOMY
65+,44,46,3,2019-01-11,ND,CYSTOSCOPY
65+,6,11,2,2019-01-11,ND,HIP REPLACEMENT
65+,19,39,4,2019-01-11,ND,KNEE REPLACEMENT
65+,4,5,1,2019-01-11,ND,MASTECTOMY
18-29,2,3,2,2019-01-18,ND,CHOLECYSTECTOMY
18-29,1,1,1,2019-01-18,ND,CYSTOSCOPY
30-39,1,2,1,2019-01-18,ND,CATARACT
30-39,3,5,4,2019-01-18,ND,CHOLECYSTECTOMY
30-39,2,2,1,2019-01-18,ND,CYSTOSCOPY
30-39,1,2,2,2019-01-18,ND,HIP REPLACEMENT
30-39,1,1,1,2019-01-18,ND,MASTECTOMY
40-49,1,3,2,2019-01-18,ND,CATARACT
40-49,3,4,3,2019-01-18,ND,CHOLECYSTECTOMY
40-49,2,2,1,2019-01-18,ND,CYSTOSCOPY
40-49,1,2,2,2019-01-18,ND,KNEE REPLACEMENT
50-64,25,38,5,2019-01-18,ND,CATARACT
50-64,4,8,2,2019-01-18,ND,CHOLECYSTECTOMY
50-64,9,10,2,2019-01-18,ND,CYSTOSCOPY
50-64,2,3,1,2019-01-18,ND,HIP REPLACEMENT
50-64,13,27,2,2019-01-18,ND,KNEE REPLACEMENT
50-64,1,1,1,2019-01-18,ND,MASTECTOMY
65+,97,137,4,2019-01-18,ND,CATARACT
65+,3,3,1,2019-01-18,ND,CHOLECYSTECTOMY
65+,44,49,4,2019-01-18,ND,CYSTOSCOPY
65+,4,8,4,2019-01-18,ND,HIP REPLACEMENT
65+,13,25,2,2019-01-18,ND,KNEE REPLACEMENT
65+,4,6,1,2019-01-18,ND,MASTECTOMY
65+,2,2,1,2019-01-18,ND,PROSTATECTOMY
18-29,1,2,1,2019-01-25,ND,CHOLECYSTECTOMY
18-29,2,2,1,2019-01-25,ND,HYSTEROSCOPY
30-39,1,2,1,2019-01-25,ND,CATARACT
30-39,1,1,1,2019-01-25,ND,CHOLECYSTECTOMY
40-49,4,6,2,2019-01-25,ND,CATARACT
40-49,2,2,2,2019-01-25,ND,CYSTOSCOPY
40-49,3,5,5,2019-01-25,ND,HIP REPLACEMENT
40-49,2,3,1,2019-01-25,ND,KNEE REPLACEMENT
40-49,2,2,1,2019-01-25,ND,MASTECTOMY
50-64,30,45,4,2019-01-25,ND,CATARACT
50-64,2,3,2,2019-01-25,ND,CHOLECYSTECTOMY
50-64,5,5,2,2019-01-25,ND,CYSTOSCOPY
50-64,4,8,5,2019-01-25,ND,HIP REPLACEMENT
50-64,2,2,1,2019-01-25,ND,HYSTEROSCOPY
50-64,7,13,3,2019-01-25,ND,KNEE REPLACEMENT
50-64,1,2,1,2019-01-25,ND,MASTECTOMY
