age,patients,claims,physicians,week,state,elective
18-29,5,7,2,2019-01-04,NE,CHOLECYSTECTOMY
30-39,7,8,2,2019-01-04,NE,CHOLECYSTECTOMY
30-39,1,1,1,2019-01-04,NE,MASTECTOMY
40-49,3,4,0,2019-01-04,NE,CATARACT
40-49,6,10,2,2019-01-04,NE,CHOLECYSTECTOMY
40-49,2,4,4,2019-01-04,NE,HIP REPLACEMENT
40-49,2,4,4,2019-01-04,NE,KNEE REPLACEMENT
40-49,1,2,1,2019-01-04,NE,MASTECTOMY
50-64,27,36,5,2019-01-04,NE,CATARACT
50-64,7,12,3,2019-01-04,NE,CHOLECYSTECTOMY
50-64,5,5,2,2019-01-04,NE,CYSTOSCOPY
50-64,8,14,6,2019-01-04,NE,KNEE REPLACEMENT
50-64,2,4,3,2019-01-04,NE,MASTECTOMY
65+,71,85,4,2019-01-04,NE,CATARACT
65+,7,12,1,2019-01-04,NE,CHOLECYSTECTOMY
65+,12,15,1,2019-01-04,NE,CYSTOSCOPY
65+,7,13,3,2019-01-04,NE,HIP REPLACEMENT
65+,13,29,3,2019-01-04,NE,KNEE REPLACEMENT
65+,3,6,3,2019-01-04,NE,MASTECTOMY
65+,2,2,1,2019-01-04,NE,PROSTATECTOMY
18-29,13,26,4,2019-01-11,NE,CHOLECYSTECTOMY
18-29,1,2,1,2019-01-11,NE,CYSTOSCOPY
18-29,2,3,2,2019-01-11,NE,HYSTEROSCOPY
30-39,10,17,3,2019-01-11,NE,CHOLECYSTECTOMY
30-39,1,2,2,2019-01-11,NE,CYSTOSCOPY
30-39,7,8,1,2019-01-11,NE,HYSTEROSCOPY
40-49,7,8,1,2019-01-11,NE,CATARACT
40-49,12,19,4,2019-01-11,NE,CHOLECYSTECTOMY
40-49,3,3,1,2019-01-11,NE,CYSTOSCOPY
40-49,2,4,3,2019-01-11,NE,HIP REPLACEMENT
40-49,3,3,3,2019-01-11,NE,HYSTEROSCOPY
40-49,3,4,2,2019-01-11,NE,KNEE REPLACEMENT
40-49,4,9,2,2019-01-11,NE,MASTECTOMY
