age,patients,claims,physicians,week,state,elective
18-29,1,3,1,2019-01-04,NH,CHOLECYSTECTOMY
30-39,1,1,1,2019-01-04,NH,CYSTOSCOPY
30-39,1,1,1,2019-01-04,NH,HYSTEROSCOPY
40-49,1,2,1,2019-01-04,NH,CHOLECYSTECTOMY
40-49,1,1,1,2019-01-04,NH,HYSTEROSCOPY
40-49,2,3,2,2019-01-04,NH,MASTECTOMY
50-64,8,11,2,2019-01-04,NH,CATARACT
50-64,2,3,2,2019-01-04,NH,CHOLECYSTECTOMY
50-64,1,1,1,2019-01-04,NH,CYSTOSCOPY
50-64,2,4,2,2019-01-04,NH,HYSTEROSCOPY
50-64,5,9,1,2019-01-04,NH,KNEE REPLACEMENT
50-64,2,2,2,2019-01-04,NH,MASTECTOMY
65+,67,97,8,2019-01-04,NH,CATARACT
65+,1,3,1,2019-01-04,NH,CHOLECYSTECTOMY
65+,14,16,2,2019-01-04,NH,CYSTOSCOPY
65+,1,1,1,2019-01-04,NH,HIP REPLACEMENT
65+,1,1,1,2019-01-04,NH,HYSTEROSCOPY
65+,6,14,1,2019-01-04,NH,KNEE REPLACEMENT
65+,3,3,1,2019-01-04,NH,MASTECTOMY
18-29,2,3,2,2019-01-11,NH,CHOLECYSTECTOMY
18-29,3,4,3,2019-01-11,NH,HYSTEROSCOPY
30-39,5,7,5,2019-01-11,NH,CHOLECYSTECTOMY
30-39,2,2,2,2019-01-11,NH,CYSTOSCOPY
30-39,3,4,1,2019-01-11,NH,HYSTEROSCOPY
30-39,1,1,1,2019-01-11,NH,MASTECTOMY
40-49,1,1,1,2019-01-11,NH,CATARACT
40-49,3,5,1,2019-01-11,NH,CHOLECYSTECTOMY
40-49,4,5,2,2019-01-11,NH,HYSTEROSCOPY
40-49,2,6,2,2019-01-11,NH,KNEE REPLACEMENT
40-49,1,2,1,2019-01-11,NH,MASTECTOMY
50-64,41,65,4,2019-01-11,NH,CATARACT
50-64,6,8,2,2019-01-11,NH,CHOLECYSTECTOMY
50-64,10,12,2,2019-01-11,NH,CYSTOSCOPY
50-64,2,4,1,2019-01-11,NH,HIP REPLACEMENT
50-64,7,8,1,2019-01-11,NH,HYSTEROSCOPY
50-64,15,30,6,2019-01-11,NH,KNEE REPLACEMENT
50-64,5,6,2,2019-01-11,NH,MASTECTOMY
50-64,1,1,1,2019-01-11,NH,PROSTATECTOMY
65+,152,242,7,2019-01-11,NH,CATARACT
65+,7,11,1,2019-01-11,NH,CHOLECYSTECTOMY
65+,19,21,2,2019-01-11,NH,CYSTOSCOPY
65+,7,14,2,2019-01-11,NH,HIP REPLACEMENT
65+,2,2,1,2019-01-11,NH,HYSTEROSCOPY
65+,21,35,6,2019-01-11,NH,KNEE REPLACEMENT
65+,4,5,2,2019-01-11,NH,MASTECTOMY
65+,5,6,1,2019-01-11,NH,PROSTATECTOMY
18-29,1,3,1,2019-01-18,NH,CHOLECYSTECTOMY
18-29,1,2,1,2019-01-18,NH,HYSTEROSCOPY
30-39,3,6,4,2019-01-18,NH,CHOLECYSTECTOMY
30-39,1,1,1,2019-01-18,NH,CYSTOSCOPY
30-39,3,4,3,2019-01-18,NH,HYSTEROSCOPY
40-49,1,2,1,2019-01-18,NH,CATARACT
40-49,1,1,1,2019-01-18,NH,CHOLECYSTECTOMY
40-49,6,6,1,2019-01-18,NH,CYSTOSCOPY
40-49,1,1,1,2019-01-18,NH,HIP REPLACEMENT
40-49,4,4,4,2019-01-18,NH,HYSTEROSCOPY
40-49,2,5,1,2019-01-18,NH,KNEE REPLACEMENT
40-49,5,6,1,2019-01-18,NH,MASTECTOMY
50-64,27,48,5,2019-01-18,NH,CATARACT
50-64,3,3,3,2019-01-18,NH,CHOLECYSTECTOMY
50-64,9,10,2,2019-01-18,NH,CYSTOSCOPY
50-64,2,3,3,2019-01-18,NH,HIP REPLACEMENT
50-64,6,8,1,2019-01-18,NH,HYSTEROSCOPY
50-64,11,14,3,2019-01-18,NH,KNEE REPLACEMENT
50-64,6,9,5,2019-01-18,NH,MASTECTOMY
65+,1,2,1,2019-01-18,NH,CABG
65+,175,272,10,2019-01-18,NH,CATARACT
65+,3,5,1,2019-01-18,NH,CHOLECYSTECTOMY
65+,22,26,2,2019-01-18,NH,CYSTOSCOPY
65+,10,13,4,2019-01-18,NH,HIP REPLACEMENT
65+,5,7,2,2019-01-18,NH,HYSTEROSCOPY
65+,30,49,7,2019-01-18,NH,KNEE REPLACEMENT
65+,7,8,1,2019-01-18,NH,MASTECTOMY
65+,2,2,1,2019-01-18,NH,PROSTATECTOMY
18-29,7,10,3,2019-01-25,NH,CHOLECYSTECTOMY
18-29,2,2,1,2019-01-25,NH,MASTECTOMY
30-39,1,1,1,2019-01-25,NH,CHOLECYSTECTOMY
30-39,3,3,1,2019-01-25,NH,CYSTOSCOPY
30-39,3,5,3,2019-01-25,NH,HYSTEROSCOPY
40-49,1,2,2,2019-01-25,NH,CHOLECYSTECTOMY
40-49,5,5,1,2019-01-25,NH,HYSTEROSCOPY
40-49,2,3,2,2019-01-25,NH,KNEE REPLACEMENT
50-64,28,41,4,2019-01-25,NH,CATARACT
50-64,4,5,2,2019-01-25,NH,CHOLECYSTECTOMY
50-64,5,6,2,2019-01-25,NH,CYSTOSCOPY
50-64,9,18,3,2019-01-25,NH,HIP REPLACEMENT
50-64,7,9,7,2019-01-25,NH,HYSTEROSCOPY
50-64,6,11,3,2019-01-25,NH,KNEE REPLACEMENT
50-64,8,13,2,2019-01-25,NH,MASTECTOMY
50-64,1,1,1,2019-01-25,NH,PROSTATECTOMY
65+,1,2,2,2019-01-25,NH,CABG
65+,147,221,12,2019-01-25,NH,CATARACT
65+,2,2,2,2019-01-25,NH,CHOLECYSTECTOMY
65+,20,23,3,2019-01-25,NH,CYSTOSCOPY
65+,4,8,2,2019-01-25,NH,HIP REPLACEMENT
65+,2,2,1,2019-01-25,NH,HYSTEROSCOPY
65+,26,46,3,2019-01-25,NH,KNEE REPLACEMENT
65+,9,10,1,2019-01-25,NH,MASTECTOMY
65+,1,1,1,2019-01-25,NH,PROSTATECTOMY
18-29,2,3,0,2019-02-01,NH,CATARACT
18-29,4,7,4,2019-02-01,NH,CHOLECYSTECTOMY
18-29,1,1,1,2019-02-01,NH,CYSTOSCOPY
18-29,1,1,1,2019-02-01,NH,HYSTEROSCOPY
30-39,7,8,6,2019-02-01,NH,CHOLECYSTECTOMY
30-39,3,4,1,2019-02-01,NH,CYSTOSCOPY
30-39,2,4,2,2019-02-01,NH,HYSTEROSCOPY
40-49,2,4,2,2019-02-01,NH,CATARACT
40-49,1,2,1,2019-02-01,NH,CHOLECYSTECTOMY
40-49,2,2,1,2019-02-01,NH,CYSTOSCOPY
40-49,1,1,1,2019-02-01,NH,HIP REPLACEMENT
40-49,4,5,2,2019-02-01,NH,HYSTEROSCOPY
50-64,25,45,8,2019-02-01,NH,CATARACT
50-64,5,8,6,2019-02-01,NH,CHOLECYSTECTOMY
50-64,19,22,3,2019-02-01,NH,CYSTOSCOPY
50-64,2,4,1,2019-02-01,NH,HIP REPLACEMENT
50-64,12,17,6,2019-02-01,NH,HYSTEROSCOPY
50-64,10,17,3,2019-02-01,NH,KNEE REPLACEMENT
50-64,2,4,2,2019-02-01,NH,MASTECTOMY
50-64,1,1,1,2019-02-01,NH,PROSTATECTOMY
65+,1,4,1,2019-02-01,NH,CABG
65+,144,210,9,2019-02-01,NH,CATARACT
65+,7,10,2,2019-02-01,NH,CHOLECYSTECTOMY
65+,17,18,2,2019-02-01,NH,CYSTOSCOPY
65+,9,18,3,2019-02-01,NH,HIP REPLACEMENT
65+,6,6,2,2019-02-01,NH,HYSTEROSCOPY
65+,24,36,3,2019-02-01,NH,KNEE REPLACEMENT
65+,7,8,2,2019-02-01,NH,MASTECTOMY
65+,2,2,1,2019-02-01,NH,PROSTATECTOMY
18-29,2,2,1,2019-02-08,NH,CHOLECYSTECTOMY
18-29,3,3,1,2019-02-08,NH,CYSTOSCOPY
18-29,1,1,1,2019-02-08,NH,HYSTEROSCOPY
18-29,1,1,0,2019-02-08,NH,MASTECTOMY
30-39,2,2,1,2019-02-08,NH,CHOLECYSTECTOMY
30-39,1,1,1,2019-02-08,NH,CYSTOSCOPY
30-39,1,2,1,2019-02-08,NH,HYSTEROSCOPY
30-39,1,1,1,2019-02-08,NH,KNEE REPLACEMENT
40-49,3,4,3,2019-02-08,NH,CATARACT
40-49,2,4,3,2019-02-08,NH,CHOLECYSTECTOMY
40-49,4,4,1,2019-02-08,NH,CYSTOSCOPY
40-49,1,1,1,2019-02-08,NH,HIP REPLACEMENT
40-49,5,7,2,2019-02-08,NH,HYSTEROSCOPY
40-49,2,3,1,2019-02-08,NH,KNEE REPLACEMENT
40-49,2,4,2,2019-02-08,NH,MASTECTOMY
50-64,25,43,6,2019-02-08,NH,CATARACT
50-64,5,6,5,2019-02-08,NH,CHOLECYSTECTOMY
50-64,8,8,4,2019-02-08,NH,CYSTOSCOPY
50-64,6,11,4,2019-02-08,NH,HIP REPLACEMENT
50-64,4,8,1,2019-02-08,NH,HYSTEROSCOPY
50-64,6,17,3,2019-02-08,NH,KNEE REPLACEMENT
50-64,5,6,2,2019-02-08,NH,MASTECTOMY
65+,173,242,10,2019-02-08,NH,CATARACT
65+,6,8,1,2019-02-08,NH,CHOLECYSTECTOMY
65+,27,32,2,2019-02-08,NH,CYSTOSCOPY
65+,4,7,3,2019-02-08,NH,HIP REPLACEMENT
65+,2,3,2,2019-02-08,NH,HYSTEROSCOPY
65+,14,24,2,2019-02-08,NH,KNEE REPLACEMENT
65+,5,5,1,2019-02-08,NH,MASTECTOMY
65+,1,2,2,2019-02-08,NH,PROSTATECTOMY
18-29,2,3,0,2019-02-15,NH,CATARACT
18-29,2,2,2,2019-02-15,NH,CHOLECYSTECTOMY
18-29,2,2,1,2019-02-15,NH,HYSTEROSCOPY
30-39,4,5,1,2019-02-15,NH,CHOLECYSTECTOMY
30-39,1,2,1,2019-02-15,NH,CYSTOSCOPY
30-39,1,2,2,2019-02-15,NH,HIP REPLACEMENT
30-39,5,7,4,2019-02-15,NH,HYSTEROSCOPY
40-49,2,4,1,2019-02-15,NH,CATARACT
40-49,4,5,4,2019-02-15,NH,CHOLECYSTECTOMY
