age,patients,claims,physicians,week,state,elective
18-29,4,4,1,2019-01-04,NJ,CATARACT
18-29,11,12,2,2019-01-04,NJ,CHOLECYSTECTOMY
18-29,2,3,2,2019-01-04,NJ,CYSTOSCOPY
18-29,2,2,2,2019-01-04,NJ,HYSTEROSCOPY
18-29,1,1,1,2019-01-04,NJ,MASTECTOMY
30-39,13,14,3,2019-01-04,NJ,CHOLECYSTECTOMY
30-39,3,3,1,2019-01-04,NJ,CYSTOSCOPY
30-39,1,2,2,2019-01-04,NJ,HIP REPLACEMENT
30-39,12,15,4,2019-01-04,NJ,HYSTEROSCOPY
30-39,3,4,1,2019-01-04,NJ,MASTECTOMY
40-49,7,8,5,2019-01-04,NJ,CATARACT
40-49,11,17,4,2019-01-04,NJ,CHOLECYSTECTOMY
40-49,3,4,3,2019-01-04,NJ,CYSTOSCOPY
40-49,3,4,2,2019-01-04,NJ,HIP REPLACEMENT
40-49,15,16,4,2019-01-04,NJ,HYSTEROSCOPY
40-49,1,4,2,2019-01-04,NJ,KNEE REPLACEMENT
40-49,5,6,2,2019-01-04,NJ,MASTECTOMY
50-64,46,60,12,2019-01-04,NJ,CATARACT
50-64,33,52,7,2019-01-04,NJ,CHOLECYSTECTOMY
50-64,23,26,6,2019-01-04,NJ,CYSTOSCOPY
50-64,13,24,8,2019-01-04,NJ,HIP REPLACEMENT
50-64,17,22,7,2019-01-04,NJ,HYSTEROSCOPY
50-64,22,37,4,2019-01-04,NJ,KNEE REPLACEMENT
50-64,17,26,4,2019-01-04,NJ,MASTECTOMY
50-64,2,3,2,2019-01-04,NJ,PROSTATECTOMY
65+,191,252,11,2019-01-04,NJ,CATARACT
65+,17,25,2,2019-01-04,NJ,CHOLECYSTECTOMY
65+,65,67,4,2019-01-04,NJ,CYSTOSCOPY
65+,21,34,5,2019-01-04,NJ,HIP REPLACEMENT
65+,5,6,2,2019-01-04,NJ,HYSTEROSCOPY
65+,38,63,6,2019-01-04,NJ,KNEE REPLACEMENT
65+,13,17,7,2019-01-04,NJ,MASTECTOMY
65+,2,2,1,2019-01-04,NJ,PROSTATECTOMY
18-29,1,1,1,2019-01-11,NJ,CATARACT
18-29,16,27,6,2019-01-11,NJ,CHOLECYSTECTOMY
18-29,6,8,2,2019-01-11,NJ,CYSTOSCOPY
18-29,8,9,2,2019-01-11,NJ,HYSTEROSCOPY
18-29,3,4,2,2019-01-11,NJ,MASTECTOMY
30-39,1,1,1,2019-01-11,NJ,CATARACT
30-39,27,40,7,2019-01-11,NJ,CHOLECYSTECTOMY
30-39,9,9,1,2019-01-11,NJ,CYSTOSCOPY
30-39,1,1,1,2019-01-11,NJ,HIP REPLACEMENT
30-39,33,41,4,2019-01-11,NJ,HYSTEROSCOPY
30-39,2,3,2,2019-01-11,NJ,MASTECTOMY
40-49,5,7,2,2019-01-11,NJ,CATARACT
40-49,45,64,10,2019-01-11,NJ,CHOLECYSTECTOMY
40-49,27,29,5,2019-01-11,NJ,CYSTOSCOPY
40-49,9,13,5,2019-01-11,NJ,HIP REPLACEMENT
40-49,39,41,6,2019-01-11,NJ,HYSTEROSCOPY
40-49,6,12,3,2019-01-11,NJ,KNEE REPLACEMENT
40-49,12,15,9,2019-01-11,NJ,MASTECTOMY
50-64,147,188,21,2019-01-11,NJ,CATARACT
50-64,47,66,10,2019-01-11,NJ,CHOLECYSTECTOMY
50-64,123,134,9,2019-01-11,NJ,CYSTOSCOPY
50-64,49,101,12,2019-01-11,NJ,HIP REPLACEMENT
50-64,44,52,7,2019-01-11,NJ,HYSTEROSCOPY
50-64,91,177,14,2019-01-11,NJ,KNEE REPLACEMENT
50-64,31,46,10,2019-01-11,NJ,MASTECTOMY
50-64,6,10,3,2019-01-11,NJ,PROSTATECTOMY
65+,1,1,1,2019-01-11,NJ,CABG
65+,589,715,27,2019-01-11,NJ,CATARACT
65+,52,62,5,2019-01-11,NJ,CHOLECYSTECTOMY
65+,1,1,1,2019-01-11,NJ,COSMETIC RECONSTRUCTION
65+,180,189,6,2019-01-11,NJ,CYSTOSCOPY
65+,72,124,10,2019-01-11,NJ,HIP REPLACEMENT
65+,15,16,1,2019-01-11,NJ,HYSTEROSCOPY
65+,154,258,19,2019-01-11,NJ,KNEE REPLACEMENT
65+,35,39,5,2019-01-11,NJ,MASTECTOMY
65+,9,12,3,2019-01-11,NJ,PROSTATECTOMY
18-29,2,2,2,2019-01-18,NJ,CATARACT
18-29,31,41,9,2019-01-18,NJ,CHOLECYSTECTOMY
18-29,10,11,2,2019-01-18,NJ,CYSTOSCOPY
18-29,13,17,3,2019-01-18,NJ,HYSTEROSCOPY
18-29,2,3,2,2019-01-18,NJ,MASTECTOMY
30-39,2,2,1,2019-01-18,NJ,CATARACT
30-39,25,39,9,2019-01-18,NJ,CHOLECYSTECTOMY
30-39,21,21,5,2019-01-18,NJ,CYSTOSCOPY
30-39,1,1,1,2019-01-18,NJ,HIP REPLACEMENT
30-39,20,23,4,2019-01-18,NJ,HYSTEROSCOPY
30-39,1,1,1,2019-01-18,NJ,KNEE REPLACEMENT
30-39,4,8,5,2019-01-18,NJ,MASTECTOMY
40-49,10,14,3,2019-01-18,NJ,CATARACT
40-49,37,49,6,2019-01-18,NJ,CHOLECYSTECTOMY
40-49,43,47,6,2019-01-18,NJ,CYSTOSCOPY
40-49,8,16,4,2019-01-18,NJ,HIP REPLACEMENT
40-49,46,55,7,2019-01-18,NJ,HYSTEROSCOPY
40-49,8,16,4,2019-01-18,NJ,KNEE REPLACEMENT
40-49,13,18,3,2019-01-18,NJ,MASTECTOMY
40-49,1,2,2,2019-01-18,NJ,PROSTATECTOMY
50-64,141,182,24,2019-01-18,NJ,CATARACT
50-64,48,77,12,2019-01-18,NJ,CHOLECYSTECTOMY
50-64,101,109,11,2019-01-18,NJ,CYSTOSCOPY
50-64,66,131,15,2019-01-18,NJ,HIP REPLACEMENT
50-64,52,61,10,2019-01-18,NJ,HYSTEROSCOPY
50-64,79,161,15,2019-01-18,NJ,KNEE REPLACEMENT
50-64,27,37,5,2019-01-18,NJ,MASTECTOMY
50-64,5,7,1,2019-01-18,NJ,PROSTATECTOMY
65+,1,2,2,2019-01-18,NJ,CABG
65+,609,767,22,2019-01-18,NJ,CATARACT
65+,50,58,4,2019-01-18,NJ,CHOLECYSTECTOMY
65+,197,214,10,2019-01-18,NJ,CYSTOSCOPY
65+,83,147,11,2019-01-18,NJ,HIP REPLACEMENT
65+,18,24,3,2019-01-18,NJ,HYSTEROSCOPY
65+,146,257,15,2019-01-18,NJ,KNEE REPLACEMENT
65+,48,58,4,2019-01-18,NJ,MASTECTOMY
65+,8,10,1,2019-01-18,NJ,PROSTATECTOMY
18-29,23,36,6,2019-01-25,NJ,CHOLECYSTECTOMY
18-29,6,8,3,2019-01-25,NJ,CYSTOSCOPY
18-29,8,11,1,2019-01-25,NJ,HYSTEROSCOPY
18-29,1,1,1,2019-01-25,NJ,MASTECTOMY
30-39,1,2,1,2019-01-25,NJ,CATARACT
30-39,31,46,7,2019-01-25,NJ,CHOLECYSTECTOMY
30-39,16,16,3,2019-01-25,NJ,CYSTOSCOPY
30-39,1,2,2,2019-01-25,NJ,HIP REPLACEMENT
30-39,28,34,6,2019-01-25,NJ,HYSTEROSCOPY
30-39,4,4,2,2019-01-25,NJ,MASTECTOMY
40-49,10,10,9,2019-01-25,NJ,CATARACT
40-49,32,55,7,2019-01-25,NJ,CHOLECYSTECTOMY
40-49,31,35,6,2019-01-25,NJ,CYSTOSCOPY
40-49,5,12,3,2019-01-25,NJ,HIP REPLACEMENT
40-49,48,53,8,2019-01-25,NJ,HYSTEROSCOPY
40-49,8,12,5,2019-01-25,NJ,KNEE REPLACEMENT
40-49,19,24,8,2019-01-25,NJ,MASTECTOMY
40-49,1,2,2,2019-01-25,NJ,PROSTATECTOMY
50-64,146,177,18,2019-01-25,NJ,CATARACT
50-64,64,92,12,2019-01-25,NJ,CHOLECYSTECTOMY
50-64,80,92,10,2019-01-25,NJ,CYSTOSCOPY
50-64,61,137,17,2019-01-25,NJ,HIP REPLACEMENT
50-64,49,57,8,2019-01-25,NJ,HYSTEROSCOPY
50-64,70,143,15,2019-01-25,NJ,KNEE REPLACEMENT
50-64,37,47,4,2019-01-25,NJ,MASTECTOMY
50-64,2,3,1,2019-01-25,NJ,PROSTATECTOMY
65+,1,2,1,2019-01-25,NJ,CABG
65+,603,745,24,2019-01-25,NJ,CATARACT
65+,32,45,4,2019-01-25,NJ,CHOLECYSTECTOMY
65+,174,186,7,2019-01-25,NJ,CYSTOSCOPY
65+,94,143,14,2019-01-25,NJ,HIP REPLACEMENT
65+,25,25,2,2019-01-25,NJ,HYSTEROSCOPY
65+,153,263,22,2019-01-25,NJ,KNEE REPLACEMENT
65+,40,48,4,2019-01-25,NJ,MASTECTOMY
65+,5,6,2,2019-01-25,NJ,PROSTATECTOMY
18-29,15,21,4,2019-02-01,NJ,CHOLECYSTECTOMY
18-29,8,8,2,2019-02-01,NJ,CYSTOSCOPY
18-29,5,8,2,2019-02-01,NJ,HYSTEROSCOPY
18-29,2,3,2,2019-02-01,NJ,MASTECTOMY
30-39,3,3,3,2019-02-01,NJ,CATARACT
30-39,34,48,10,2019-02-01,NJ,CHOLECYSTECTOMY
30-39,15,18,3,2019-02-01,NJ,CYSTOSCOPY
30-39,44,54,7,2019-02-01,NJ,HYSTEROSCOPY
30-39,7,7,1,2019-02-01,NJ,MASTECTOMY
40-49,8,11,8,2019-02-01,NJ,CATARACT
40-49,30,43,8,2019-02-01,NJ,CHOLECYSTECTOMY
40-49,22,26,5,2019-02-01,NJ,CYSTOSCOPY
40-49,4,7,5,2019-02-01,NJ,HIP REPLACEMENT
40-49,50,60,6,2019-02-01,NJ,HYSTEROSCOPY
40-49,1,5,2,2019-02-01,NJ,KNEE REPLACEMENT
40-49,25,35,9,2019-02-01,NJ,MASTECTOMY
40-49,1,1,1,2019-02-01,NJ,PROSTATECTOMY
50-64,129,159,27,2019-02-01,NJ,CATARACT
50-64,60,87,8,2019-02-01,NJ,CHOLECYSTECTOMY
50-64,105,115,9,2019-02-01,NJ,CYSTOSCOPY
50-64,63,124,14,2019-02-01,NJ,HIP REPLACEMENT
50-64,55,68,7,2019-02-01,NJ,HYSTEROSCOPY
50-64,69,135,20,2019-02-01,NJ,KNEE REPLACEMENT
50-64,40,55,6,2019-02-01,NJ,MASTECTOMY
50-64,3,6,2,2019-02-01,NJ,PROSTATECTOMY
65+,575,745,26,2019-02-01,NJ,CATARACT
65+,36,45,3,2019-02-01,NJ,CHOLECYSTECTOMY
65+,192,203,9,2019-02-01,NJ,CYSTOSCOPY
65+,63,111,12,2019-02-01,NJ,HIP REPLACEMENT
65+,28,29,3,2019-02-01,NJ,HYSTEROSCOPY
65+,146,248,16,2019-02-01,NJ,KNEE REPLACEMENT
65+,34,42,3,2019-02-01,NJ,MASTECTOMY
65+,2,2,1,2019-02-01,NJ,PROSTATECTOMY
18-29,14,17,5,2019-02-08,NJ,CHOLECYSTECTOMY
18-29,7,7,3,2019-02-08,NJ,CYSTOSCOPY
18-29,7,9,1,2019-02-08,NJ,HYSTEROSCOPY
18-29,1,1,1,2019-02-08,NJ,MASTECTOMY
30-39,29,41,4,2019-02-08,NJ,CHOLECYSTECTOMY
30-39,10,10,3,2019-02-08,NJ,CYSTOSCOPY
30-39,2,6,3,2019-02-08,NJ,HIP REPLACEMENT
30-39,29,42,6,2019-02-08,NJ,HYSTEROSCOPY
30-39,3,3,1,2019-02-08,NJ,MASTECTOMY
40-49,8,9,7,2019-02-08,NJ,CATARACT
40-49,27,45,11,2019-02-08,NJ,CHOLECYSTECTOMY
40-49,40,46,7,2019-02-08,NJ,CYSTOSCOPY
40-49,1,1,1,2019-02-08,NJ,HIP REPLACEMENT
40-49,53,62,6,2019-02-08,NJ,HYSTEROSCOPY
40-49,2,4,1,2019-02-08,NJ,KNEE REPLACEMENT
40-49,16,17,3,2019-02-08,NJ,MASTECTOMY
50-64,155,194,25,2019-02-08,NJ,CATARACT
50-64,53,73,9,2019-02-08,NJ,CHOLECYSTECTOMY
50-64,103,117,8,2019-02-08,NJ,CYSTOSCOPY
50-64,44,79,11,2019-02-08,NJ,HIP REPLACEMENT
50-64,44,51,7,2019-02-08,NJ,HYSTEROSCOPY
50-64,68,131,10,2019-02-08,NJ,KNEE REPLACEMENT
50-64,40,50,6,2019-02-08,NJ,MASTECTOMY
50-64,6,8,4,2019-02-08,NJ,PROSTATECTOMY
65+,2,3,3,2019-02-08,NJ,CABG
65+,561,692,25,2019-02-08,NJ,CATARACT
65+,46,60,4,2019-02-08,NJ,CHOLECYSTECTOMY
65+,174,182,8,2019-02-08,NJ,CYSTOSCOPY
65+,93,167,14,2019-02-08,NJ,HIP REPLACEMENT
65+,17,17,5,2019-02-08,NJ,HYSTEROSCOPY
65+,124,195,14,2019-02-08,NJ,KNEE REPLACEMENT
65+,38,40,5,2019-02-08,NJ,MASTECTOMY
65+,8,11,3,2019-02-08,NJ,PROSTATECTOMY
18-29,1,3,1,2019-02-15,NJ,CATARACT
18-29,21,32,6,2019-02-15,NJ,CHOLECYSTECTOMY
18-29,5,5,5,2019-02-15,NJ,CYSTOSCOPY
18-29,6,6,2,2019-02-15,NJ,HYSTEROSCOPY
18-29,2,3,2,2019-02-15,NJ,MASTECTOMY
