age,patients,claims,physicians,week,state,elective
18-29,3,6,1,2019-01-04,NM,CHOLECYSTECTOMY
30-39,1,1,1,2019-01-04,NM,CHOLECYSTECTOMY
30-39,1,1,1,2019-01-04,NM,CYSTOSCOPY
40-49,1,1,1,2019-01-04,NM,CATARACT
40-49,1,1,1,2019-01-04,NM,CHOLECYSTECTOMY
40-49,2,2,1,2019-01-04,NM,MASTECTOMY
50-64,5,7,1,2019-01-04,NM,CATARACT
50-64,2,2,2,2019-01-04,NM,CHOLECYSTECTOMY
50-64,7,7,3,2019-01-04,NM,CYSTOSCOPY
50-64,2,4,3,2019-01-04,NM,KNEE REPLACEMENT
50-64,4,7,2,2019-01-04,NM,MASTECTOMY
65+,26,30,1,2019-01-04,NM,CATARACT
65+,1,1,1,2019-01-04,NM,CHOLECYSTECTOMY
65+,19,21,2,2019-01-04,NM,CYSTOSCOPY
65+,3,5,2,2019-01-04,NM,KNEE REPLACEMENT
65+,2,2,0,2019-01-04,NM,MASTECTOMY
18-29,2,2,1,2019-01-11,NM,CHOLECYSTECTOMY
18-29,1,1,1,2019-01-11,NM,HYSTEROSCOPY
18-29,1,1,1,2019-01-11,NM,MASTECTOMY
30-39,1,1,0,2019-01-11,NM,CATARACT
30-39,4,6,2,2019-01-11,NM,CHOLECYSTECTOMY
30-39,2,2,1,2019-01-11,NM,CYSTOSCOPY
30-39,4,4,3,2019-01-11,NM,HYSTEROSCOPY
40-49,5,5,1,2019-01-11,NM,CATARACT
40-49,3,6,2,2019-01-11,NM,CHOLECYSTECTOMY
40-49,1,1,1,2019-01-11,NM,CYSTOSCOPY
40-49,2,3,1,2019-01-11,NM,KNEE REPLACEMENT
40-49,2,2,1,2019-01-11,NM,MASTECTOMY
50-64,28,35,3,2019-01-11,NM,CATARACT
50-64,5,9,2,2019-01-11,NM,CHOLECYSTECTOMY
50-64,13,13,3,2019-01-11,NM,CYSTOSCOPY
50-64,4,5,1,2019-01-11,NM,HIP REPLACEMENT
50-64,2,2,2,2019-01-11,NM,HYSTEROSCOPY
50-64,12,20,6,2019-01-11,NM,KNEE REPLACEMENT
50-64,4,5,2,2019-01-11,NM,MASTECTOMY
65+,134,150,5,2019-01-11,NM,CATARACT
65+,5,8,1,2019-01-11,NM,CHOLECYSTECTOMY
65+,34,36,2,2019-01-11,NM,CYSTOSCOPY
65+,8,12,5,2019-01-11,NM,HIP REPLACEMENT
65+,2,2,1,2019-01-11,NM,HYSTEROSCOPY
65+,10,17,2,2019-01-11,NM,KNEE REPLACEMENT
65+,9,10,2,2019-01-11,NM,MASTECTOMY
18-29,3,5,2,2019-01-18,NM,CHOLECYSTECTOMY
18-29,2,2,0,2019-01-18,NM,HYSTEROSCOPY
30-39,6,6,2,2019-01-18,NM,CHOLECYSTECTOMY
30-39,3,4,1,2019-01-18,NM,HYSTEROSCOPY
30-39,1,1,1,2019-01-18,NM,MASTECTOMY
40-49,2,2,2,2019-01-18,NM,CHOLECYSTECTOMY
