age,patients,claims,physicians,week,state,elective
18-29,2,2,1,2019-01-04,NV,CYSTOSCOPY
30-39,2,2,0,2019-01-04,NV,CATARACT
30-39,1,1,1,2019-01-04,NV,CYSTOSCOPY
40-49,4,5,1,2019-01-04,NV,CATARACT
40-49,7,8,2,2019-01-04,NV,CYSTOSCOPY
40-49,1,2,2,2019-01-04,NV,HIP REPLACEMENT
40-49,1,1,1,2019-01-04,NV,MASTECTOMY
50-64,21,29,7,2019-01-04,NV,CATARACT
50-64,14,15,1,2019-01-04,NV,CYSTOSCOPY
50-64,3,5,2,2019-01-04,NV,HIP REPLACEMENT
50-64,4,6,2,2019-01-04,NV,KNEE REPLACEMENT
50-64,3,4,2,2019-01-04,NV,MASTECTOMY
50-64,3,4,2,2019-01-04,NV,PROSTATECTOMY
65+,39,59,2,2019-01-04,NV,CATARACT
65+,29,30,3,2019-01-04,NV,CYSTOSCOPY
65+,2,3,2,2019-01-04,NV,HIP REPLACEMENT
65+,3,4,1,2019-01-04,NV,KNEE REPLACEMENT
65+,6,7,1,2019-01-04,NV,MASTECTOMY
65+,1,2,2,2019-01-04,NV,PROSTATECTOMY
18-29,1,1,1,2019-01-11,NV,CATARACT
18-29,12,14,3,2019-01-11,NV,CHOLECYSTECTOMY
18-29,2,2,1,2019-01-11,NV,CYSTOSCOPY
18-29,3,3,2,2019-01-11,NV,HYSTEROSCOPY
30-39,1,2,1,2019-01-11,NV,CATARACT
30-39,15,18,3,2019-01-11,NV,CHOLECYSTECTOMY
30-39,5,5,5,2019-01-11,NV,CYSTOSCOPY
30-39,8,8,2,2019-01-11,NV,HYSTEROSCOPY
30-39,2,2,2,2019-01-11,NV,MASTECTOMY
40-49,7,9,1,2019-01-11,NV,CATARACT
40-49,7,9,2,2019-01-11,NV,CHOLECYSTECTOMY
40-49,13,14,6,2019-01-11,NV,CYSTOSCOPY
40-49,1,2,2,2019-01-11,NV,HIP REPLACEMENT
40-49,14,15,2,2019-01-11,NV,HYSTEROSCOPY
40-49,6,7,2,2019-01-11,NV,MASTECTOMY
50-64,38,53,6,2019-01-11,NV,CATARACT
50-64,21,27,2,2019-01-11,NV,CHOLECYSTECTOMY
50-64,36,40,3,2019-01-11,NV,CYSTOSCOPY
50-64,11,19,3,2019-01-11,NV,HIP REPLACEMENT
50-64,1,2,1,2019-01-11,NV,HYSTEROSCOPY
50-64,13,23,4,2019-01-11,NV,KNEE REPLACEMENT
50-64,13,15,3,2019-01-11,NV,MASTECTOMY
65+,122,181,5,2019-01-11,NV,CATARACT
65+,10,14,1,2019-01-11,NV,CHOLECYSTECTOMY
65+,105,108,5,2019-01-11,NV,CYSTOSCOPY
