age,patients,claims,physicians,week,state,elective
18-29,3,4,3,2019-01-04,NY,CATARACT
18-29,23,29,4,2019-01-04,NY,CHOLECYSTECTOMY
18-29,1,2,1,2019-01-04,NY,COSMETIC RECONSTRUCTION
18-29,11,11,9,2019-01-04,NY,CYSTOSCOPY
18-29,4,5,1,2019-01-04,NY,HIP REPLACEMENT
18-29,8,10,2,2019-01-04,NY,HYSTEROSCOPY
18-29,4,4,2,2019-01-04,NY,MASTECTOMY
30-39,2,3,2,2019-01-04,NY,CATARACT
30-39,35,43,7,2019-01-04,NY,CHOLECYSTECTOMY
30-39,22,26,6,2019-01-04,NY,CYSTOSCOPY
30-39,2,3,0,2019-01-04,NY,HIP REPLACEMENT
30-39,31,38,4,2019-01-04,NY,HYSTEROSCOPY
30-39,1,3,2,2019-01-04,NY,KNEE REPLACEMENT
30-39,3,4,2,2019-01-04,NY,MASTECTOMY
40-49,7,8,2,2019-01-04,NY,CATARACT
40-49,37,48,5,2019-01-04,NY,CHOLECYSTECTOMY
40-49,1,1,1,2019-01-04,NY,COSMETIC RECONSTRUCTION
40-49,38,41,8,2019-01-04,NY,CYSTOSCOPY
40-49,2,3,1,2019-01-04,NY,HIP REPLACEMENT
40-49,52,55,5,2019-01-04,NY,HYSTEROSCOPY
40-49,3,5,3,2019-01-04,NY,KNEE REPLACEMENT
40-49,9,13,3,2019-01-04,NY,MASTECTOMY
50-64,136,166,14,2019-01-04,NY,CATARACT
50-64,50,63,9,2019-01-04,NY,CHOLECYSTECTOMY
50-64,1,2,1,2019-01-04,NY,COSMETIC RECONSTRUCTION
50-64,135,142,11,2019-01-04,NY,CYSTOSCOPY
50-64,29,37,5,2019-01-04,NY,HIP REPLACEMENT
50-64,50,59,6,2019-01-04,NY,HYSTEROSCOPY
50-64,40,63,9,2019-01-04,NY,KNEE REPLACEMENT
50-64,25,38,9,2019-01-04,NY,MASTECTOMY
50-64,6,6,4,2019-01-04,NY,PROSTATECTOMY
65+,1,2,1,2019-01-04,NY,CABG
65+,645,780,24,2019-01-04,NY,CATARACT
65+,33,44,4,2019-01-04,NY,CHOLECYSTECTOMY
65+,1,1,1,2019-01-04,NY,COSMETIC RECONSTRUCTION
65+,232,248,10,2019-01-04,NY,CYSTOSCOPY
65+,27,38,7,2019-01-04,NY,HIP REPLACEMENT
65+,14,16,2,2019-01-04,NY,HYSTEROSCOPY
65+,76,116,7,2019-01-04,NY,KNEE REPLACEMENT
65+,33,52,4,2019-01-04,NY,MASTECTOMY
65+,10,13,2,2019-01-04,NY,PROSTATECTOMY
18-29,8,9,3,2019-01-11,NY,CATARACT
18-29,53,71,7,2019-01-11,NY,CHOLECYSTECTOMY
18-29,2,2,1,2019-01-11,NY,COSMETIC RECONSTRUCTION
18-29,35,39,3,2019-01-11,NY,CYSTOSCOPY
18-29,32,39,4,2019-01-11,NY,HYSTEROSCOPY
18-29,9,13,5,2019-01-11,NY,MASTECTOMY
30-39,11,15,3,2019-01-11,NY,CATARACT
30-39,92,122,14,2019-01-11,NY,CHOLECYSTECTOMY
30-39,65,67,6,2019-01-11,NY,CYSTOSCOPY
30-39,2,3,3,2019-01-11,NY,HIP REPLACEMENT
30-39,103,120,9,2019-01-11,NY,HYSTEROSCOPY
30-39,1,2,2,2019-01-11,NY,KNEE REPLACEMENT
30-39,15,20,5,2019-01-11,NY,MASTECTOMY
40-49,29,35,4,2019-01-11,NY,CATARACT
40-49,88,124,11,2019-01-11,NY,CHOLECYSTECTOMY
40-49,1,1,1,2019-01-11,NY,COSMETIC RECONSTRUCTION
40-49,113,118,9,2019-01-11,NY,CYSTOSCOPY
40-49,11,15,3,2019-01-11,NY,HIP REPLACEMENT
40-49,141,163,12,2019-01-11,NY,HYSTEROSCOPY
40-49,10,18,3,2019-01-11,NY,KNEE REPLACEMENT
40-49,43,59,7,2019-01-11,NY,MASTECTOMY
40-49,1,1,1,2019-01-11,NY,PROSTATECTOMY
50-64,2,3,2,2019-01-11,NY,CABG
50-64,500,659,40,2019-01-11,NY,CATARACT
50-64,103,137,15,2019-01-11,NY,CHOLECYSTECTOMY
50-64,1,2,1,2019-01-11,NY,COSMETIC RECONSTRUCTION
50-64,436,473,23,2019-01-11,NY,CYSTOSCOPY
50-64,94,138,15,2019-01-11,NY,HIP REPLACEMENT
