age,patients,claims,physicians,week,state,elective
18-29,1,2,1,2019-01-04,OH,CATARACT
18-29,32,46,6,2019-01-04,OH,CHOLECYSTECTOMY
18-29,4,4,2,2019-01-04,OH,CYSTOSCOPY
18-29,1,2,2,2019-01-04,OH,HIP REPLACEMENT
18-29,5,11,2,2019-01-04,OH,HYSTEROSCOPY
18-29,1,3,1,2019-01-04,OH,MASTECTOMY
30-39,6,7,2,2019-01-04,OH,CATARACT
30-39,35,52,5,2019-01-04,OH,CHOLECYSTECTOMY
30-39,10,12,3,2019-01-04,OH,CYSTOSCOPY
30-39,1,2,2,2019-01-04,OH,HIP REPLACEMENT
30-39,13,18,5,2019-01-04,OH,HYSTEROSCOPY
30-39,2,2,1,2019-01-04,OH,KNEE REPLACEMENT
30-39,1,1,1,2019-01-04,OH,MASTECTOMY
40-49,8,10,8,2019-01-04,OH,CATARACT
40-49,19,29,3,2019-01-04,OH,CHOLECYSTECTOMY
40-49,26,33,6,2019-01-04,OH,CYSTOSCOPY
40-49,4,4,2,2019-01-04,OH,HIP REPLACEMENT
40-49,20,33,4,2019-01-04,OH,HYSTEROSCOPY
40-49,5,9,1,2019-01-04,OH,KNEE REPLACEMENT
40-49,7,10,2,2019-01-04,OH,MASTECTOMY
50-64,102,150,17,2019-01-04,OH,CATARACT
50-64,38,59,6,2019-01-04,OH,CHOLECYSTECTOMY
50-64,81,102,9,2019-01-04,OH,CYSTOSCOPY
50-64,36,53,8,2019-01-04,OH,HIP REPLACEMENT
50-64,22,31,3,2019-01-04,OH,HYSTEROSCOPY
50-64,47,65,9,2019-01-04,OH,KNEE REPLACEMENT
50-64,23,38,4,2019-01-04,OH,MASTECTOMY
50-64,4,8,2,2019-01-04,OH,PROSTATECTOMY
65+,3,4,1,2019-01-04,OH,CABG
65+,399,555,21,2019-01-04,OH,CATARACT
65+,40,55,3,2019-01-04,OH,CHOLECYSTECTOMY
65+,187,238,10,2019-01-04,OH,CYSTOSCOPY
65+,43,61,5,2019-01-04,OH,HIP REPLACEMENT
65+,14,18,2,2019-01-04,OH,HYSTEROSCOPY
65+,89,126,8,2019-01-04,OH,KNEE REPLACEMENT
65+,28,39,3,2019-01-04,OH,MASTECTOMY
65+,11,16,2,2019-01-04,OH,PROSTATECTOMY
18-29,1,2,1,2019-01-11,OH,CATARACT
18-29,67,103,14,2019-01-11,OH,CHOLECYSTECTOMY
18-29,25,37,6,2019-01-11,OH,CYSTOSCOPY
18-29,18,26,4,2019-01-11,OH,HYSTEROSCOPY
18-29,6,9,3,2019-01-11,OH,MASTECTOMY
30-39,10,15,3,2019-01-11,OH,CATARACT
30-39,67,104,17,2019-01-11,OH,CHOLECYSTECTOMY
30-39,40,49,7,2019-01-11,OH,CYSTOSCOPY
30-39,6,10,4,2019-01-11,OH,HIP REPLACEMENT
30-39,72,105,8,2019-01-11,OH,HYSTEROSCOPY
