age,patients,claims,physicians,week,state,elective
18-29,7,9,3,2019-01-04,OK,CHOLECYSTECTOMY
18-29,1,2,2,2019-01-04,OK,HIP REPLACEMENT
30-39,1,1,1,2019-01-04,OK,CATARACT
30-39,3,3,1,2019-01-04,OK,CYSTOSCOPY
30-39,1,2,1,2019-01-04,OK,MASTECTOMY
40-49,7,11,2,2019-01-04,OK,CHOLECYSTECTOMY
40-49,1,1,1,2019-01-04,OK,CYSTOSCOPY
40-49,2,4,4,2019-01-04,OK,KNEE REPLACEMENT
40-49,3,5,3,2019-01-04,OK,MASTECTOMY
50-64,28,38,4,2019-01-04,OK,CATARACT
50-64,8,13,4,2019-01-04,OK,CHOLECYSTECTOMY
50-64,11,14,3,2019-01-04,OK,CYSTOSCOPY
50-64,4,7,6,2019-01-04,OK,HIP REPLACEMENT
50-64,10,21,6,2019-01-04,OK,KNEE REPLACEMENT
50-64,10,15,2,2019-01-04,OK,MASTECTOMY
65+,110,132,7,2019-01-04,OK,CATARACT
65+,14,17,2,2019-01-04,OK,CHOLECYSTECTOMY
65+,25,27,4,2019-01-04,OK,CYSTOSCOPY
65+,12,21,6,2019-01-04,OK,HIP REPLACEMENT
65+,14,22,5,2019-01-04,OK,KNEE REPLACEMENT
65+,4,5,1,2019-01-04,OK,MASTECTOMY
65+,3,4,1,2019-01-04,OK,PROSTATECTOMY
18-29,13,19,4,2019-01-11,OK,CHOLECYSTECTOMY
18-29,3,3,1,2019-01-11,OK,CYSTOSCOPY
18-29,3,6,3,2019-01-11,OK,HYSTEROSCOPY
18-29,3,3,1,2019-01-11,OK,MASTECTOMY
30-39,17,26,3,2019-01-11,OK,CHOLECYSTECTOMY
30-39,3,3,1,2019-01-11,OK,CYSTOSCOPY
30-39,1,2,2,2019-01-11,OK,HIP REPLACEMENT
30-39,7,8,6,2019-01-11,OK,HYSTEROSCOPY
30-39,4,4,1,2019-01-11,OK,MASTECTOMY
40-49,8,9,1,2019-01-11,OK,CATARACT
40-49,9,12,4,2019-01-11,OK,CHOLECYSTECTOMY
40-49,4,4,2,2019-01-11,OK,CYSTOSCOPY
40-49,1,2,2,2019-01-11,OK,HIP REPLACEMENT
40-49,1,1,1,2019-01-11,OK,HYSTEROSCOPY
40-49,2,3,3,2019-01-11,OK,KNEE REPLACEMENT
40-49,3,5,3,2019-01-11,OK,MASTECTOMY
50-64,83,102,8,2019-01-11,OK,CATARACT
50-64,20,27,4,2019-01-11,OK,CHOLECYSTECTOMY
50-64,25,26,3,2019-01-11,OK,CYSTOSCOPY
50-64,13,19,9,2019-01-11,OK,HIP REPLACEMENT
50-64,7,8,2,2019-01-11,OK,HYSTEROSCOPY
50-64,24,42,9,2019-01-11,OK,KNEE REPLACEMENT
50-64,10,15,2,2019-01-11,OK,MASTECTOMY
50-64,2,2,2,2019-01-11,OK,PROSTATECTOMY
65+,408,526,11,2019-01-11,OK,CATARACT
65+,21,31,3,2019-01-11,OK,CHOLECYSTECTOMY
65+,60,66,5,2019-01-11,OK,CYSTOSCOPY
65+,24,47,9,2019-01-11,OK,HIP REPLACEMENT
65+,7,10,2,2019-01-11,OK,HYSTEROSCOPY
65+,81,136,11,2019-01-11,OK,KNEE REPLACEMENT
65+,19,24,3,2019-01-11,OK,MASTECTOMY
65+,7,7,1,2019-01-11,OK,PROSTATECTOMY
18-29,10,14,2,2019-01-18,OK,CHOLECYSTECTOMY
18-29,2,2,2,2019-01-18,OK,CYSTOSCOPY
18-29,2,3,1,2019-01-18,OK,HIP REPLACEMENT
18-29,4,6,2,2019-01-18,OK,HYSTEROSCOPY
30-39,14,18,4,2019-01-18,OK,CHOLECYSTECTOMY
30-39,5,5,1,2019-01-18,OK,CYSTOSCOPY
30-39,11,13,2,2019-01-18,OK,HYSTEROSCOPY
30-39,1,1,1,2019-01-18,OK,MASTECTOMY
40-49,7,9,1,2019-01-18,OK,CATARACT
40-49,24,37,6,2019-01-18,OK,CHOLECYSTECTOMY
40-49,4,4,2,2019-01-18,OK,CYSTOSCOPY
40-49,1,1,1,2019-01-18,OK,HIP REPLACEMENT
40-49,12,13,3,2019-01-18,OK,HYSTEROSCOPY
40-49,3,4,4,2019-01-18,OK,KNEE REPLACEMENT
40-49,3,3,1,2019-01-18,OK,MASTECTOMY
50-64,84,101,9,2019-01-18,OK,CATARACT
50-64,28,37,5,2019-01-18,OK,CHOLECYSTECTOMY
50-64,22,22,2,2019-01-18,OK,CYSTOSCOPY
50-64,11,19,6,2019-01-18,OK,HIP REPLACEMENT
50-64,18,26,4,2019-01-18,OK,HYSTEROSCOPY
50-64,42,71,9,2019-01-18,OK,KNEE REPLACEMENT
50-64,22,29,2,2019-01-18,OK,MASTECTOMY
50-64,6,12,4,2019-01-18,OK,PROSTATECTOMY
65+,411,515,14,2019-01-18,OK,CATARACT
65+,22,30,3,2019-01-18,OK,CHOLECYSTECTOMY
65+,67,70,5,2019-01-18,OK,CYSTOSCOPY
65+,31,53,9,2019-01-18,OK,HIP REPLACEMENT
65+,3,3,1,2019-01-18,OK,HYSTEROSCOPY
65+,91,148,13,2019-01-18,OK,KNEE REPLACEMENT
65+,21,28,2,2019-01-18,OK,MASTECTOMY
65+,8,9,2,2019-01-18,OK,PROSTATECTOMY
