age,patients,claims,physicians,week,state,elective
18-29,5,12,3,2019-01-04,OR,CHOLECYSTECTOMY
18-29,1,1,1,2019-01-04,OR,CYSTOSCOPY
18-29,3,4,3,2019-01-04,OR,MASTECTOMY
30-39,7,8,2,2019-01-04,OR,CHOLECYSTECTOMY
30-39,3,4,1,2019-01-04,OR,CYSTOSCOPY
30-39,2,4,1,2019-01-04,OR,MASTECTOMY
40-49,2,4,2,2019-01-04,OR,CATARACT
40-49,4,6,2,2019-01-04,OR,CHOLECYSTECTOMY
40-49,6,6,2,2019-01-04,OR,CYSTOSCOPY
40-49,1,1,1,2019-01-04,OR,KNEE REPLACEMENT
40-49,1,2,1,2019-01-04,OR,MASTECTOMY
50-64,22,33,4,2019-01-04,OR,CATARACT
50-64,10,12,2,2019-01-04,OR,CHOLECYSTECTOMY
50-64,11,11,2,2019-01-04,OR,CYSTOSCOPY
50-64,6,12,5,2019-01-04,OR,HIP REPLACEMENT
50-64,5,8,2,2019-01-04,OR,KNEE REPLACEMENT
50-64,6,7,1,2019-01-04,OR,MASTECTOMY
65+,97,132,7,2019-01-04,OR,CATARACT
65+,8,10,3,2019-01-04,OR,CHOLECYSTECTOMY
65+,53,65,3,2019-01-04,OR,CYSTOSCOPY
65+,4,5,1,2019-01-04,OR,HIP REPLACEMENT
65+,21,30,2,2019-01-04,OR,KNEE REPLACEMENT
65+,11,19,3,2019-01-04,OR,MASTECTOMY
18-29,13,17,3,2019-01-11,OR,CHOLECYSTECTOMY
18-29,3,3,1,2019-01-11,OR,HYSTEROSCOPY
18-29,2,4,3,2019-01-11,OR,MASTECTOMY
30-39,2,2,1,2019-01-11,OR,CATARACT
30-39,18,24,5,2019-01-11,OR,CHOLECYSTECTOMY
30-39,2,2,1,2019-01-11,OR,CYSTOSCOPY
30-39,1,1,1,2019-01-11,OR,HIP REPLACEMENT
30-39,8,10,4,2019-01-11,OR,HYSTEROSCOPY
30-39,3,6,3,2019-01-11,OR,MASTECTOMY
40-49,2,5,2,2019-01-11,OR,CATARACT
40-49,21,29,5,2019-01-11,OR,CHOLECYSTECTOMY
40-49,10,11,1,2019-01-11,OR,CYSTOSCOPY
40-49,1,2,2,2019-01-11,OR,HIP REPLACEMENT
40-49,12,13,3,2019-01-11,OR,HYSTEROSCOPY
40-49,1,1,1,2019-01-11,OR,KNEE REPLACEMENT
40-49,5,6,5,2019-01-11,OR,MASTECTOMY
50-64,44,69,6,2019-01-11,OR,CATARACT
50-64,33,43,5,2019-01-11,OR,CHOLECYSTECTOMY
50-64,42,46,5,2019-01-11,OR,CYSTOSCOPY
50-64,19,33,8,2019-01-11,OR,HIP REPLACEMENT
50-64,16,18,3,2019-01-11,OR,HYSTEROSCOPY
50-64,24,39,8,2019-01-11,OR,KNEE REPLACEMENT
50-64,11,15,4,2019-01-11,OR,MASTECTOMY
50-64,5,10,3,2019-01-11,OR,PROSTATECTOMY
65+,248,315,13,2019-01-11,OR,CATARACT
65+,20,31,3,2019-01-11,OR,CHOLECYSTECTOMY
65+,123,146,5,2019-01-11,OR,CYSTOSCOPY
65+,23,39,4,2019-01-11,OR,HIP REPLACEMENT
65+,10,12,2,2019-01-11,OR,HYSTEROSCOPY
65+,54,85,7,2019-01-11,OR,KNEE REPLACEMENT
65+,37,43,5,2019-01-11,OR,MASTECTOMY
65+,4,6,2,2019-01-11,OR,PROSTATECTOMY
18-29,2,2,1,2019-01-18,OR,CATARACT
18-29,17,25,5,2019-01-18,OR,CHOLECYSTECTOMY
18-29,3,6,4,2019-01-18,OR,MASTECTOMY
30-39,17,21,5,2019-01-18,OR,CHOLECYSTECTOMY
30-39,4,6,4,2019-01-18,OR,CYSTOSCOPY
30-39,1,2,2,2019-01-18,OR,HIP REPLACEMENT
30-39,9,12,3,2019-01-18,OR,HYSTEROSCOPY
30-39,1,2,2,2019-01-18,OR,KNEE REPLACEMENT
30-39,2,2,1,2019-01-18,OR,MASTECTOMY
40-49,3,4,1,2019-01-18,OR,CATARACT
40-49,12,16,3,2019-01-18,OR,CHOLECYSTECTOMY
40-49,4,4,1,2019-01-18,OR,CYSTOSCOPY
40-49,2,4,1,2019-01-18,OR,HIP REPLACEMENT
40-49,16,18,4,2019-01-18,OR,HYSTEROSCOPY
40-49,2,3,1,2019-01-18,OR,KNEE REPLACEMENT
40-49,6,9,1,2019-01-18,OR,MASTECTOMY
50-64,60,85,8,2019-01-18,OR,CATARACT
50-64,21,23,4,2019-01-18,OR,CHOLECYSTECTOMY
50-64,45,49,5,2019-01-18,OR,CYSTOSCOPY
50-64,13,20,4,2019-01-18,OR,HIP REPLACEMENT
50-64,13,16,4,2019-01-18,OR,HYSTEROSCOPY
50-64,31,52,7,2019-01-18,OR,KNEE REPLACEMENT
50-64,19,28,5,2019-01-18,OR,MASTECTOMY
50-64,2,3,3,2019-01-18,OR,PROSTATECTOMY
65+,263,339,14,2019-01-18,OR,CATARACT
65+,30,40,4,2019-01-18,OR,CHOLECYSTECTOMY
65+,111,123,5,2019-01-18,OR,CYSTOSCOPY
65+,29,49,6,2019-01-18,OR,HIP REPLACEMENT
65+,15,20,3,2019-01-18,OR,HYSTEROSCOPY
65+,73,112,11,2019-01-18,OR,KNEE REPLACEMENT
65+,21,27,2,2019-01-18,OR,MASTECTOMY
65+,11,14,1,2019-01-18,OR,PROSTATECTOMY
18-29,17,20,2,2019-01-25,OR,CHOLECYSTECTOMY
18-29,2,2,2,2019-01-25,OR,CYSTOSCOPY
18-29,3,5,1,2019-01-25,OR,HYSTEROSCOPY
18-29,2,3,3,2019-01-25,OR,MASTECTOMY
30-39,1,2,1,2019-01-25,OR,CATARACT
30-39,12,15,3,2019-01-25,OR,CHOLECYSTECTOMY
30-39,2,2,1,2019-01-25,OR,CYSTOSCOPY
30-39,1,2,1,2019-01-25,OR,HIP REPLACEMENT
30-39,10,12,2,2019-01-25,OR,HYSTEROSCOPY
30-39,4,7,2,2019-01-25,OR,MASTECTOMY
40-49,5,8,1,2019-01-25,OR,CATARACT
40-49,9,13,5,2019-01-25,OR,CHOLECYSTECTOMY
40-49,10,10,1,2019-01-25,OR,CYSTOSCOPY
40-49,5,7,2,2019-01-25,OR,HIP REPLACEMENT
40-49,9,9,3,2019-01-25,OR,HYSTEROSCOPY
40-49,3,6,1,2019-01-25,OR,KNEE REPLACEMENT
40-49,10,17,3,2019-01-25,OR,MASTECTOMY
50-64,49,78,5,2019-01-25,OR,CATARACT
50-64,21,31,4,2019-01-25,OR,CHOLECYSTECTOMY
50-64,34,40,5,2019-01-25,OR,CYSTOSCOPY
50-64,22,40,10,2019-01-25,OR,HIP REPLACEMENT
50-64,10,16,3,2019-01-25,OR,HYSTEROSCOPY
50-64,27,45,6,2019-01-25,OR,KNEE REPLACEMENT
50-64,16,20,3,2019-01-25,OR,MASTECTOMY
50-64,3,5,2,2019-01-25,OR,PROSTATECTOMY
65+,3,6,2,2019-01-25,OR,CABG
65+,199,247,10,2019-01-25,OR,CATARACT
65+,23,34,2,2019-01-25,OR,CHOLECYSTECTOMY
65+,114,136,4,2019-01-25,OR,CYSTOSCOPY
65+,27,44,5,2019-01-25,OR,HIP REPLACEMENT
65+,14,16,3,2019-01-25,OR,HYSTEROSCOPY
65+,66,98,7,2019-01-25,OR,KNEE REPLACEMENT
65+,41,51,4,2019-01-25,OR,MASTECTOMY
65+,9,10,1,2019-01-25,OR,PROSTATECTOMY
18-29,15,20,4,2019-02-01,OR,CHOLECYSTECTOMY
18-29,5,5,1,2019-02-01,OR,CYSTOSCOPY
18-29,1,2,0,2019-02-01,OR,HIP REPLACEMENT
18-29,2,4,2,2019-02-01,OR,HYSTEROSCOPY
18-29,7,13,2,2019-02-01,OR,MASTECTOMY
30-39,24,33,7,2019-02-01,OR,CHOLECYSTECTOMY
30-39,8,10,1,2019-02-01,OR,CYSTOSCOPY
30-39,8,9,2,2019-02-01,OR,HYSTEROSCOPY
30-39,1,1,1,2019-02-01,OR,MASTECTOMY
40-49,3,6,1,2019-02-01,OR,CATARACT
40-49,18,25,4,2019-02-01,OR,CHOLECYSTECTOMY
40-49,13,15,2,2019-02-01,OR,CYSTOSCOPY
