age,patients,claims,physicians,week,state,elective
18-29,8,11,2,2019-01-04,PA,CHOLECYSTECTOMY
18-29,9,9,2,2019-01-04,PA,CYSTOSCOPY
18-29,10,10,2,2019-01-04,PA,HYSTEROSCOPY
18-29,2,2,1,2019-01-04,PA,MASTECTOMY
30-39,3,6,3,2019-01-04,PA,CATARACT
30-39,18,23,8,2019-01-04,PA,CHOLECYSTECTOMY
30-39,12,14,4,2019-01-04,PA,CYSTOSCOPY
30-39,15,19,3,2019-01-04,PA,HYSTEROSCOPY
30-39,1,1,1,2019-01-04,PA,MASTECTOMY
40-49,6,7,3,2019-01-04,PA,CATARACT
40-49,19,25,5,2019-01-04,PA,CHOLECYSTECTOMY
40-49,21,23,3,2019-01-04,PA,CYSTOSCOPY
40-49,2,3,2,2019-01-04,PA,HIP REPLACEMENT
40-49,15,16,2,2019-01-04,PA,HYSTEROSCOPY
40-49,3,4,1,2019-01-04,PA,KNEE REPLACEMENT
40-49,5,7,4,2019-01-04,PA,MASTECTOMY
50-64,115,156,11,2019-01-04,PA,CATARACT
50-64,17,20,4,2019-01-04,PA,CHOLECYSTECTOMY
50-64,74,92,8,2019-01-04,PA,CYSTOSCOPY
50-64,22,32,9,2019-01-04,PA,HIP REPLACEMENT
50-64,20,22,3,2019-01-04,PA,HYSTEROSCOPY
50-64,39,68,12,2019-01-04,PA,KNEE REPLACEMENT
50-64,8,11,8,2019-01-04,PA,MASTECTOMY
50-64,5,5,1,2019-01-04,PA,PROSTATECTOMY
65+,535,695,14,2019-01-04,PA,CATARACT
65+,30,35,3,2019-01-04,PA,CHOLECYSTECTOMY
65+,1,1,1,2019-01-04,PA,COVID
65+,171,216,10,2019-01-04,PA,CYSTOSCOPY
65+,22,33,6,2019-01-04,PA,HIP REPLACEMENT
65+,11,11,2,2019-01-04,PA,HYSTEROSCOPY
65+,81,125,12,2019-01-04,PA,KNEE REPLACEMENT
65+,30,35,4,2019-01-04,PA,MASTECTOMY
65+,3,4,3,2019-01-04,PA,PROSTATECTOMY
18-29,2,2,2,2019-01-11,PA,CATARACT
18-29,32,47,9,2019-01-11,PA,CHOLECYSTECTOMY
18-29,15,18,4,2019-01-11,PA,CYSTOSCOPY
18-29,1,1,1,2019-01-11,PA,HIP REPLACEMENT
18-29,12,14,3,2019-01-11,PA,HYSTEROSCOPY
18-29,3,4,2,2019-01-11,PA,MASTECTOMY
30-39,3,3,3,2019-01-11,PA,CATARACT
30-39,43,57,7,2019-01-11,PA,CHOLECYSTECTOMY
30-39,24,30,4,2019-01-11,PA,CYSTOSCOPY
30-39,1,1,1,2019-01-11,PA,HIP REPLACEMENT
30-39,26,29,5,2019-01-11,PA,HYSTEROSCOPY
30-39,2,4,1,2019-01-11,PA,KNEE REPLACEMENT
30-39,10,13,2,2019-01-11,PA,MASTECTOMY
40-49,23,28,7,2019-01-11,PA,CATARACT
40-49,44,56,7,2019-01-11,PA,CHOLECYSTECTOMY
40-49,38,46,8,2019-01-11,PA,CYSTOSCOPY
40-49,6,8,3,2019-01-11,PA,HIP REPLACEMENT
40-49,46,59,7,2019-01-11,PA,HYSTEROSCOPY
40-49,8,12,4,2019-01-11,PA,KNEE REPLACEMENT
40-49,17,22,3,2019-01-11,PA,MASTECTOMY
50-64,1,1,1,2019-01-11,PA,CABG
50-64,286,389,23,2019-01-11,PA,CATARACT
50-64,79,110,8,2019-01-11,PA,CHOLECYSTECTOMY
50-64,152,182,12,2019-01-11,PA,CYSTOSCOPY
50-64,63,108,11,2019-01-11,PA,HIP REPLACEMENT
50-64,56,68,12,2019-01-11,PA,HYSTEROSCOPY
50-64,120,184,14,2019-01-11,PA,KNEE REPLACEMENT
