age,patients,claims,physicians,week,state,elective
18-29,1,1,0,2019-01-04,RI,CATARACT
18-29,2,2,1,2019-01-04,RI,CHOLECYSTECTOMY
30-39,1,1,1,2019-01-04,RI,CATARACT
30-39,1,1,1,2019-01-04,RI,CYSTOSCOPY
50-64,4,4,1,2019-01-04,RI,CATARACT
50-64,3,3,1,2019-01-04,RI,CHOLECYSTECTOMY
50-64,1,1,1,2019-01-04,RI,CYSTOSCOPY
50-64,2,4,4,2019-01-04,RI,HIP REPLACEMENT
50-64,3,6,1,2019-01-04,RI,KNEE REPLACEMENT
50-64,1,1,1,2019-01-04,RI,MASTECTOMY
50-64,1,1,1,2019-01-04,RI,PROSTATECTOMY
65+,24,25,2,2019-01-04,RI,CATARACT
65+,1,1,1,2019-01-04,RI,CHOLECYSTECTOMY
65+,4,5,1,2019-01-04,RI,CYSTOSCOPY
65+,4,8,2,2019-01-04,RI,HIP REPLACEMENT
65+,7,10,1,2019-01-04,RI,KNEE REPLACEMENT
65+,1,1,1,2019-01-04,RI,MASTECTOMY
65+,1,1,1,2019-01-04,RI,PROSTATECTOMY
18-29,2,2,1,2019-01-11,RI,CHOLECYSTECTOMY
18-29,1,1,1,2019-01-11,RI,CYSTOSCOPY
18-29,1,1,1,2019-01-11,RI,HYSTEROSCOPY
18-29,1,1,1,2019-01-11,RI,MASTECTOMY
30-39,2,3,1,2019-01-11,RI,CHOLECYSTECTOMY
40-49,1,1,1,2019-01-11,RI,CATARACT
40-49,2,2,1,2019-01-11,RI,CHOLECYSTECTOMY
40-49,2,2,1,2019-01-11,RI,CYSTOSCOPY
40-49,1,2,2,2019-01-11,RI,KNEE REPLACEMENT
50-64,11,11,3,2019-01-11,RI,CATARACT
50-64,2,2,1,2019-01-11,RI,CHOLECYSTECTOMY
50-64,6,6,1,2019-01-11,RI,CYSTOSCOPY
50-64,4,7,4,2019-01-11,RI,HIP REPLACEMENT
50-64,2,2,2,2019-01-11,RI,HYSTEROSCOPY
50-64,19,35,6,2019-01-11,RI,KNEE REPLACEMENT
50-64,2,2,1,2019-01-11,RI,MASTECTOMY
65+,47,51,4,2019-01-11,RI,CATARACT
65+,1,1,1,2019-01-11,RI,CHOLECYSTECTOMY
65+,10,12,1,2019-01-11,RI,CYSTOSCOPY
65+,19,33,7,2019-01-11,RI,HIP REPLACEMENT
65+,1,1,1,2019-01-11,RI,HYSTEROSCOPY
65+,27,46,4,2019-01-11,RI,KNEE REPLACEMENT
65+,5,5,1,2019-01-11,RI,MASTECTOMY
18-29,1,1,1,2019-01-18,RI,CYSTOSCOPY
30-39,2,2,2,2019-01-18,RI,CHOLECYSTECTOMY
30-39,2,2,2,2019-01-18,RI,CYSTOSCOPY
30-39,4,5,1,2019-01-18,RI,HYSTEROSCOPY
40-49,3,3,2,2019-01-18,RI,CHOLECYSTECTOMY
40-49,1,1,1,2019-01-18,RI,CYSTOSCOPY
40-49,2,3,2,2019-01-18,RI,HIP REPLACEMENT
40-49,4,6,1,2019-01-18,RI,HYSTEROSCOPY
40-49,1,1,1,2019-01-18,RI,MASTECTOMY
50-64,16,19,2,2019-01-18,RI,CATARACT
50-64,5,5,2,2019-01-18,RI,CHOLECYSTECTOMY
50-64,5,5,2,2019-01-18,RI,CYSTOSCOPY
50-64,4,8,4,2019-01-18,RI,HIP REPLACEMENT
50-64,5,5,4,2019-01-18,RI,HYSTEROSCOPY
50-64,14,22,5,2019-01-18,RI,KNEE REPLACEMENT
50-64,5,5,4,2019-01-18,RI,MASTECTOMY
65+,48,52,3,2019-01-18,RI,CATARACT
65+,3,3,1,2019-01-18,RI,CHOLECYSTECTOMY
65+,10,10,2,2019-01-18,RI,CYSTOSCOPY
65+,10,19,4,2019-01-18,RI,HIP REPLACEMENT
65+,2,2,1,2019-01-18,RI,HYSTEROSCOPY
65+,19,37,3,2019-01-18,RI,KNEE REPLACEMENT
65+,3,3,1,2019-01-18,RI,MASTECTOMY
65+,1,1,1,2019-01-18,RI,PROSTATECTOMY
18-29,1,1,1,2019-01-25,RI,CYSTOSCOPY
30-39,2,2,2,2019-01-25,RI,CHOLECYSTECTOMY
30-39,1,1,1,2019-01-25,RI,CYSTOSCOPY
30-39,1,1,1,2019-01-25,RI,HIP REPLACEMENT
