age,patients,claims,physicians,week,state,elective
18-29,4,5,1,2019-01-04,SC,CHOLECYSTECTOMY
18-29,2,2,2,2019-01-04,SC,CYSTOSCOPY
18-29,1,2,2,2019-01-04,SC,HIP REPLACEMENT
18-29,3,4,1,2019-01-04,SC,HYSTEROSCOPY
30-39,1,1,1,2019-01-04,SC,CATARACT
30-39,7,13,2,2019-01-04,SC,CHOLECYSTECTOMY
30-39,1,2,1,2019-01-04,SC,CYSTOSCOPY
30-39,1,2,2,2019-01-04,SC,HIP REPLACEMENT
30-39,1,1,1,2019-01-04,SC,HYSTEROSCOPY
30-39,2,2,2,2019-01-04,SC,MASTECTOMY
40-49,4,5,2,2019-01-04,SC,CATARACT
40-49,3,4,1,2019-01-04,SC,CHOLECYSTECTOMY
40-49,1,1,1,2019-01-04,SC,CYSTOSCOPY
40-49,1,2,2,2019-01-04,SC,HIP REPLACEMENT
40-49,2,2,1,2019-01-04,SC,HYSTEROSCOPY
40-49,1,2,1,2019-01-04,SC,KNEE REPLACEMENT
40-49,5,5,2,2019-01-04,SC,MASTECTOMY
50-64,26,31,4,2019-01-04,SC,CATARACT
50-64,15,24,3,2019-01-04,SC,CHOLECYSTECTOMY
50-64,13,14,4,2019-01-04,SC,CYSTOSCOPY
50-64,3,5,2,2019-01-04,SC,HIP REPLACEMENT
50-64,2,3,1,2019-01-04,SC,HYSTEROSCOPY
50-64,6,11,1,2019-01-04,SC,KNEE REPLACEMENT
50-64,7,9,2,2019-01-04,SC,MASTECTOMY
50-64,1,2,1,2019-01-04,SC,PROSTATECTOMY
65+,1,2,2,2019-01-04,SC,CABG
65+,126,145,8,2019-01-04,SC,CATARACT
65+,9,14,3,2019-01-04,SC,CHOLECYSTECTOMY
65+,1,1,1,2019-01-04,SC,COSMETIC RECONSTRUCTION
65+,52,55,3,2019-01-04,SC,CYSTOSCOPY
65+,6,15,5,2019-01-04,SC,HIP REPLACEMENT
65+,1,2,1,2019-01-04,SC,HYSTEROSCOPY
65+,21,39,3,2019-01-04,SC,KNEE REPLACEMENT
65+,10,16,3,2019-01-04,SC,MASTECTOMY
65+,5,6,1,2019-01-04,SC,PROSTATECTOMY
18-29,17,27,4,2019-01-11,SC,CHOLECYSTECTOMY
18-29,1,1,1,2019-01-11,SC,CYSTOSCOPY
18-29,5,9,2,2019-01-11,SC,HYSTEROSCOPY
30-39,2,3,2,2019-01-11,SC,CATARACT
30-39,19,28,4,2019-01-11,SC,CHOLECYSTECTOMY
30-39,6,7,1,2019-01-11,SC,CYSTOSCOPY
30-39,10,16,3,2019-01-11,SC,HYSTEROSCOPY
30-39,3,3,2,2019-01-11,SC,MASTECTOMY
40-49,3,5,1,2019-01-11,SC,CATARACT
40-49,10,14,3,2019-01-11,SC,CHOLECYSTECTOMY
40-49,2,5,1,2019-01-11,SC,CYSTOSCOPY
40-49,1,1,1,2019-01-11,SC,HIP REPLACEMENT
40-49,13,13,3,2019-01-11,SC,HYSTEROSCOPY
40-49,2,2,1,2019-01-11,SC,KNEE REPLACEMENT
40-49,8,12,2,2019-01-11,SC,MASTECTOMY
50-64,60,76,6,2019-01-11,SC,CATARACT
50-64,35,47,6,2019-01-11,SC,CHOLECYSTECTOMY
50-64,27,31,3,2019-01-11,SC,CYSTOSCOPY
50-64,9,18,4,2019-01-11,SC,HIP REPLACEMENT
50-64,8,8,4,2019-01-11,SC,HYSTEROSCOPY
50-64,16,30,7,2019-01-11,SC,KNEE REPLACEMENT
50-64,19,28,5,2019-01-11,SC,MASTECTOMY
50-64,4,9,1,2019-01-11,SC,PROSTATECTOMY
65+,326,383,11,2019-01-11,SC,CATARACT
65+,34,47,2,2019-01-11,SC,CHOLECYSTECTOMY
65+,110,114,5,2019-01-11,SC,CYSTOSCOPY
65+,25,49,5,2019-01-11,SC,HIP REPLACEMENT
65+,11,14,2,2019-01-11,SC,HYSTEROSCOPY
65+,92,165,10,2019-01-11,SC,KNEE REPLACEMENT
65+,25,34,3,2019-01-11,SC,MASTECTOMY
65+,5,5,2,2019-01-11,SC,PROSTATECTOMY
18-29,21,32,5,2019-01-18,SC,CHOLECYSTECTOMY
18-29,4,5,1,2019-01-18,SC,CYSTOSCOPY
18-29,1,1,1,2019-01-18,SC,HYSTEROSCOPY
18-29,3,3,1,2019-01-18,SC,MASTECTOMY
30-39,1,1,1,2019-01-18,SC,CATARACT
30-39,18,30,3,2019-01-18,SC,CHOLECYSTECTOMY
30-39,6,7,1,2019-01-18,SC,CYSTOSCOPY
30-39,14,15,2,2019-01-18,SC,HYSTEROSCOPY
30-39,1,1,1,2019-01-18,SC,KNEE REPLACEMENT
30-39,2,2,2,2019-01-18,SC,MASTECTOMY
40-49,1,2,2,2019-01-18,SC,CABG
40-49,7,8,1,2019-01-18,SC,CATARACT
40-49,10,14,2,2019-01-18,SC,CHOLECYSTECTOMY
40-49,4,5,1,2019-01-18,SC,CYSTOSCOPY
40-49,2,4,4,2019-01-18,SC,HIP REPLACEMENT
40-49,9,12,4,2019-01-18,SC,HYSTEROSCOPY
40-49,3,4,2,2019-01-18,SC,MASTECTOMY
50-64,81,98,11,2019-01-18,SC,CATARACT
50-64,30,46,4,2019-01-18,SC,CHOLECYSTECTOMY
50-64,29,39,3,2019-01-18,SC,CYSTOSCOPY
50-64,12,21,4,2019-01-18,SC,HIP REPLACEMENT
50-64,19,24,4,2019-01-18,SC,HYSTEROSCOPY
50-64,24,39,6,2019-01-18,SC,KNEE REPLACEMENT
50-64,14,17,4,2019-01-18,SC,MASTECTOMY
50-64,4,4,2,2019-01-18,SC,PROSTATECTOMY
65+,1,1,1,2019-01-18,SC,CABG
65+,421,493,15,2019-01-18,SC,CATARACT
65+,28,41,2,2019-01-18,SC,CHOLECYSTECTOMY
65+,107,112,6,2019-01-18,SC,CYSTOSCOPY
65+,16,35,5,2019-01-18,SC,HIP REPLACEMENT
65+,12,12,4,2019-01-18,SC,HYSTEROSCOPY
65+,67,112,9,2019-01-18,SC,KNEE REPLACEMENT
65+,27,33,5,2019-01-18,SC,MASTECTOMY
65+,5,5,1,2019-01-18,SC,PROSTATECTOMY
18-29,25,38,4,2019-01-25,SC,CHOLECYSTECTOMY
18-29,3,4,1,2019-01-25,SC,CYSTOSCOPY
18-29,4,5,2,2019-01-25,SC,HYSTEROSCOPY
18-29,2,2,1,2019-01-25,SC,MASTECTOMY
30-39,14,20,3,2019-01-25,SC,CHOLECYSTECTOMY
30-39,3,3,1,2019-01-25,SC,CYSTOSCOPY
30-39,9,10,2,2019-01-25,SC,HYSTEROSCOPY
30-39,1,1,1,2019-01-25,SC,MASTECTOMY
40-49,6,6,1,2019-01-25,SC,CATARACT
40-49,22,43,4,2019-01-25,SC,CHOLECYSTECTOMY
40-49,8,9,3,2019-01-25,SC,CYSTOSCOPY
40-49,2,3,3,2019-01-25,SC,HIP REPLACEMENT
40-49,12,13,3,2019-01-25,SC,HYSTEROSCOPY
40-49,3,3,1,2019-01-25,SC,KNEE REPLACEMENT
40-49,3,4,3,2019-01-25,SC,MASTECTOMY
50-64,75,99,8,2019-01-25,SC,CATARACT
50-64,22,31,5,2019-01-25,SC,CHOLECYSTECTOMY
50-64,24,29,4,2019-01-25,SC,CYSTOSCOPY
50-64,11,23,5,2019-01-25,SC,HIP REPLACEMENT
50-64,14,17,2,2019-01-25,SC,HYSTEROSCOPY
50-64,20,34,9,2019-01-25,SC,KNEE REPLACEMENT
50-64,14,22,7,2019-01-25,SC,MASTECTOMY
50-64,4,5,1,2019-01-25,SC,PROSTATECTOMY
65+,378,471,16,2019-01-25,SC,CATARACT
65+,42,60,4,2019-01-25,SC,CHOLECYSTECTOMY
65+,79,85,5,2019-01-25,SC,CYSTOSCOPY
65+,17,33,4,2019-01-25,SC,HIP REPLACEMENT
65+,10,14,2,2019-01-25,SC,HYSTEROSCOPY
65+,58,92,5,2019-01-25,SC,KNEE REPLACEMENT
65+,31,44,5,2019-01-25,SC,MASTECTOMY
65+,7,7,2,2019-01-25,SC,PROSTATECTOMY
18-29,31,47,5,2019-02-01,SC,CHOLECYSTECTOMY
18-29,3,3,3,2019-02-01,SC,CYSTOSCOPY
18-29,1,3,1,2019-02-01,SC,HYSTEROSCOPY
18-29,1,1,1,2019-02-01,SC,MASTECTOMY
30-39,2,2,1,2019-02-01,SC,CATARACT
30-39,18,25,3,2019-02-01,SC,CHOLECYSTECTOMY
30-39,7,8,2,2019-02-01,SC,CYSTOSCOPY
30-39,12,20,3,2019-02-01,SC,HYSTEROSCOPY
30-39,1,2,1,2019-02-01,SC,MASTECTOMY
40-49,8,10,2,2019-02-01,SC,CATARACT
40-49,29,42,7,2019-02-01,SC,CHOLECYSTECTOMY
40-49,9,11,2,2019-02-01,SC,CYSTOSCOPY
40-49,1,2,2,2019-02-01,SC,HIP REPLACEMENT
40-49,8,9,2,2019-02-01,SC,HYSTEROSCOPY
40-49,1,2,2,2019-02-01,SC,KNEE REPLACEMENT
40-49,9,10,4,2019-02-01,SC,MASTECTOMY
50-64,75,97,8,2019-02-01,SC,CATARACT
50-64,27,44,3,2019-02-01,SC,CHOLECYSTECTOMY
50-64,32,35,4,2019-02-01,SC,CYSTOSCOPY
50-64,19,30,6,2019-02-01,SC,HIP REPLACEMENT
50-64,15,20,3,2019-02-01,SC,HYSTEROSCOPY
50-64,20,39,15,2019-02-01,SC,KNEE REPLACEMENT
50-64,15,23,3,2019-02-01,SC,MASTECTOMY
50-64,2,3,1,2019-02-01,SC,PROSTATECTOMY
65+,392,451,12,2019-02-01,SC,CATARACT
65+,34,52,3,2019-02-01,SC,CHOLECYSTECTOMY
65+,97,102,5,2019-02-01,SC,CYSTOSCOPY
65+,21,39,4,2019-02-01,SC,HIP REPLACEMENT
65+,14,18,3,2019-02-01,SC,HYSTEROSCOPY
65+,64,111,8,2019-02-01,SC,KNEE REPLACEMENT
65+,31,44,3,2019-02-01,SC,MASTECTOMY
65+,2,4,1,2019-02-01,SC,PROSTATECTOMY
18-29,1,1,1,2019-02-08,SC,CATARACT
18-29,18,31,2,2019-02-08,SC,CHOLECYSTECTOMY
18-29,3,3,1,2019-02-08,SC,CYSTOSCOPY
18-29,1,1,1,2019-02-08,SC,HIP REPLACEMENT
18-29,4,5,2,2019-02-08,SC,HYSTEROSCOPY
18-29,2,2,2,2019-02-08,SC,MASTECTOMY
30-39,1,1,1,2019-02-08,SC,CATARACT
30-39,21,31,5,2019-02-08,SC,CHOLECYSTECTOMY
30-39,5,8,2,2019-02-08,SC,CYSTOSCOPY
30-39,1,2,2,2019-02-08,SC,HIP REPLACEMENT
30-39,14,19,3,2019-02-08,SC,HYSTEROSCOPY
30-39,2,3,2,2019-02-08,SC,MASTECTOMY
40-49,10,14,3,2019-02-08,SC,CATARACT
40-49,17,27,4,2019-02-08,SC,CHOLECYSTECTOMY
40-49,12,13,4,2019-02-08,SC,CYSTOSCOPY
40-49,4,7,3,2019-02-08,SC,HIP REPLACEMENT
40-49,7,12,3,2019-02-08,SC,HYSTEROSCOPY
40-49,3,7,2,2019-02-08,SC,KNEE REPLACEMENT
40-49,6,12,4,2019-02-08,SC,MASTECTOMY
50-64,1,2,2,2019-02-08,SC,CABG
50-64,84,105,7,2019-02-08,SC,CATARACT
50-64,34,52,5,2019-02-08,SC,CHOLECYSTECTOMY
50-64,28,31,2,2019-02-08,SC,CYSTOSCOPY
50-64,10,18,3,2019-02-08,SC,HIP REPLACEMENT
50-64,15,18,3,2019-02-08,SC,HYSTEROSCOPY
50-64,24,38,5,2019-02-08,SC,KNEE REPLACEMENT
50-64,21,29,3,2019-02-08,SC,MASTECTOMY
50-64,2,2,1,2019-02-08,SC,PROSTATECTOMY
65+,1,2,2,2019-02-08,SC,CABG
65+,382,455,11,2019-02-08,SC,CATARACT
65+,30,47,4,2019-02-08,SC,CHOLECYSTECTOMY
65+,117,128,7,2019-02-08,SC,CYSTOSCOPY
65+,20,36,7,2019-02-08,SC,HIP REPLACEMENT
65+,8,10,2,2019-02-08,SC,HYSTEROSCOPY
65+,55,95,6,2019-02-08,SC,KNEE REPLACEMENT
65+,27,34,6,2019-02-08,SC,MASTECTOMY
65+,1,1,1,2019-02-08,SC,PROSTATECTOMY
18-29,16,25,5,2019-02-15,SC,CHOLECYSTECTOMY
18-29,2,2,1,2019-02-15,SC,CYSTOSCOPY
18-29,3,5,1,2019-02-15,SC,HYSTEROSCOPY
18-29,1,1,1,2019-02-15,SC,MASTECTOMY
30-39,1,2,1,2019-02-15,SC,CATARACT
30-39,13,18,2,2019-02-15,SC,CHOLECYSTECTOMY
30-39,3,3,1,2019-02-15,SC,CYSTOSCOPY
30-39,1,1,1,2019-02-15,SC,HIP REPLACEMENT
30-39,9,12,3,2019-02-15,SC,HYSTEROSCOPY
30-39,1,2,2,2019-02-15,SC,MASTECTOMY
40-49,3,3,1,2019-02-15,SC,CATARACT
40-49,16,25,3,2019-02-15,SC,CHOLECYSTECTOMY
40-49,7,8,1,2019-02-15,SC,CYSTOSCOPY
40-49,19,31,5,2019-02-15,SC,HYSTEROSCOPY
40-49,1,2,2,2019-02-15,SC,KNEE REPLACEMENT
40-49,6,6,1,2019-02-15,SC,MASTECTOMY
50-64,64,86,10,2019-02-15,SC,CATARACT
50-64,22,35,6,2019-02-15,SC,CHOLECYSTECTOMY
50-64,23,27,3,2019-02-15,SC,CYSTOSCOPY
50-64,14,22,2,2019-02-15,SC,HIP REPLACEMENT
50-64,15,17,3,2019-02-15,SC,HYSTEROSCOPY
50-64,19,33,5,2019-02-15,SC,KNEE REPLACEMENT
50-64,15,20,3,2019-02-15,SC,MASTECTOMY
50-64,4,5,1,2019-02-15,SC,PROSTATECTOMY
65+,3,5,2,2019-02-15,SC,CABG
65+,395,460,12,2019-02-15,SC,CATARACT
65+,39,60,4,2019-02-15,SC,CHOLECYSTECTOMY
