age,patients,claims,physicians,week,state,elective
18-29,2,4,1,2019-01-04,SD,CHOLECYSTECTOMY
18-29,2,2,1,2019-01-04,SD,HYSTEROSCOPY
30-39,2,3,2,2019-01-04,SD,CHOLECYSTECTOMY
30-39,1,1,1,2019-01-04,SD,CYSTOSCOPY
30-39,1,2,1,2019-01-04,SD,HYSTEROSCOPY
30-39,1,2,2,2019-01-04,SD,KNEE REPLACEMENT
40-49,1,1,1,2019-01-04,SD,CATARACT
40-49,1,3,2,2019-01-04,SD,CHOLECYSTECTOMY
40-49,1,2,1,2019-01-04,SD,HYSTEROSCOPY
40-49,2,5,1,2019-01-04,SD,KNEE REPLACEMENT
50-64,9,15,4,2019-01-04,SD,CATARACT
50-64,6,13,9,2019-01-04,SD,CHOLECYSTECTOMY
50-64,3,5,3,2019-01-04,SD,CYSTOSCOPY
50-64,1,1,1,2019-01-04,SD,HIP REPLACEMENT
50-64,2,2,2,2019-01-04,SD,HYSTEROSCOPY
50-64,4,6,3,2019-01-04,SD,KNEE REPLACEMENT
50-64,1,2,1,2019-01-04,SD,MASTECTOMY
65+,82,144,5,2019-01-04,SD,CATARACT
65+,3,8,2,2019-01-04,SD,CHOLECYSTECTOMY
65+,14,19,2,2019-01-04,SD,CYSTOSCOPY
65+,5,10,4,2019-01-04,SD,HIP REPLACEMENT
65+,1,1,1,2019-01-04,SD,HYSTEROSCOPY
65+,8,18,5,2019-01-04,SD,KNEE REPLACEMENT
65+,6,12,1,2019-01-04,SD,MASTECTOMY
65+,1,1,1,2019-01-04,SD,PROSTATECTOMY
18-29,10,17,3,2019-01-11,SD,CHOLECYSTECTOMY
18-29,1,1,1,2019-01-11,SD,HYSTEROSCOPY
18-29,1,3,2,2019-01-11,SD,MASTECTOMY
30-39,7,16,5,2019-01-11,SD,CHOLECYSTECTOMY
30-39,1,1,1,2019-01-11,SD,CYSTOSCOPY
30-39,2,4,1,2019-01-11,SD,HYSTEROSCOPY
30-39,3,6,2,2019-01-11,SD,MASTECTOMY
40-49,7,9,2,2019-01-11,SD,CATARACT
40-49,5,9,3,2019-01-11,SD,CHOLECYSTECTOMY
40-49,2,2,2,2019-01-11,SD,CYSTOSCOPY
40-49,2,4,2,2019-01-11,SD,HIP REPLACEMENT
40-49,3,4,1,2019-01-11,SD,HYSTEROSCOPY
40-49,3,8,3,2019-01-11,SD,KNEE REPLACEMENT
40-49,2,2,1,2019-01-11,SD,MASTECTOMY
50-64,48,88,5,2019-01-11,SD,CATARACT
50-64,9,18,2,2019-01-11,SD,CHOLECYSTECTOMY
50-64,9,11,2,2019-01-11,SD,CYSTOSCOPY
50-64,5,6,2,2019-01-11,SD,HIP REPLACEMENT
50-64,2,4,2,2019-01-11,SD,HYSTEROSCOPY
50-64,19,33,13,2019-01-11,SD,KNEE REPLACEMENT
50-64,2,3,1,2019-01-11,SD,MASTECTOMY
65+,177,296,7,2019-01-11,SD,CATARACT
65+,13,26,2,2019-01-11,SD,CHOLECYSTECTOMY
65+,25,35,2,2019-01-11,SD,CYSTOSCOPY
65+,17,27,5,2019-01-11,SD,HIP REPLACEMENT
65+,1,2,1,2019-01-11,SD,HYSTEROSCOPY
65+,52,101,8,2019-01-11,SD,KNEE REPLACEMENT
65+,11,15,1,2019-01-11,SD,MASTECTOMY
65+,4,7,2,2019-01-11,SD,PROSTATECTOMY
18-29,5,11,3,2019-01-18,SD,CHOLECYSTECTOMY
18-29,1,1,1,2019-01-18,SD,CYSTOSCOPY
18-29,1,1,1,2019-01-18,SD,HYSTEROSCOPY
30-39,8,19,6,2019-01-18,SD,CHOLECYSTECTOMY
30-39,5,10,2,2019-01-18,SD,HYSTEROSCOPY
40-49,1,2,1,2019-01-18,SD,CATARACT
40-49,7,12,4,2019-01-18,SD,CHOLECYSTECTOMY
40-49,1,1,1,2019-01-18,SD,CYSTOSCOPY
40-49,2,4,1,2019-01-18,SD,HIP REPLACEMENT
40-49,2,3,2,2019-01-18,SD,HYSTEROSCOPY
40-49,1,2,2,2019-01-18,SD,KNEE REPLACEMENT
40-49,1,2,2,2019-01-18,SD,MASTECTOMY
50-64,39,71,5,2019-01-18,SD,CATARACT
50-64,11,22,3,2019-01-18,SD,CHOLECYSTECTOMY
50-64,7,8,2,2019-01-18,SD,CYSTOSCOPY
50-64,9,12,10,2019-01-18,SD,HIP REPLACEMENT
50-64,5,9,3,2019-01-18,SD,HYSTEROSCOPY
50-64,17,30,6,2019-01-18,SD,KNEE REPLACEMENT
50-64,4,8,1,2019-01-18,SD,MASTECTOMY
50-64,4,7,2,2019-01-18,SD,PROSTATECTOMY
65+,213,356,7,2019-01-18,SD,CATARACT
65+,14,18,2,2019-01-18,SD,CHOLECYSTECTOMY
65+,31,42,2,2019-01-18,SD,CYSTOSCOPY
65+,15,30,5,2019-01-18,SD,HIP REPLACEMENT
65+,3,5,1,2019-01-18,SD,HYSTEROSCOPY
65+,46,86,6,2019-01-18,SD,KNEE REPLACEMENT
65+,12,16,2,2019-01-18,SD,MASTECTOMY
65+,4,4,2,2019-01-18,SD,PROSTATECTOMY
18-29,1,3,1,2019-01-25,SD,CATARACT
18-29,8,15,5,2019-01-25,SD,CHOLECYSTECTOMY
18-29,2,2,2,2019-01-25,SD,CYSTOSCOPY
18-29,2,3,1,2019-01-25,SD,HYSTEROSCOPY
30-39,7,12,3,2019-01-25,SD,CHOLECYSTECTOMY
30-39,2,3,1,2019-01-25,SD,CYSTOSCOPY
30-39,3,5,3,2019-01-25,SD,HYSTEROSCOPY
30-39,1,1,1,2019-01-25,SD,MASTECTOMY
40-49,2,2,2,2019-01-25,SD,CATARACT
40-49,8,12,4,2019-01-25,SD,CHOLECYSTECTOMY
40-49,1,1,1,2019-01-25,SD,CYSTOSCOPY
40-49,1,2,1,2019-01-25,SD,HYSTEROSCOPY
40-49,4,9,2,2019-01-25,SD,KNEE REPLACEMENT
50-64,28,46,4,2019-01-25,SD,CATARACT
50-64,8,15,4,2019-01-25,SD,CHOLECYSTECTOMY
50-64,18,22,3,2019-01-25,SD,CYSTOSCOPY
50-64,6,10,3,2019-01-25,SD,HIP REPLACEMENT
50-64,6,8,1,2019-01-25,SD,HYSTEROSCOPY
50-64,22,45,9,2019-01-25,SD,KNEE REPLACEMENT
50-64,2,5,1,2019-01-25,SD,MASTECTOMY
50-64,1,2,2,2019-01-25,SD,PROSTATECTOMY
65+,2,3,1,2019-01-25,SD,CABG
65+,126,201,5,2019-01-25,SD,CATARACT
65+,8,12,2,2019-01-25,SD,CHOLECYSTECTOMY
65+,30,39,3,2019-01-25,SD,CYSTOSCOPY
65+,18,36,5,2019-01-25,SD,HIP REPLACEMENT
65+,1,2,1,2019-01-25,SD,HYSTEROSCOPY
65+,27,54,8,2019-01-25,SD,KNEE REPLACEMENT
65+,11,23,3,2019-01-25,SD,MASTECTOMY
65+,2,2,2,2019-01-25,SD,PROSTATECTOMY
18-29,6,14,3,2019-02-01,SD,CHOLECYSTECTOMY
30-39,4,8,3,2019-02-01,SD,CHOLECYSTECTOMY
30-39,1,1,1,2019-02-01,SD,CYSTOSCOPY
30-39,2,2,2,2019-02-01,SD,HIP REPLACEMENT
30-39,4,4,4,2019-02-01,SD,HYSTEROSCOPY
40-49,3,9,1,2019-02-01,SD,CATARACT
40-49,9,12,2,2019-02-01,SD,CHOLECYSTECTOMY
40-49,3,3,1,2019-02-01,SD,CYSTOSCOPY
40-49,1,1,1,2019-02-01,SD,HYSTEROSCOPY
40-49,1,2,2,2019-02-01,SD,KNEE REPLACEMENT
40-49,1,2,1,2019-02-01,SD,MASTECTOMY
50-64,43,71,5,2019-02-01,SD,CATARACT
50-64,7,13,3,2019-02-01,SD,CHOLECYSTECTOMY
50-64,15,19,3,2019-02-01,SD,CYSTOSCOPY
50-64,6,11,5,2019-02-01,SD,HIP REPLACEMENT
50-64,2,3,2,2019-02-01,SD,HYSTEROSCOPY
50-64,12,26,9,2019-02-01,SD,KNEE REPLACEMENT
50-64,7,12,3,2019-02-01,SD,MASTECTOMY
50-64,1,2,2,2019-02-01,SD,PROSTATECTOMY
65+,166,271,7,2019-02-01,SD,CATARACT
65+,8,14,2,2019-02-01,SD,CHOLECYSTECTOMY
