age,patients,claims,physicians,week,state,elective
18-29,8,9,2,2019-01-04,TN,CHOLECYSTECTOMY
18-29,1,1,1,2019-01-04,TN,CYSTOSCOPY
18-29,3,3,1,2019-01-04,TN,HYSTEROSCOPY
18-29,1,1,1,2019-01-04,TN,MASTECTOMY
30-39,3,3,1,2019-01-04,TN,CATARACT
30-39,13,16,3,2019-01-04,TN,CHOLECYSTECTOMY
30-39,6,7,1,2019-01-04,TN,CYSTOSCOPY
30-39,5,7,1,2019-01-04,TN,HYSTEROSCOPY
30-39,1,2,1,2019-01-04,TN,MASTECTOMY
40-49,2,2,1,2019-01-04,TN,CATARACT
40-49,15,19,5,2019-01-04,TN,CHOLECYSTECTOMY
40-49,8,10,4,2019-01-04,TN,CYSTOSCOPY
40-49,3,4,1,2019-01-04,TN,HIP REPLACEMENT
40-49,1,2,1,2019-01-04,TN,HYSTEROSCOPY
40-49,3,4,1,2019-01-04,TN,MASTECTOMY
40-49,1,2,1,2019-01-04,TN,PROSTATECTOMY
50-64,24,34,4,2019-01-04,TN,CATARACT
50-64,15,18,3,2019-01-04,TN,CHOLECYSTECTOMY
50-64,35,38,4,2019-01-04,TN,CYSTOSCOPY
50-64,2,2,2,2019-01-04,TN,HIP REPLACEMENT
50-64,15,16,2,2019-01-04,TN,HYSTEROSCOPY
50-64,8,13,3,2019-01-04,TN,KNEE REPLACEMENT
50-64,3,3,1,2019-01-04,TN,MASTECTOMY
50-64,2,2,2,2019-01-04,TN,PROSTATECTOMY
65+,131,164,7,2019-01-04,TN,CATARACT
65+,19,23,2,2019-01-04,TN,CHOLECYSTECTOMY
65+,95,115,7,2019-01-04,TN,CYSTOSCOPY
65+,10,14,2,2019-01-04,TN,HIP REPLACEMENT
65+,1,1,1,2019-01-04,TN,HYSTEROSCOPY
65+,24,37,3,2019-01-04,TN,KNEE REPLACEMENT
65+,22,26,3,2019-01-04,TN,MASTECTOMY
65+,2,2,1,2019-01-04,TN,PROSTATECTOMY
18-29,1,1,1,2019-01-11,TN,CATARACT
18-29,27,35,7,2019-01-11,TN,CHOLECYSTECTOMY
18-29,9,9,3,2019-01-11,TN,CYSTOSCOPY
18-29,6,7,2,2019-01-11,TN,HYSTEROSCOPY
18-29,1,1,1,2019-01-11,TN,MASTECTOMY
30-39,33,38,8,2019-01-11,TN,CHOLECYSTECTOMY
30-39,19,20,2,2019-01-11,TN,CYSTOSCOPY
30-39,1,1,1,2019-01-11,TN,HIP REPLACEMENT
30-39,17,17,5,2019-01-11,TN,HYSTEROSCOPY
30-39,1,1,1,2019-01-11,TN,MASTECTOMY
40-49,5,6,3,2019-01-11,TN,CATARACT
40-49,32,46,7,2019-01-11,TN,CHOLECYSTECTOMY
40-49,29,33,4,2019-01-11,TN,CYSTOSCOPY
40-49,1,1,1,2019-01-11,TN,HIP REPLACEMENT
40-49,15,18,2,2019-01-11,TN,HYSTEROSCOPY
40-49,3,4,1,2019-01-11,TN,KNEE REPLACEMENT
40-49,12,17,4,2019-01-11,TN,MASTECTOMY
50-64,83,106,9,2019-01-11,TN,CATARACT
50-64,46,57,5,2019-01-11,TN,CHOLECYSTECTOMY
50-64,99,123,10,2019-01-11,TN,CYSTOSCOPY
50-64,15,25,4,2019-01-11,TN,HIP REPLACEMENT
50-64,21,29,5,2019-01-11,TN,HYSTEROSCOPY
50-64,36,61,7,2019-01-11,TN,KNEE REPLACEMENT
50-64,21,22,5,2019-01-11,TN,MASTECTOMY
50-64,10,14,4,2019-01-11,TN,PROSTATECTOMY
65+,4,5,2,2019-01-11,TN,CABG
65+,437,553,18,2019-01-11,TN,CATARACT
65+,40,47,5,2019-01-11,TN,CHOLECYSTECTOMY
65+,1,1,1,2019-01-11,TN,COSMETIC RECONSTRUCTION
65+,322,394,13,2019-01-11,TN,CYSTOSCOPY
65+,19,25,3,2019-01-11,TN,HIP REPLACEMENT
65+,11,12,2,2019-01-11,TN,HYSTEROSCOPY
65+,78,107,7,2019-01-11,TN,KNEE REPLACEMENT
65+,33,38,2,2019-01-11,TN,MASTECTOMY
65+,17,22,3,2019-01-11,TN,PROSTATECTOMY
18-29,1,1,1,2019-01-18,TN,CATARACT
18-29,36,42,5,2019-01-18,TN,CHOLECYSTECTOMY
18-29,8,9,3,2019-01-18,TN,CYSTOSCOPY
18-29,1,2,2,2019-01-18,TN,HIP REPLACEMENT
18-29,7,8,3,2019-01-18,TN,HYSTEROSCOPY
30-39,32,38,9,2019-01-18,TN,CHOLECYSTECTOMY
30-39,18,20,3,2019-01-18,TN,CYSTOSCOPY
30-39,2,2,1,2019-01-18,TN,HIP REPLACEMENT
30-39,23,29,4,2019-01-18,TN,HYSTEROSCOPY
30-39,3,3,1,2019-01-18,TN,MASTECTOMY
40-49,7,11,1,2019-01-18,TN,CATARACT
40-49,40,53,12,2019-01-18,TN,CHOLECYSTECTOMY
40-49,45,53,5,2019-01-18,TN,CYSTOSCOPY
40-49,4,6,2,2019-01-18,TN,HIP REPLACEMENT
40-49,21,29,9,2019-01-18,TN,HYSTEROSCOPY
40-49,6,10,2,2019-01-18,TN,KNEE REPLACEMENT
40-49,11,13,6,2019-01-18,TN,MASTECTOMY
40-49,1,2,2,2019-01-18,TN,PROSTATECTOMY
50-64,95,121,10,2019-01-18,TN,CATARACT
50-64,53,67,10,2019-01-18,TN,CHOLECYSTECTOMY
50-64,122,144,11,2019-01-18,TN,CYSTOSCOPY
50-64,22,29,4,2019-01-18,TN,HIP REPLACEMENT
50-64,31,39,10,2019-01-18,TN,HYSTEROSCOPY
50-64,30,38,5,2019-01-18,TN,KNEE REPLACEMENT
50-64,26,30,4,2019-01-18,TN,MASTECTOMY
50-64,6,11,2,2019-01-18,TN,PROSTATECTOMY
65+,3,3,2,2019-01-18,TN,CABG
65+,478,615,13,2019-01-18,TN,CATARACT
65+,78,89,9,2019-01-18,TN,CHOLECYSTECTOMY
65+,356,420,16,2019-01-18,TN,CYSTOSCOPY
65+,26,41,5,2019-01-18,TN,HIP REPLACEMENT
65+,18,20,2,2019-01-18,TN,HYSTEROSCOPY
65+,87,115,7,2019-01-18,TN,KNEE REPLACEMENT
65+,40,49,4,2019-01-18,TN,MASTECTOMY
65+,15,24,4,2019-01-18,TN,PROSTATECTOMY
18-29,37,42,7,2019-01-25,TN,CHOLECYSTECTOMY
18-29,6,8,3,2019-01-25,TN,CYSTOSCOPY
18-29,1,1,1,2019-01-25,TN,HYSTEROSCOPY
30-39,39,43,7,2019-01-25,TN,CHOLECYSTECTOMY
30-39,15,16,1,2019-01-25,TN,CYSTOSCOPY
30-39,2,2,1,2019-01-25,TN,HIP REPLACEMENT
30-39,23,29,7,2019-01-25,TN,HYSTEROSCOPY
30-39,3,4,1,2019-01-25,TN,KNEE REPLACEMENT
30-39,3,5,1,2019-01-25,TN,MASTECTOMY
40-49,2,2,1,2019-01-25,TN,CATARACT
40-49,35,42,6,2019-01-25,TN,CHOLECYSTECTOMY
40-49,31,32,3,2019-01-25,TN,CYSTOSCOPY
40-49,2,2,1,2019-01-25,TN,HIP REPLACEMENT
40-49,26,29,6,2019-01-25,TN,HYSTEROSCOPY
40-49,2,2,2,2019-01-25,TN,KNEE REPLACEMENT
40-49,14,16,4,2019-01-25,TN,MASTECTOMY
40-49,1,1,1,2019-01-25,TN,PROSTATECTOMY
50-64,88,109,10,2019-01-25,TN,CATARACT
50-64,59,73,6,2019-01-25,TN,CHOLECYSTECTOMY
50-64,108,142,10,2019-01-25,TN,CYSTOSCOPY
50-64,20,26,12,2019-01-25,TN,HIP REPLACEMENT
50-64,29,34,4,2019-01-25,TN,HYSTEROSCOPY
50-64,43,61,10,2019-01-25,TN,KNEE REPLACEMENT
50-64,26,37,4,2019-01-25,TN,MASTECTOMY
50-64,15,19,3,2019-01-25,TN,PROSTATECTOMY
65+,1,1,1,2019-01-25,TN,CABG
65+,422,527,13,2019-01-25,TN,CATARACT
65+,58,64,6,2019-01-25,TN,CHOLECYSTECTOMY
65+,336,391,16,2019-01-25,TN,CYSTOSCOPY
65+,24,32,5,2019-01-25,TN,HIP REPLACEMENT
65+,13,17,4,2019-01-25,TN,HYSTEROSCOPY
65+,96,129,7,2019-01-25,TN,KNEE REPLACEMENT
65+,39,48,3,2019-01-25,TN,MASTECTOMY
65+,10,12,2,2019-01-25,TN,PROSTATECTOMY
18-29,1,1,1,2019-02-01,TN,CATARACT
18-29,43,53,6,2019-02-01,TN,CHOLECYSTECTOMY
18-29,8,11,2,2019-02-01,TN,CYSTOSCOPY
18-29,1,1,1,2019-02-01,TN,HIP REPLACEMENT
18-29,4,5,1,2019-02-01,TN,HYSTEROSCOPY
18-29,2,2,1,2019-02-01,TN,MASTECTOMY
30-39,3,4,1,2019-02-01,TN,CATARACT
30-39,38,44,8,2019-02-01,TN,CHOLECYSTECTOMY
30-39,14,16,2,2019-02-01,TN,CYSTOSCOPY
30-39,3,5,1,2019-02-01,TN,HIP REPLACEMENT
30-39,19,22,4,2019-02-01,TN,HYSTEROSCOPY
30-39,2,2,2,2019-02-01,TN,MASTECTOMY
40-49,3,4,1,2019-02-01,TN,CATARACT
40-49,42,55,7,2019-02-01,TN,CHOLECYSTECTOMY
40-49,26,30,4,2019-02-01,TN,CYSTOSCOPY
40-49,8,13,2,2019-02-01,TN,HIP REPLACEMENT
40-49,16,19,5,2019-02-01,TN,HYSTEROSCOPY
40-49,5,7,2,2019-02-01,TN,KNEE REPLACEMENT
40-49,12,15,2,2019-02-01,TN,MASTECTOMY
40-49,2,5,1,2019-02-01,TN,PROSTATECTOMY
50-64,84,106,12,2019-02-01,TN,CATARACT
50-64,60,71,7,2019-02-01,TN,CHOLECYSTECTOMY
50-64,92,108,10,2019-02-01,TN,CYSTOSCOPY
50-64,23,37,7,2019-02-01,TN,HIP REPLACEMENT
50-64,29,33,4,2019-02-01,TN,HYSTEROSCOPY
50-64,29,46,7,2019-02-01,TN,KNEE REPLACEMENT
50-64,20,25,4,2019-02-01,TN,MASTECTOMY
50-64,4,5,1,2019-02-01,TN,PROSTATECTOMY
65+,2,3,1,2019-02-01,TN,CABG
65+,381,516,11,2019-02-01,TN,CATARACT
65+,48,60,6,2019-02-01,TN,CHOLECYSTECTOMY
65+,277,332,11,2019-02-01,TN,CYSTOSCOPY
65+,23,34,5,2019-02-01,TN,HIP REPLACEMENT
65+,13,13,2,2019-02-01,TN,HYSTEROSCOPY
65+,93,118,7,2019-02-01,TN,KNEE REPLACEMENT
65+,28,33,5,2019-02-01,TN,MASTECTOMY
65+,17,23,4,2019-02-01,TN,PROSTATECTOMY
18-29,37,43,4,2019-02-08,TN,CHOLECYSTECTOMY
18-29,8,9,1,2019-02-08,TN,CYSTOSCOPY
18-29,10,16,10,2019-02-08,TN,HYSTEROSCOPY
30-39,1,1,1,2019-02-08,TN,CATARACT
30-39,31,38,15,2019-02-08,TN,CHOLECYSTECTOMY
30-39,10,10,3,2019-02-08,TN,CYSTOSCOPY
30-39,1,1,1,2019-02-08,TN,HIP REPLACEMENT
30-39,16,21,5,2019-02-08,TN,HYSTEROSCOPY
30-39,1,1,1,2019-02-08,TN,KNEE REPLACEMENT
30-39,5,8,3,2019-02-08,TN,MASTECTOMY
40-49,8,12,2,2019-02-08,TN,CATARACT
40-49,33,37,4,2019-02-08,TN,CHOLECYSTECTOMY
40-49,30,34,6,2019-02-08,TN,CYSTOSCOPY
40-49,9,10,2,2019-02-08,TN,HIP REPLACEMENT
40-49,24,31,4,2019-02-08,TN,HYSTEROSCOPY
40-49,6,7,1,2019-02-08,TN,KNEE REPLACEMENT
40-49,7,9,3,2019-02-08,TN,MASTECTOMY
50-64,1,1,1,2019-02-08,TN,CABG
50-64,89,108,10,2019-02-08,TN,CATARACT
50-64,54,67,8,2019-02-08,TN,CHOLECYSTECTOMY
50-64,111,127,10,2019-02-08,TN,CYSTOSCOPY
50-64,15,26,4,2019-02-08,TN,HIP REPLACEMENT
50-64,26,32,4,2019-02-08,TN,HYSTEROSCOPY
50-64,43,54,6,2019-02-08,TN,KNEE REPLACEMENT
50-64,16,20,3,2019-02-08,TN,MASTECTOMY
50-64,16,23,5,2019-02-08,TN,PROSTATECTOMY
65+,1,1,1,2019-02-08,TN,CABG
65+,451,563,13,2019-02-08,TN,CATARACT
65+,52,62,5,2019-02-08,TN,CHOLECYSTECTOMY
65+,319,366,13,2019-02-08,TN,CYSTOSCOPY
65+,24,34,5,2019-02-08,TN,HIP REPLACEMENT
65+,8,9,1,2019-02-08,TN,HYSTEROSCOPY
65+,77,108,9,2019-02-08,TN,KNEE REPLACEMENT
65+,36,42,4,2019-02-08,TN,MASTECTOMY
65+,14,19,3,2019-02-08,TN,PROSTATECTOMY
18-29,1,1,1,2019-02-15,TN,CATARACT
18-29,40,50,8,2019-02-15,TN,CHOLECYSTECTOMY
18-29,14,19,2,2019-02-15,TN,CYSTOSCOPY
18-29,9,10,2,2019-02-15,TN,HYSTEROSCOPY
18-29,1,1,1,2019-02-15,TN,MASTECTOMY
30-39,2,2,2,2019-02-15,TN,CATARACT
30-39,26,31,5,2019-02-15,TN,CHOLECYSTECTOMY
30-39,21,21,3,2019-02-15,TN,CYSTOSCOPY
30-39,6,7,2,2019-02-15,TN,HIP REPLACEMENT
30-39,27,32,6,2019-02-15,TN,HYSTEROSCOPY
30-39,1,1,1,2019-02-15,TN,KNEE REPLACEMENT
30-39,9,12,3,2019-02-15,TN,MASTECTOMY
40-49,7,9,3,2019-02-15,TN,CATARACT
40-49,38,54,8,2019-02-15,TN,CHOLECYSTECTOMY
40-49,31,36,3,2019-02-15,TN,CYSTOSCOPY
40-49,6,9,2,2019-02-15,TN,HIP REPLACEMENT
40-49,15,18,3,2019-02-15,TN,HYSTEROSCOPY
40-49,3,4,1,2019-02-15,TN,KNEE REPLACEMENT
40-49,10,11,3,2019-02-15,TN,MASTECTOMY
40-49,1,1,1,2019-02-15,TN,PROSTATECTOMY
50-64,2,3,1,2019-02-15,TN,CABG
50-64,103,146,9,2019-02-15,TN,CATARACT
50-64,54,64,11,2019-02-15,TN,CHOLECYSTECTOMY
50-64,103,124,9,2019-02-15,TN,CYSTOSCOPY
50-64,16,24,4,2019-02-15,TN,HIP REPLACEMENT
50-64,27,36,4,2019-02-15,TN,HYSTEROSCOPY
50-64,36,56,6,2019-02-15,TN,KNEE REPLACEMENT
50-64,15,20,4,2019-02-15,TN,MASTECTOMY
50-64,7,11,2,2019-02-15,TN,PROSTATECTOMY
65+,2,2,1,2019-02-15,TN,CABG
65+,416,551,12,2019-02-15,TN,CATARACT
65+,37,43,4,2019-02-15,TN,CHOLECYSTECTOMY
65+,321,379,13,2019-02-15,TN,CYSTOSCOPY
65+,26,36,5,2019-02-15,TN,HIP REPLACEMENT
65+,10,10,2,2019-02-15,TN,HYSTEROSCOPY
65+,80,107,9,2019-02-15,TN,KNEE REPLACEMENT
65+,29,33,5,2019-02-15,TN,MASTECTOMY
65+,15,21,3,2019-02-15,TN,PROSTATECTOMY
18-29,19,27,6,2019-02-22,TN,CHOLECYSTECTOMY
18-29,10,11,2,2019-02-22,TN,CYSTOSCOPY
18-29,6,7,6,2019-02-22,TN,HYSTEROSCOPY
30-39,1,2,1,2019-02-22,TN,CATARACT
30-39,32,41,5,2019-02-22,TN,CHOLECYSTECTOMY
30-39,13,14,2,2019-02-22,TN,CYSTOSCOPY
30-39,24,30,3,2019-02-22,TN,HYSTEROSCOPY
30-39,3,3,1,2019-02-22,TN,MASTECTOMY
40-49,1,1,1,2019-02-22,TN,CABG
40-49,12,16,3,2019-02-22,TN,CATARACT
40-49,36,44,7,2019-02-22,TN,CHOLECYSTECTOMY
40-49,31,37,4,2019-02-22,TN,CYSTOSCOPY
40-49,6,10,2,2019-02-22,TN,HIP REPLACEMENT
40-49,21,26,4,2019-02-22,TN,HYSTEROSCOPY
40-49,8,10,2,2019-02-22,TN,KNEE REPLACEMENT
40-49,14,18,2,2019-02-22,TN,MASTECTOMY
50-64,103,140,10,2019-02-22,TN,CATARACT
50-64,56,61,8,2019-02-22,TN,CHOLECYSTECTOMY
50-64,105,134,8,2019-02-22,TN,CYSTOSCOPY
50-64,16,34,7,2019-02-22,TN,HIP REPLACEMENT
50-64,18,19,4,2019-02-22,TN,HYSTEROSCOPY
50-64,32,43,8,2019-02-22,TN,KNEE REPLACEMENT
50-64,24,29,3,2019-02-22,TN,MASTECTOMY
50-64,14,20,3,2019-02-22,TN,PROSTATECTOMY
65+,5,7,1,2019-02-22,TN,CABG
65+,495,644,14,2019-02-22,TN,CATARACT
65+,42,47,5,2019-02-22,TN,CHOLECYSTECTOMY
65+,1,1,1,2019-02-22,TN,COSMETIC RECONSTRUCTION
65+,320,373,14,2019-02-22,TN,CYSTOSCOPY
65+,19,29,4,2019-02-22,TN,HIP REPLACEMENT
65+,17,19,1,2019-02-22,TN,HYSTEROSCOPY
65+,77,107,7,2019-02-22,TN,KNEE REPLACEMENT
65+,29,33,3,2019-02-22,TN,MASTECTOMY
65+,15,22,4,2019-02-22,TN,PROSTATECTOMY
18-29,27,34,8,2019-03-01,TN,CHOLECYSTECTOMY
18-29,11,12,3,2019-03-01,TN,CYSTOSCOPY
18-29,7,10,7,2019-03-01,TN,HYSTEROSCOPY
30-39,1,2,1,2019-03-01,TN,CATARACT
30-39,38,50,6,2019-03-01,TN,CHOLECYSTECTOMY
30-39,13,15,3,2019-03-01,TN,CYSTOSCOPY
30-39,11,13,3,2019-03-01,TN,HYSTEROSCOPY
30-39,3,3,1,2019-03-01,TN,KNEE REPLACEMENT
30-39,5,7,5,2019-03-01,TN,MASTECTOMY
40-49,9,11,8,2019-03-01,TN,CATARACT
40-49,37,49,6,2019-03-01,TN,CHOLECYSTECTOMY
40-49,35,37,5,2019-03-01,TN,CYSTOSCOPY
40-49,1,1,1,2019-03-01,TN,HIP REPLACEMENT
40-49,23,32,7,2019-03-01,TN,HYSTEROSCOPY
40-49,9,13,2,2019-03-01,TN,KNEE REPLACEMENT
40-49,10,12,3,2019-03-01,TN,MASTECTOMY
50-64,113,149,10,2019-03-01,TN,CATARACT
50-64,33,37,6,2019-03-01,TN,CHOLECYSTECTOMY
50-64,1,1,1,2019-03-01,TN,COSMETIC RECONSTRUCTION
50-64,118,143,11,2019-03-01,TN,CYSTOSCOPY
50-64,21,35,5,2019-03-01,TN,HIP REPLACEMENT
50-64,26,32,6,2019-03-01,TN,HYSTEROSCOPY
50-64,38,54,5,2019-03-01,TN,KNEE REPLACEMENT
50-64,26,31,5,2019-03-01,TN,MASTECTOMY
50-64,14,24,4,2019-03-01,TN,PROSTATECTOMY
65+,3,3,3,2019-03-01,TN,CABG
65+,478,610,16,2019-03-01,TN,CATARACT
65+,56,67,6,2019-03-01,TN,CHOLECYSTECTOMY
65+,1,1,1,2019-03-01,TN,COSMETIC RECONSTRUCTION
65+,337,404,15,2019-03-01,TN,CYSTOSCOPY
65+,22,34,5,2019-03-01,TN,HIP REPLACEMENT
