age,patients,claims,physicians,week,state,elective
18-29,1,1,1,2019-01-04,TX,CATARACT
18-29,34,44,5,2019-01-04,TX,CHOLECYSTECTOMY
18-29,7,10,2,2019-01-04,TX,CYSTOSCOPY
18-29,8,11,2,2019-01-04,TX,HYSTEROSCOPY
18-29,1,1,1,2019-01-04,TX,KNEE REPLACEMENT
18-29,1,1,1,2019-01-04,TX,MASTECTOMY
30-39,1,1,1,2019-01-04,TX,CATARACT
30-39,30,41,8,2019-01-04,TX,CHOLECYSTECTOMY
30-39,8,10,2,2019-01-04,TX,CYSTOSCOPY
30-39,9,9,3,2019-01-04,TX,HYSTEROSCOPY
30-39,1,2,1,2019-01-04,TX,KNEE REPLACEMENT
30-39,7,8,1,2019-01-04,TX,MASTECTOMY
40-49,7,11,2,2019-01-04,TX,CATARACT
40-49,31,37,4,2019-01-04,TX,CHOLECYSTECTOMY
40-49,28,35,4,2019-01-04,TX,CYSTOSCOPY
40-49,1,1,1,2019-01-04,TX,HIP REPLACEMENT
40-49,17,21,5,2019-01-04,TX,HYSTEROSCOPY
40-49,3,4,1,2019-01-04,TX,KNEE REPLACEMENT
40-49,9,12,3,2019-01-04,TX,MASTECTOMY
40-49,1,2,1,2019-01-04,TX,PROSTATECTOMY
50-64,119,165,11,2019-01-04,TX,CATARACT
50-64,42,58,5,2019-01-04,TX,CHOLECYSTECTOMY
50-64,74,81,7,2019-01-04,TX,CYSTOSCOPY
50-64,8,12,9,2019-01-04,TX,HIP REPLACEMENT
50-64,8,8,2,2019-01-04,TX,HYSTEROSCOPY
50-64,20,27,5,2019-01-04,TX,KNEE REPLACEMENT
50-64,38,48,4,2019-01-04,TX,MASTECTOMY
50-64,3,6,1,2019-01-04,TX,PROSTATECTOMY
65+,1,1,1,2019-01-04,TX,CABG
65+,405,519,18,2019-01-04,TX,CATARACT
65+,47,52,4,2019-01-04,TX,CHOLECYSTECTOMY
65+,211,228,8,2019-01-04,TX,CYSTOSCOPY
65+,18,30,4,2019-01-04,TX,HIP REPLACEMENT
65+,6,7,1,2019-01-04,TX,HYSTEROSCOPY
65+,28,35,4,2019-01-04,TX,KNEE REPLACEMENT
65+,37,48,2,2019-01-04,TX,MASTECTOMY
65+,5,7,2,2019-01-04,TX,PROSTATECTOMY
18-29,1,1,1,2019-01-11,TX,CATARACT
18-29,99,128,10,2019-01-11,TX,CHOLECYSTECTOMY
18-29,17,19,2,2019-01-11,TX,CYSTOSCOPY
18-29,20,23,2,2019-01-11,TX,HYSTEROSCOPY
18-29,1,1,1,2019-01-11,TX,KNEE REPLACEMENT
18-29,12,16,2,2019-01-11,TX,MASTECTOMY
30-39,5,5,4,2019-01-11,TX,CATARACT
30-39,113,144,12,2019-01-11,TX,CHOLECYSTECTOMY
30-39,25,27,3,2019-01-11,TX,CYSTOSCOPY
30-39,1,2,1,2019-01-11,TX,HIP REPLACEMENT
30-39,61,70,6,2019-01-11,TX,HYSTEROSCOPY
30-39,17,20,3,2019-01-11,TX,MASTECTOMY
40-49,1,1,1,2019-01-11,TX,CABG
40-49,20,30,8,2019-01-11,TX,CATARACT
40-49,96,129,13,2019-01-11,TX,CHOLECYSTECTOMY
40-49,58,67,9,2019-01-11,TX,CYSTOSCOPY
40-49,9,11,5,2019-01-11,TX,HIP REPLACEMENT
40-49,50,56,15,2019-01-11,TX,HYSTEROSCOPY
40-49,6,9,2,2019-01-11,TX,KNEE REPLACEMENT
40-49,38,46,4,2019-01-11,TX,MASTECTOMY
40-49,2,5,3,2019-01-11,TX,PROSTATECTOMY
50-64,1,2,2,2019-01-11,TX,CABG
50-64,303,417,27,2019-01-11,TX,CATARACT
50-64,166,206,15,2019-01-11,TX,CHOLECYSTECTOMY
50-64,243,266,15,2019-01-11,TX,CYSTOSCOPY
50-64,42,54,9,2019-01-11,TX,HIP REPLACEMENT
50-64,48,55,11,2019-01-11,TX,HYSTEROSCOPY
50-64,97,151,13,2019-01-11,TX,KNEE REPLACEMENT
50-64,99,134,6,2019-01-11,TX,MASTECTOMY
50-64,21,26,2,2019-01-11,TX,PROSTATECTOMY
65+,4,7,2,2019-01-11,TX,CABG
65+,1421,1810,42,2019-01-11,TX,CATARACT
65+,151,176,9,2019-01-11,TX,CHOLECYSTECTOMY
65+,674,731,19,2019-01-11,TX,CYSTOSCOPY
65+,86,138,12,2019-01-11,TX,HIP REPLACEMENT
65+,28,31,3,2019-01-11,TX,HYSTEROSCOPY
65+,235,326,16,2019-01-11,TX,KNEE REPLACEMENT
65+,172,207,7,2019-01-11,TX,MASTECTOMY
65+,25,37,4,2019-01-11,TX,PROSTATECTOMY
18-29,2,3,1,2019-01-18,TX,CATARACT
18-29,110,135,17,2019-01-18,TX,CHOLECYSTECTOMY
18-29,14,14,2,2019-01-18,TX,CYSTOSCOPY
18-29,2,2,1,2019-01-18,TX,HIP REPLACEMENT
18-29,28,36,7,2019-01-18,TX,HYSTEROSCOPY
18-29,1,1,1,2019-01-18,TX,KNEE REPLACEMENT
18-29,4,4,1,2019-01-18,TX,MASTECTOMY
30-39,1,1,1,2019-01-18,TX,CABG
30-39,4,7,5,2019-01-18,TX,CATARACT
30-39,115,151,14,2019-01-18,TX,CHOLECYSTECTOMY
30-39,46,48,4,2019-01-18,TX,CYSTOSCOPY
