age,patients,claims,physicians,week,state,elective
18-29,6,10,3,2019-01-04,UT,CHOLECYSTECTOMY
18-29,1,1,1,2019-01-04,UT,MASTECTOMY
30-39,1,2,1,2019-01-04,UT,CATARACT
30-39,13,21,5,2019-01-04,UT,CHOLECYSTECTOMY
30-39,1,1,1,2019-01-04,UT,CYSTOSCOPY
30-39,1,1,1,2019-01-04,UT,KNEE REPLACEMENT
30-39,2,4,2,2019-01-04,UT,MASTECTOMY
40-49,1,2,1,2019-01-04,UT,CATARACT
40-49,5,9,2,2019-01-04,UT,CHOLECYSTECTOMY
40-49,1,1,1,2019-01-04,UT,CYSTOSCOPY
40-49,3,4,3,2019-01-04,UT,MASTECTOMY
50-64,5,6,1,2019-01-04,UT,CATARACT
50-64,3,3,3,2019-01-04,UT,CHOLECYSTECTOMY
50-64,8,8,1,2019-01-04,UT,CYSTOSCOPY
50-64,4,8,4,2019-01-04,UT,MASTECTOMY
65+,34,43,3,2019-01-04,UT,CATARACT
65+,12,18,2,2019-01-04,UT,CHOLECYSTECTOMY
65+,9,10,1,2019-01-04,UT,CYSTOSCOPY
65+,1,1,1,2019-01-04,UT,HIP REPLACEMENT
65+,9,10,1,2019-01-04,UT,KNEE REPLACEMENT
65+,1,2,2,2019-01-04,UT,MASTECTOMY
65+,1,1,1,2019-01-04,UT,PROSTATECTOMY
18-29,15,18,4,2019-01-11,UT,CHOLECYSTECTOMY
18-29,2,2,1,2019-01-11,UT,CYSTOSCOPY
18-29,2,2,1,2019-01-11,UT,HYSTEROSCOPY
30-39,16,24,9,2019-01-11,UT,CHOLECYSTECTOMY
30-39,1,1,1,2019-01-11,UT,CYSTOSCOPY
30-39,1,1,1,2019-01-11,UT,HYSTEROSCOPY
30-39,1,1,1,2019-01-11,UT,MASTECTOMY
40-49,21,32,4,2019-01-11,UT,CHOLECYSTECTOMY
40-49,4,5,1,2019-01-11,UT,CYSTOSCOPY
40-49,1,1,1,2019-01-11,UT,HIP REPLACEMENT
40-49,3,4,1,2019-01-11,UT,HYSTEROSCOPY
40-49,2,3,1,2019-01-11,UT,MASTECTOMY
50-64,17,19,4,2019-01-11,UT,CATARACT
50-64,20,35,4,2019-01-11,UT,CHOLECYSTECTOMY
50-64,7,8,2,2019-01-11,UT,CYSTOSCOPY
50-64,3,3,1,2019-01-11,UT,HIP REPLACEMENT
