age,patients,claims,physicians,week,state,elective
30-39,1,1,1,2019-01-04,VT,CATARACT
50-64,5,6,2,2019-01-04,VT,CATARACT
65+,58,77,3,2019-01-04,VT,CATARACT
65+,4,4,1,2019-01-04,VT,CYSTOSCOPY
18-29,2,3,0,2019-01-11,VT,HYSTEROSCOPY
40-49,1,1,1,2019-01-11,VT,CATARACT
40-49,1,1,1,2019-01-11,VT,HYSTEROSCOPY
50-64,2,3,1,2019-01-11,VT,CATARACT
50-64,9,9,4,2019-01-11,VT,CYSTOSCOPY
50-64,3,4,4,2019-01-11,VT,HIP REPLACEMENT
50-64,3,4,1,2019-01-11,VT,HYSTEROSCOPY
50-64,2,3,1,2019-01-11,VT,KNEE REPLACEMENT
65+,46,48,2,2019-01-11,VT,CATARACT
65+,11,14,1,2019-01-11,VT,CYSTOSCOPY
65+,3,8,3,2019-01-11,VT,HIP REPLACEMENT
65+,1,1,1,2019-01-11,VT,HYSTEROSCOPY
65+,4,8,3,2019-01-11,VT,KNEE REPLACEMENT
65+,1,1,1,2019-01-11,VT,MASTECTOMY
65+,1,3,1,2019-01-11,VT,PROSTATECTOMY
18-29,1,1,1,2019-01-18,VT,CYSTOSCOPY
40-49,1,1,1,2019-01-18,VT,CATARACT
40-49,1,2,1,2019-01-18,VT,CHOLECYSTECTOMY
40-49,1,3,1,2019-01-18,VT,MASTECTOMY
50-64,8,8,1,2019-01-18,VT,CATARACT
50-64,3,4,2,2019-01-18,VT,CYSTOSCOPY
50-64,1,2,1,2019-01-18,VT,KNEE REPLACEMENT
65+,85,107,4,2019-01-18,VT,CATARACT
65+,1,1,1,2019-01-18,VT,CHOLECYSTECTOMY
65+,5,7,2,2019-01-18,VT,CYSTOSCOPY
65+,3,6,2,2019-01-18,VT,HIP REPLACEMENT
65+,4,8,2,2019-01-18,VT,KNEE REPLACEMENT
65+,2,3,1,2019-01-18,VT,MASTECTOMY
65+,1,1,1,2019-01-18,VT,PROSTATECTOMY
30-39,3,5,1,2019-01-25,VT,CHOLECYSTECTOMY
30-39,1,1,1,2019-01-25,VT,CYSTOSCOPY
40-49,2,3,0,2019-01-25,VT,CATARACT
40-49,1,2,1,2019-01-25,VT,HYSTEROSCOPY
50-64,5,5,2,2019-01-25,VT,CATARACT
50-64,2,2,2,2019-01-25,VT,CYSTOSCOPY
50-64,1,2,2,2019-01-25,VT,HIP REPLACEMENT
50-64,2,2,1,2019-01-25,VT,HYSTEROSCOPY
50-64,3,7,2,2019-01-25,VT,KNEE REPLACEMENT
50-64,1,1,1,2019-01-25,VT,MASTECTOMY
65+,57,61,2,2019-01-25,VT,CATARACT
65+,2,4,1,2019-01-25,VT,CHOLECYSTECTOMY
65+,12,15,1,2019-01-25,VT,CYSTOSCOPY
65+,1,2,2,2019-01-25,VT,HIP REPLACEMENT
65+,2,2,1,2019-01-25,VT,HYSTEROSCOPY
65+,1,2,2,2019-01-25,VT,KNEE REPLACEMENT
65+,1,1,1,2019-01-25,VT,MASTECTOMY
18-29,2,3,1,2019-02-01,VT,CHOLECYSTECTOMY
