age,patients,claims,physicians,week,state,elective
18-29,1,2,1,2019-01-04,WA,CATARACT
18-29,10,13,1,2019-01-04,WA,CHOLECYSTECTOMY
18-29,4,6,1,2019-01-04,WA,CYSTOSCOPY
18-29,1,2,1,2019-01-04,WA,HYSTEROSCOPY
30-39,1,3,1,2019-01-04,WA,CATARACT
30-39,7,10,1,2019-01-04,WA,CHOLECYSTECTOMY
30-39,5,6,1,2019-01-04,WA,CYSTOSCOPY
30-39,3,3,1,2019-01-04,WA,HYSTEROSCOPY
30-39,2,3,1,2019-01-04,WA,MASTECTOMY
40-49,1,2,1,2019-01-04,WA,CATARACT
40-49,9,11,4,2019-01-04,WA,CHOLECYSTECTOMY
40-49,8,9,2,2019-01-04,WA,CYSTOSCOPY
40-49,1,2,2,2019-01-04,WA,HIP REPLACEMENT
40-49,5,6,2,2019-01-04,WA,HYSTEROSCOPY
40-49,2,4,2,2019-01-04,WA,KNEE REPLACEMENT
40-49,3,6,4,2019-01-04,WA,MASTECTOMY
50-64,21,33,4,2019-01-04,WA,CATARACT
50-64,12,23,4,2019-01-04,WA,CHOLECYSTECTOMY
50-64,37,45,3,2019-01-04,WA,CYSTOSCOPY
50-64,6,13,3,2019-01-04,WA,HIP REPLACEMENT
50-64,5,9,2,2019-01-04,WA,HYSTEROSCOPY
50-64,9,15,3,2019-01-04,WA,KNEE REPLACEMENT
50-64,14,22,4,2019-01-04,WA,MASTECTOMY
50-64,1,2,1,2019-01-04,WA,PROSTATECTOMY
65+,138,191,5,2019-01-04,WA,CATARACT
65+,10,15,1,2019-01-04,WA,CHOLECYSTECTOMY
65+,62,65,3,2019-01-04,WA,CYSTOSCOPY
65+,4,6,3,2019-01-04,WA,HIP REPLACEMENT
65+,1,1,1,2019-01-04,WA,HYSTEROSCOPY
65+,19,36,2,2019-01-04,WA,KNEE REPLACEMENT
65+,12,13,2,2019-01-04,WA,MASTECTOMY
65+,4,4,1,2019-01-04,WA,PROSTATECTOMY
18-29,1,2,1,2019-01-11,WA,CATARACT
18-29,19,25,4,2019-01-11,WA,CHOLECYSTECTOMY
18-29,6,7,2,2019-01-11,WA,CYSTOSCOPY
18-29,2,2,2,2019-01-11,WA,HYSTEROSCOPY
18-29,1,1,1,2019-01-11,WA,MASTECTOMY
30-39,39,65,5,2019-01-11,WA,CHOLECYSTECTOMY
30-39,18,23,3,2019-01-11,WA,CYSTOSCOPY
30-39,1,4,2,2019-01-11,WA,HIP REPLACEMENT
30-39,22,30,5,2019-01-11,WA,HYSTEROSCOPY
30-39,1,1,1,2019-01-11,WA,KNEE REPLACEMENT
30-39,6,9,3,2019-01-11,WA,MASTECTOMY
40-49,6,10,3,2019-01-11,WA,CATARACT
40-49,26,42,6,2019-01-11,WA,CHOLECYSTECTOMY
40-49,16,21,2,2019-01-11,WA,CYSTOSCOPY
40-49,5,8,3,2019-01-11,WA,HIP REPLACEMENT
40-49,11,13,5,2019-01-11,WA,HYSTEROSCOPY
40-49,7,12,2,2019-01-11,WA,KNEE REPLACEMENT
40-49,15,29,5,2019-01-11,WA,MASTECTOMY
50-64,80,134,14,2019-01-11,WA,CATARACT
50-64,28,47,5,2019-01-11,WA,CHOLECYSTECTOMY
