age,patients,claims,physicians,week,state,elective
18-29,3,4,3,2019-01-04,WI,CHOLECYSTECTOMY
18-29,1,1,1,2019-01-04,WI,CYSTOSCOPY
18-29,1,1,1,2019-01-04,WI,HYSTEROSCOPY
30-39,6,10,2,2019-01-04,WI,CHOLECYSTECTOMY
30-39,2,2,2,2019-01-04,WI,CYSTOSCOPY
30-39,1,2,2,2019-01-04,WI,HIP REPLACEMENT
30-39,6,6,2,2019-01-04,WI,HYSTEROSCOPY
30-39,1,1,1,2019-01-04,WI,MASTECTOMY
40-49,2,2,0,2019-01-04,WI,CATARACT
40-49,3,4,3,2019-01-04,WI,CHOLECYSTECTOMY
40-49,3,4,1,2019-01-04,WI,CYSTOSCOPY
40-49,3,3,1,2019-01-04,WI,HYSTEROSCOPY
40-49,1,1,1,2019-01-04,WI,KNEE REPLACEMENT
40-49,2,4,2,2019-01-04,WI,MASTECTOMY
50-64,46,65,8,2019-01-04,WI,CATARACT
50-64,3,6,4,2019-01-04,WI,CHOLECYSTECTOMY
50-64,16,19,3,2019-01-04,WI,CYSTOSCOPY
50-64,6,8,2,2019-01-04,WI,HIP REPLACEMENT
50-64,1,1,1,2019-01-04,WI,HYSTEROSCOPY
50-64,12,19,3,2019-01-04,WI,KNEE REPLACEMENT
50-64,7,10,7,2019-01-04,WI,MASTECTOMY
50-64,2,5,1,2019-01-04,WI,PROSTATECTOMY
65+,220,285,11,2019-01-04,WI,CATARACT
65+,10,14,1,2019-01-04,WI,CHOLECYSTECTOMY
65+,43,51,4,2019-01-04,WI,CYSTOSCOPY
65+,13,22,3,2019-01-04,WI,HIP REPLACEMENT
65+,2,2,1,2019-01-04,WI,HYSTEROSCOPY
65+,14,27,5,2019-01-04,WI,KNEE REPLACEMENT
65+,9,14,2,2019-01-04,WI,MASTECTOMY
65+,5,7,2,2019-01-04,WI,PROSTATECTOMY
18-29,10,20,6,2019-01-11,WI,CHOLECYSTECTOMY
18-29,5,5,2,2019-01-11,WI,CYSTOSCOPY
18-29,7,7,2,2019-01-11,WI,HYSTEROSCOPY
18-29,2,4,2,2019-01-11,WI,MASTECTOMY
30-39,2,3,2,2019-01-11,WI,CATARACT
30-39,12,20,5,2019-01-11,WI,CHOLECYSTECTOMY
30-39,1,1,1,2019-01-11,WI,CYSTOSCOPY
30-39,1,1,1,2019-01-11,WI,HIP REPLACEMENT
30-39,13,16,3,2019-01-11,WI,HYSTEROSCOPY
30-39,2,3,1,2019-01-11,WI,MASTECTOMY
40-49,6,7,1,2019-01-11,WI,CATARACT
40-49,14,19,3,2019-01-11,WI,CHOLECYSTECTOMY
40-49,6,6,3,2019-01-11,WI,CYSTOSCOPY
40-49,2,4,1,2019-01-11,WI,HIP REPLACEMENT
40-49,8,12,2,2019-01-11,WI,HYSTEROSCOPY
40-49,5,7,1,2019-01-11,WI,KNEE REPLACEMENT
40-49,4,11,2,2019-01-11,WI,MASTECTOMY
50-64,100,138,11,2019-01-11,WI,CATARACT
50-64,17,22,6,2019-01-11,WI,CHOLECYSTECTOMY
50-64,36,40,5,2019-01-11,WI,CYSTOSCOPY
50-64,21,37,7,2019-01-11,WI,HIP REPLACEMENT
50-64,14,22,6,2019-01-11,WI,HYSTEROSCOPY
50-64,55,99,10,2019-01-11,WI,KNEE REPLACEMENT
50-64,18,33,6,2019-01-11,WI,MASTECTOMY
50-64,2,3,1,2019-01-11,WI,PROSTATECTOMY
65+,1,2,2,2019-01-11,WI,CABG
65+,581,722,21,2019-01-11,WI,CATARACT
65+,20,23,3,2019-01-11,WI,CHOLECYSTECTOMY
65+,140,166,8,2019-01-11,WI,CYSTOSCOPY
65+,42,67,8,2019-01-11,WI,HIP REPLACEMENT
65+,8,11,1,2019-01-11,WI,HYSTEROSCOPY
