age,patients,claims,physicians,week,state,elective
18-29,4,4,2,2019-01-04,WV,CHOLECYSTECTOMY
18-29,1,1,1,2019-01-04,WV,HYSTEROSCOPY
30-39,4,6,1,2019-01-04,WV,CHOLECYSTECTOMY
30-39,1,1,1,2019-01-04,WV,HYSTEROSCOPY
40-49,1,1,1,2019-01-04,WV,CATARACT
40-49,6,6,2,2019-01-04,WV,CHOLECYSTECTOMY
40-49,1,1,1,2019-01-04,WV,CYSTOSCOPY
40-49,4,4,1,2019-01-04,WV,HYSTEROSCOPY
50-64,13,16,2,2019-01-04,WV,CATARACT
50-64,9,12,9,2019-01-04,WV,CHOLECYSTECTOMY
50-64,5,7,1,2019-01-04,WV,CYSTOSCOPY
50-64,1,1,1,2019-01-04,WV,HIP REPLACEMENT
50-64,1,1,1,2019-01-04,WV,HYSTEROSCOPY
50-64,1,1,1,2019-01-04,WV,KNEE REPLACEMENT
50-64,1,1,1,2019-01-04,WV,PROSTATECTOMY
65+,83,102,4,2019-01-04,WV,CATARACT
65+,9,12,3,2019-01-04,WV,CHOLECYSTECTOMY
65+,22,27,2,2019-01-04,WV,CYSTOSCOPY
65+,3,5,1,2019-01-04,WV,HIP REPLACEMENT
65+,3,3,1,2019-01-04,WV,HYSTEROSCOPY
65+,2,2,2,2019-01-04,WV,KNEE REPLACEMENT
65+,10,13,2,2019-01-04,WV,MASTECTOMY
65+,1,1,1,2019-01-04,WV,PROSTATECTOMY
18-29,12,17,6,2019-01-11,WV,CHOLECYSTECTOMY
18-29,3,4,1,2019-01-11,WV,HYSTEROSCOPY
30-39,16,22,5,2019-01-11,WV,CHOLECYSTECTOMY
30-39,2,3,2,2019-01-11,WV,CYSTOSCOPY
30-39,9,13,2,2019-01-11,WV,HYSTEROSCOPY
40-49,4,7,2,2019-01-11,WV,CATARACT
40-49,10,14,4,2019-01-11,WV,CHOLECYSTECTOMY
40-49,6,6,1,2019-01-11,WV,CYSTOSCOPY
40-49,1,2,2,2019-01-11,WV,HIP REPLACEMENT
40-49,12,14,3,2019-01-11,WV,HYSTEROSCOPY
40-49,3,5,1,2019-01-11,WV,KNEE REPLACEMENT
40-49,1,2,1,2019-01-11,WV,MASTECTOMY
50-64,52,61,4,2019-01-11,WV,CATARACT
50-64,24,28,6,2019-01-11,WV,CHOLECYSTECTOMY
50-64,25,28,3,2019-01-11,WV,CYSTOSCOPY
50-64,4,9,6,2019-01-11,WV,HIP REPLACEMENT
50-64,10,10,2,2019-01-11,WV,HYSTEROSCOPY
50-64,9,13,4,2019-01-11,WV,KNEE REPLACEMENT
50-64,7,11,7,2019-01-11,WV,MASTECTOMY
50-64,4,7,1,2019-01-11,WV,PROSTATECTOMY
65+,241,280,8,2019-01-11,WV,CATARACT
65+,18,21,2,2019-01-11,WV,CHOLECYSTECTOMY
65+,87,111,5,2019-01-11,WV,CYSTOSCOPY
65+,5,6,1,2019-01-11,WV,HIP REPLACEMENT
65+,7,7,1,2019-01-11,WV,HYSTEROSCOPY
65+,30,38,3,2019-01-11,WV,KNEE REPLACEMENT
65+,10,15,2,2019-01-11,WV,MASTECTOMY
65+,2,4,1,2019-01-11,WV,PROSTATECTOMY
18-29,1,1,1,2019-01-18,WV,CATARACT
18-29,9,14,3,2019-01-18,WV,CHOLECYSTECTOMY
18-29,2,2,1,2019-01-18,WV,CYSTOSCOPY
18-29,5,5,1,2019-01-18,WV,HYSTEROSCOPY
30-39,1,1,1,2019-01-18,WV,CATARACT
30-39,11,14,4,2019-01-18,WV,CHOLECYSTECTOMY
30-39,2,3,1,2019-01-18,WV,CYSTOSCOPY
30-39,14,16,3,2019-01-18,WV,HYSTEROSCOPY
40-49,4,6,4,2019-01-18,WV,CATARACT
40-49,9,10,9,2019-01-18,WV,CHOLECYSTECTOMY
40-49,6,6,2,2019-01-18,WV,CYSTOSCOPY
40-49,11,14,2,2019-01-18,WV,HYSTEROSCOPY
40-49,2,2,1,2019-01-18,WV,MASTECTOMY
50-64,48,60,8,2019-01-18,WV,CATARACT
50-64,32,46,10,2019-01-18,WV,CHOLECYSTECTOMY
50-64,24,26,3,2019-01-18,WV,CYSTOSCOPY
50-64,5,5,1,2019-01-18,WV,HIP REPLACEMENT
50-64,9,11,4,2019-01-18,WV,HYSTEROSCOPY
50-64,11,15,3,2019-01-18,WV,KNEE REPLACEMENT
50-64,4,4,4,2019-01-18,WV,MASTECTOMY
65+,1,1,1,2019-01-18,WV,CABG
65+,202,248,9,2019-01-18,WV,CATARACT
65+,18,21,4,2019-01-18,WV,CHOLECYSTECTOMY
65+,87,104,8,2019-01-18,WV,CYSTOSCOPY
65+,7,8,2,2019-01-18,WV,HIP REPLACEMENT
65+,6,7,1,2019-01-18,WV,HYSTEROSCOPY
65+,28,37,3,2019-01-18,WV,KNEE REPLACEMENT
65+,16,20,3,2019-01-18,WV,MASTECTOMY
18-29,9,13,3,2019-01-25,WV,CHOLECYSTECTOMY
18-29,1,2,1,2019-01-25,WV,CYSTOSCOPY
