age,patients,claims,physicians,week,state,elective
50-64,1,2,2,2019-01-04,WY,KNEE REPLACEMENT
65+,11,17,2,2019-01-04,WY,CATARACT
65+,8,9,1,2019-01-04,WY,CYSTOSCOPY
65+,3,5,1,2019-01-04,WY,KNEE REPLACEMENT
30-39,1,2,1,2019-01-11,WY,CYSTOSCOPY
40-49,1,2,1,2019-01-11,WY,CATARACT
40-49,1,1,0,2019-01-11,WY,CYSTOSCOPY
50-64,9,15,2,2019-01-11,WY,CATARACT
50-64,7,8,1,2019-01-11,WY,CYSTOSCOPY
50-64,1,2,2,2019-01-11,WY,HIP REPLACEMENT
50-64,7,12,3,2019-01-11,WY,KNEE REPLACEMENT
65+,23,37,2,2019-01-11,WY,CATARACT
65+,21,21,4,2019-01-11,WY,CYSTOSCOPY
65+,3,6,3,2019-01-11,WY,HIP REPLACEMENT
65+,5,8,1,2019-01-11,WY,KNEE REPLACEMENT
65+,1,1,1,2019-01-11,WY,PROSTATECTOMY
18-29,2,4,2,2019-01-18,WY,CHOLECYSTECTOMY
18-29,1,2,2,2019-01-18,WY,MASTECTOMY
30-39,1,1,1,2019-01-18,WY,CATARACT
30-39,1,1,1,2019-01-18,WY,CHOLECYSTECTOMY
30-39,1,1,1,2019-01-18,WY,MASTECTOMY
40-49,1,1,1,2019-01-18,WY,CATARACT
40-49,1,3,2,2019-01-18,WY,CHOLECYSTECTOMY
40-49,2,4,2,2019-01-18,WY,CYSTOSCOPY
40-49,1,2,2,2019-01-18,WY,KNEE REPLACEMENT
50-64,8,12,3,2019-01-18,WY,CATARACT
50-64,1,2,1,2019-01-18,WY,CHOLECYSTECTOMY
50-64,6,6,2,2019-01-18,WY,CYSTOSCOPY
50-64,1,1,1,2019-01-18,WY,KNEE REPLACEMENT
65+,34,56,2,2019-01-18,WY,CATARACT
65+,1,1,1,2019-01-18,WY,CHOLECYSTECTOMY
65+,30,33,2,2019-01-18,WY,CYSTOSCOPY
65+,7,13,2,2019-01-18,WY,KNEE REPLACEMENT
65+,2,2,2,2019-01-18,WY,MASTECTOMY
65+,2,2,1,2019-01-18,WY,PROSTATECTOMY
30-39,1,1,1,2019-01-25,WY,CYSTOSCOPY
50-64,9,13,1,2019-01-25,WY,CATARACT
50-64,9,11,2,2019-01-25,WY,CYSTOSCOPY
50-64,1,2,2,2019-01-25,WY,HIP REPLACEMENT
50-64,4,11,4,2019-01-25,WY,KNEE REPLACEMENT
65+,30,52,2,2019-01-25,WY,CATARACT
65+,23,23,2,2019-01-25,WY,CYSTOSCOPY
65+,5,11,3,2019-01-25,WY,HIP REPLACEMENT
65+,8,11,1,2019-01-25,WY,KNEE REPLACEMENT
65+,1,1,1,2019-01-25,WY,PROSTATECTOMY
30-39,1,1,0,2019-02-01,WY,CHOLECYSTECTOMY
30-39,1,1,1,2019-02-01,WY,CYSTOSCOPY
30-39,1,1,1,2019-02-01,WY,KNEE REPLACEMENT
40-49,2,2,1,2019-02-01,WY,CATARACT
40-49,2,3,2,2019-02-01,WY,CHOLECYSTECTOMY
40-49,3,3,3,2019-02-01,WY,CYSTOSCOPY
40-49,1,4,2,2019-02-01,WY,HIP REPLACEMENT
40-49,1,1,1,2019-02-01,WY,KNEE REPLACEMENT
50-64,5,7,2,2019-02-01,WY,CATARACT
50-64,5,7,2,2019-02-01,WY,CHOLECYSTECTOMY
50-64,5,5,5,2019-02-01,WY,CYSTOSCOPY
50-64,2,8,4,2019-02-01,WY,HIP REPLACEMENT
